ACTEVRS.	ACTEURS.
SVIVANT LEVRS SCENES.	SVIVANT LEURS SCÈNES.
Artoclés, Druydes Sacrificateur.	Artoclés, Druides Sacrificateur.
Clement, Pere de Reine, Gouuerneur de la cité d’Alize.	Clément, Père de Reine, Gouverneur de la cité d'Alise.
Aſthere, Beau-frere de clement, tuteur de Reine.	Asthère, Beau-frère de clément, tuteur de Reine.
ACTEI.	ACTEI.
Amelin, Page de clement.	Amelin, Page de clément.
Reine, Fille de clement.	Reine, Fille de clément.
Algeride, confidente de Reine.	Algeride, confidente de Reine.
Protine, Femme d’Aſthere, ſœur de clement.	Protine, Femme d'Asthère, sœur de clément.
Paulias, Seigneur Senenois, Amant de Reine.	Paulias, Seigneur Senenois, Amant de Reine.
Troupes des filles d’Alize.	Troupes des filles d'Alise.
Julie, Amerienne.	Julie, Amerienne.
Cœurs des Citoyens nouueaux Chreſtiens.	Cœurs des Citoyens nouveaux Chrétiens.
L PROLOGVE.	 LROLOGUE.
MMIARCEMIEIE LI SLCONDACIL.	MMIARCEMIEIE LI LCONDACIL.
D ESSIEVRS, Il eſt dit au 4.	D ESSIEVRS, Il est dit au 4.
liure des Roys, que pour la garde & conſeruation du Prophete Elie, que le Ciel enuoya tant de cheuaux & chariots de feu, que toutes les montagnes en parurent remplies.	livre des Rois, que pour la garde et conservation du Prophète Élie, que le Ciel envoya tant de chevaux et chariots de feu, que toutes les montagnes en parurent remplies.
Les Payens tous aueuglés en leur idolatrie, auoient bien cette croyãce que les chariots de leurs Dieux eſtoient traiſnés par des animaux, comme celuy de Saturne par des Serpens, celuy de Bacchus par des Tygres, celuy de Neptune par des Dauphins, celuy du Soleil par des cheuaux, & celuy de Venus la Deeſſe d’amour par des Colombes.	Les Païens tous aveuglés en leur idolâtrie, avaient bien cette croyance que les chariots de leurs Dieux étaient traînés par des animaux, comme celui de Saturne par des Serpents, celui de Bacchus par des Tigres, celui de Neptune par des Dauphins, celui du Soleil par des chevaux, et celui de Venus la Déesse d'amour par des Colombes.
Les Romains, cette fiere & ſuperbe Nation, en ſuite de ces hiſtoires profanes, auoient de couſtume de dreſſer pareillement des chariots à ſes Empereurs, & ſpeciallemẽt alors qu’ils s’eſtoient rendus victorieux, & qu’ils auoient ſubjuguez les aurres Nations qui leurs eſtoient aduerſes:	Les Romains, cette fière et superbe Nation, en suite de ces histoires profanes, avaient de coutume de dresser pareillement des chariots à ses Empereurs, et spécialement alors qu'ils s'étaient rendus victorieux, et qu'ils avaient subjuguez les aurres Nations qui leurs étaient adverses:
tantoſt vn Ceſar l’épouuentail de tout le monde, entrant dans la ville de Rome, enflé de victoire, chargé de butin, monté ſur vn chariot attelé de quarante Elephans.	tantôt un César l'épouuentail de tout le monde, entrant dans la ville de Rome, enflé de victoire, chargé de butin, monté sur un chariot attelé de quarante Éléphants.
Ores celuy d’vn Antonius, qui reuenant victorieux des Nations eſtrangeres à la veuë de ſa patrie, faiſoit rouller vn carroſſe tiré par des Lions animaux eſtrangers.	Ores celui d'un Antonius, qui revenant victorieux des Nations étrangères à la vue de sa patrie, faisait rouller un carrosse tiré par des Lions animaux étrangers.
Et d’autres-fois Aurelian en faiſant ſon entrée, fit courir des Cerf.	Et d'autres-fois Aurlian en faisant son entrée, fit courir des Cerf.
deuant luy qui traiſnoient ſa Littiere par les ruës de cttet luperbe ſoie.	devant notre qui traînaient sa Littière par les rues de ctet luperbe soie.
Mais quittons ces Hiſtoires profanes, & traittons de celle qui nous inuite aujourd’huy toute ſaincte & veritable:	Mais quittons ces Histoires profanes, et traitons de celle qui nous inuite aujourd'hui toute sainte et véritable:
c’eſt le Chariot de Triomphe de la glot ieuſe Patronne de bourgongne, ainſi qualifiét & bien reconnus par les peuples deuots, doublement couronnée & appellée de ce nom de Reine.	c'est le Chariot de Triomphe de la glot yeuse Patronne de bourgongne, ainsi qualifiét et bien reconnus par les peuples dévots, doublement couronnée et appelée de ce nom de Reine.
