1 ONSEIGNEUR,	1 1NSEIGNEUR,
Il faut que je ſois bien perſuadé de vos utez pour oſer vous dedier une Comedie ns avoir jamais eü l’honneur d’eſtre conI de vous loin d’en pretendre de la gloire, ſuis ioûjours dans l’apprehenſion d’en receoir du blâme;	Il faut que je sois bien persuadé de vos utés pour oser vous dédier une Comédie ns avoir jamais eu l'honneur d'être conI de vous loin d'en prétendre de la gloire, suis toujours dans l'appréhension d'en receoir du blâme;
outre que le preſent que je vus fais a ſi peu de rapport à vos grands mettes, que je n’oſe qu'en tremblant mettre vôtilluſtre nom à la teſte d’un ſi petit Ouvrage.	outre que le présent que je vus fais a si peu de rapport à vos grands mettes, que je n'ose qu'en tremblant mettre vôtillustre nom à la tête d'un si petit Ouvrage.
avoue que s’il m’étoit permis de vous dire approbations que pluſieurs perſonnes de qualit!	avoue que s'il m'était permis de vous dire approbations que plusieurs personnes de qualit!
luy ont données, & avec combius d’avantage pour moy on a remarque qu j’avois ſuivy avec beaucoup de juſteſſe, leſ de la veritable Hiſtoire dont j’ay compoſt cette Comedie, vous en excuſeriez plus aiſe, ment les defauts qui ne pourront s’echaper.	Elle ont données, et avec combius d'avantage pour moi on a remarque qu 'avais suivi avec beaucoup de justesse, les de la véritable Histoire dont j'ai compost cette Comédie, vous en excuseriez plus aise, ment les défauts qui ne pourront pourront echaper.
la delicateſſe de vôtre eſprit.	la délicatesse de votre esprit.
C’eſt à et mémes Perſonnes, diſ je, que j’auray recour ſi la choſe en reußiſſoit pas comme on me l’a fat eſperer;	C'est à et mêmes Personnes, dis -je, que j'aurai recour si la chose en revissait pas comme on me l'a fat espérer;
vù que ſans leurs perſuations je n’uſ ſe oſe jamais la produire, & encor moins emprunter une ſi fameuſe Protection que la votn pour le faire.	Où que sans leurs persuations je n'us se ose jamais la produire, et encor moins emprunter une si fameuse Protection que la votn pour le faire.
I’eſpere toutefois que vous n m’en ſçaurez pas mauvais gré;	J'espère toutefois que vous n 'en saurez pas mauvais gré;
puiſque j’an prens de la bouche de tous ceux méme qui out I’honneur d’approcher de vous, que ſi voint merite vous a extrémement élevé, vous avix uns bonté genereuſe qui en ſçait accomme, der la grandeur a la portée de ceux qui voul preſentent leurs ſoûmiſſions.	puisque j'an prends de la bouche de tous ceux même qui out J'honneur d'approcher de vous, que si voint mérite vous a extrêmement élevé, vous avix uns bonté généreuse qui en sait accomme, der la grandeur a la portée de ceux qui voul présentent leurs soumissons.
Vous en donnts des marques tous les jours;	Vous en donns des marques tous les jours;
