ARGVMENT.	ARGUMENT.
O 7 MMAA IOMEDE, Berger le plus conſiderable de la contree d’Arcadie, degouſté de ſa condition champeſtre, inquiet du repos du village, & touché d’vn deſir ambitieux de rendre à la poſterité ſa memoire glorieuſe, commande à ſon fils Thyrſis, de quitter le ſoc & la houlette, pour prendre l’eſpee & le bouclier, afin que par ſes actions heroïques, ſon nom s’eterniſaſt dans la memoire des hommes.	Ô 7 MA IOMEDE, Berger le plus considérable de la contrée d'Arcadie, dégoûté de sa condition champêtre, inquiet du repos du village, et touché d'un désir ambitieux de rendre à la postérité sa mémoire glorieuse, commande à son fils Tirs, de quitter le soc et le houlette, pour prendre l'épée et le bouclier, afin que par ses actions héroïques, son nom s'éternisât dans la mémoire des hommes.
Ce que le Magicien Philandre cognoiſſant par les ſecrets de ſon Art, aymant cherement & de longue main la famille de Diomede, il reſolut d’en arreſter & diſſiper le deſſein;	Ce que le Magicien Philandre connaissant par les secrets de son Art, aimant chèrement et de longue main la famille de Diomede, il résolut d'en arrêter et dissiper le dessein;
faiſant ſortir de deux rochers deux fontaines , dont l’eau de l'vne faiſoit perdre le ſens, celle de l’autre le faiſoit reuenir.	faisant sortir de deux rochers deux fontaines , dont l'eau de l'une faisait perdre le sens, celle de l'autre le faisait revenir.
Mais Thyrſisobeyſſant au commandement de ſon pere, ſon amour pour Syluie n’y peut conſentir, dont ceſte Bergere eſtant aduertie, continua en ſa reſolution, luy donnant aſſeurance d’eſtre compagne de ſa fortune comme de ſa perſonne.	Mais Thyrsisobéissant au commandement de son père, son amour pour Syluie n'y peut consentir, dont cette Bergère étant avertie, continua en sa résolution, lui donnant assurance d'être compagne de sa fortune comme de sa personne.
Et afin que ſon hõneur fuſt à couuert, & ſon amour en ſeureté;	Et afin que son honneur fût à couvert, et son amour en sûreté;
elle l’oblige par ſerment, de luy promettre, qu’il viura auec elle comme auec ſa ſœur.	elle l'oblige par serment, de Seigneur promettre, qu'il vivra avec elle comme avec sa sœur.
Et que la modeſtie reglera ſes deſirs, iuſques à ce qu’vn legitime mariage les accompliſſe, ce qu’à genoux Thyrſis luy accordant, le Satyre Alacrin les ſurprend en ceſte poſture, & les arreſte tous deux:	Et que la modestie réglera ses désirs, jusqu' à ce qu'un légitime mariage les accomplisse, ce qu'à genoux Tirsis était accordant, le Satire Alacrin les surprend en cette posture, et les arrête tous deux:
mais Syluie s’en eſtant deſgagee, Thyrſis y reſta ſeul, lequel ſous de feintes promeſſes, ayant arreſté la fureur de ce bouquin, irritee -– par la fuite de la Bergere, luy fait croire que reueſtu de ſes armes il pourroit reuoir Syluie, & reparer la perte qu’il auoit faite.	mais Syluie s'en étant dégagee, Thyrs y resta seul, lequel sous de feintes promesses, ayant arrêté la fureur de ce bouquin, irritée par la fuite de la Bergere, lui fait croire que reuestu de ses armes il pourroit reuoir Syluie, et réparer la perte il auoit faite.
Dans ceſte eſperance il ameine Thyrſis dans ſa cauerne, d’où, apres l’auoir bien traitté, il ſort reueſtu des armes de ce nouueau guerrier, à deſſein de ſurprendre Syluie:	Dans cette espérance il âme Thyrsis dans sa caverne, d'où, après l'avoir bien traité, il sort revêtu des armes de ce nouveau guerrier, à dessein de surprendre Syluie:
mais le deſir de contempler ſa bonne mine, le portant à ietter la veuë dans la fontaine qui bleſſoit la raiſon, ce regard luy cauſa le ſommeil:	mais le désir de contempler sa bonne mine, le portant à jeter la vue dans la fontaine qui blessait la raison, ce regard lui causa le sommeil:
Et Thyrſis le trouuant endormy, reprint ſes armes, & auec la maſſuë de ce bouquin l’eſueilla ſi rudemẽt, qu’il l’obligea à la fuite, & d’aller continuer ſon ſommeil ailleurs.	Et Thyrsis le trouvant endormi, reprint ses armes, et avec la massue de ce bouquin l'éveilla si rudement, qu'il l'obligea à la fuite, et d'aller continuer son sommeil ailleurs.
Thyrſis ayant recouuré ſes armes, auec ſa liberté, mais non pas ſa Bergere, ſe diſpoſa d’aller à la guerre & d’expoſer ſa vie aux plus dangereux combats:	Thyrs ayant recouvré ses armes, avec sa liberté, mais non pas sa Bergère, se disposa d'aller à la guerre et d'exposer sa vie aux plus dangereux combats:
ſe voyant ſeparé de ſa chere Syluie;	se voyant séparé de sa chère Syluie;
& dans l’excez de ſes regrets, l’ardeur en eſt ſi extréme, qu’e-------- -- -- - ––.	et dans l'excès de ses regrets, l'ardeur en est si extrême, qu'est-elle -même- -- - là
ſtant preſſé de la ſoif pour en eſteindre la violence, il beut, mais dans la fontaine, qui mettant en deſordre ſa raiſon, luy fit oublier le deſſein de la guerre;	stant pressé de la soif pour en éteindre la violence, il but, mais dans la fontaine, qui mettant en désordre sa raison, lui fit oublier le dessein de la guerre;
& changer ſes reſolutions en extrauagances & en folies, qui l’ayant fait longuement roder à l’entour de ces fontaines enchantees;	et changer ses résolutions en extravagances et en folies, qui l'ayant fait longuement roder à l'entour de ces fontaines enchantées;
enfin, laſſé du trauail de ſes courſes, & abbatu par ſes violences, il s’aſſied heureuſement aupres de la fontaine qui donnoit la raiſon, où beuuant il y recouure ce qu’il auoit perdu dans l’autre.	enfin, lassé du travail de ses courses, et abattu par ses violences, il s'assied heureusement auprès de la fontaine qui donnait la raison, où buant il y recouvre ce qu'il avait perdu dans l'autre.
Et conſiderant ſon aduanture auec eſtonnement, le Magicien Philandre le trouuant en ceſte peine mit en repos ſon eſprit comme il auoit fait ſa raiſon, l’ayant informé de tout, & redonné ſes armes qu’il auoit iettees pendant ſa folie.	Et considérant son aventure avec étonnement, le Magicien Philandre le trouvant en cette peine mit en repos son esprit comme il avait fait sa raison, l'ayant informé de tout, et redonné ses armes qu'il avait jettees pendant sa folie.
Ces Aduantures ſont meſlees de l’inconſtance du Berger Amyntor pour la Bergere Doris, & de l’indifference de Daphnis pour la belle Daphnide.	Ces Aduantures sont mêlées de l'inconstance du Berger Amintor pour la Bergère Doris, et de l'indifférence de Daphnis pour la belle Daphnide.
Le premier aymé cherement de Doris, ne vouloit aymer que Syluie (apres auoir teſmoigné ſa legereté & ſon inconſtance à beaucoup d’autres Bergeres ) laquelle dans l’abſence de ſon Berger Thyrſis, s’eſtoit reſoluë à receuoir pluſtoſt la mort que cét inconſtant Berger pour amant;	Le premier aimé chèrement de Doris, ne voulait aimer que Syluie (après avoir témoigné sa légèreté et son inconstance à beaucoup d'autres Bergères ) laquelle dans l'absence de son Berger Thyrsis, s'était résolue à recevoir plutôt la mort que cet inconstant Berger pour amant;
& ny les perſuaſions, ny les menaces d’Anthonin ſon oncle ne peurent changer ſa reſolution, ny eſbranſler la fermeté de l’amour qu’elle auoit promiſe à Thyrſis.	et ni les persuasions, ni les menaces d'Anthonin son oncle ne peurent changer sa résolution, ni ébranler la fermeté de l'amour qu'elle avait promise à Tirsis.
Et Doris voulant faire voir par vn iuſte reſſentiment ce que peut le meſpris auec la ialouſie ſur l’eſprit d’vne femme, feignit vn iour d’eſtre bleſſee par le deſeſpoir de ſon inconſtance, & ſuppliant Amyntor de ſe baiſſer pour luy donner ceſte conſolation auant que de mourir, laiſſant ſa vie ſur ſa bouche, elle luy donna vn coup de poignard dans le ſein.	Et Doris voulant faire voir par un juste ressentiment ce que peut le mépris avec la jalousie sur l'esprit d'une femme, feignit un jour d'être blessée par le désespoir de son inconstance, et suppliant Amyntor de se baisser pour lui donner cette consolation avant que de mourir, laissant sa vie sur sa bouche, elle lui donna coup de poignard un le sein.
A ce bruit le Magicien Philandre eſtant accouru, fit em----- ----- –.	À ce bruit le Magicien Philandre étant accouru, fit em- -à--là.
22 porter dans ſa grotte Amyntor, où il le guerit & de la bleſſeure de ſon corps que Doris luy auoit faite, & de celle de l’eſprit dont Syluie eſtoit cauſe.	22 porter dans sa grotte Amintor, où il le guérit et de la blessure de son corps que Doris lui avait faite, et de celle de l'esprit dont Syluie était cause.
L’autre Berger changea ſon indifference en amour pour la belle Daphnide:	L'autre Berger changea son indifférence en amour pour la belle Daphnide:
mais Thyrſis ne pouuant flechir Anthonin oncle de Syluie à conſentir à leur mariage, ny par les prieres de Diomede ſon pere, ny par celles d’Amyntor ſon amy, & autresfois ſon riual;	mais Thyrsis ne pouvant fléchir Anthonin oncle de Syluie à consentir à leur mariage, ni par les prières de Diomède son père, ni par celles d'Amintor son ami, et autrefois son rival;
Philandre Magicien fut appellé pour regler leurs diſputes & terminer leurs differents:	Philandre Magicien fut appelé pour régler leurs disputes et terminer leurs différents:
& comme il auoit eſté l’autheur de leurs deſordres, il fut auſſi celuy de leur repos, en ordonnant que Thyrſis auroit Syluie, Amyntor Doris, & Daphnide Daphnis.	et comme il avait été l'auteur de leurs désordres, il fut aussi celui de leur repos, en ordonnant que Thyrs aurait Syluie, Amintor Doris, et Daphnide Daphumis.
Et ces Bergers obeyſſans auec plaiſir à la volonté ce Philandre , ſe retirerent auec ioye & contentement en leurs hameaux pour y cueillir le fruict de leurs amours, & la recompenſe de leurs trauaux.	Et ces Bergers obéissants était plaisir à la volonté ce Philandre , se retirent avec joie et contentement en leurs hameaux pour y cueillir le fruit de leurs amours, et la récompense de leurs travaux.
	
Ay 2--	Ai 2-
AV LECTEVR, OAIDV Ie	AU LECTEUR, AIDU Je
