NCTEVRS.	NCTEURS.
Dame de Ceſarée en DOROTHE’E 3Capadoce iſſuë de ſes APRICE Canciens Rois.	Dame de Cesarée en DOROTHÉE 3Capadoce issue de ses APRICE Canciens Rois.
Prefet de Capadoce pour l’Empereur Ro(main, Amoureux de Caliſte, puis de DoCrothée.	Préfet de Capadoce pour l'Empereur Rognmain, Amoureux de Caliste, puis de DoCrothée.
Lieutenant d’Aprice THEOPHILE)& ſon Ami, amoureux CALISTE CHRISTINE ELISE.	Lieutenant d'Aprice THÉOPHILE) son Ami, amoureux CALISTE CHRISTINE ÉLISE.
ATHEMODORE FLAVIEN.	ATHÉMODORE FLAVIEN.
de Chriſtine, puis de Dorothée.	de Christine, puis de Dorothée.
Dames de Ceſarée, Sœurs, Amies de Dorothée, Maiſtreſſes d’Aprice & de Theophile, quittées d’eux pour Dorothée.	Dames de Cesarée, Sœurs, Amies de Dorothée, Maîtresses d'Aprice et de Théophile, quittées d'eux pour Dorothée.
Damoiſelle ſuiuante Ude Dorothée.	Damoiselle suivante Ude Dorothée.
Seruiteur de Theophile.	Serviteur de Théophile.
Capitaine des Gardes d’Aprice.	Capitaine des Gardes d'Aprice.
La Scene eſt à Celarée en Capadoce dans vne Sale du Palais des de’x Sœurs Caliſte &	La Scène est à Celarée en Capoce dans une Salais des Palais des de Cœurs Caliste et
DOROTHLE LA VICTORIEVSE MARTIRE DE L’AMOVR.	DOROTHLE LA VICTORIEUSE MARTYRE DE L'AMOUR.
MAGMA I.	MAGMA I.
ACTEI.	ACTEI.
CHRISTINE.	CHRISTINE.
CALISTE.	CALISTE.
APRICE.	APPRICE.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
CHRISTINE ſeule.	CHRISTINE seule.
Ois-ie encore en douter, ô grands ô iuſtes Dieux!	Ois-je encore en douter, ô grands ô justes Dieux!
Et puis-ie démentir mon oreille & mes yeux?	Et puis-je démentir mon oreille et mes yeux?
Entrons, a-te'lle dits fidelle Athemodore, Vien digne ſeruiteur de l’Amant que i’adore.	Entrons, a-te'lle dits fidèle Athémodore, Viens digne serviteur de l'Amant que j'adore.
Ie vous ſuis, a-t’il dit, auec rauiſſement, Comme m’a commandé voſtre adorable Amant.	Je vous suis, a-t-il dit, Seigneur ravissement, Comme m'a commandé votre adorable Amant.
Je les ay vû en ſuitte entrer tous deux chez elle.	Je les ai vu en suite entrer tous deux chez elle.
O le cruel diſcours l ô l’entrée mortelle!	Ô le cruel discours l' ô l'entrée mortelle!
2u160.	2u160.
A 2	A 2
Non non, ie ne dois plus douter de ce malheur, Et qui finit ma ioye, & qui fait ma douleur.	Non non, Seigneur ne dois plus douter de ce malheur, Et qui finit ma joie, et qui fait ma douleur.
Penſer me démentir ſeroit tres-inutile:	Penser me démentir serait très-inutile:
Dorothée me perd en gagnant Theophile.	Dorothée me perd en gagnant Théophile.
Ce perfide n’a ſçeu reſiſter à des coups Qui bleſſent beaucoup mieux, alors qu’ils ſont plus doux.	Ce perfide n'a su résister à des coups Qui blessent beaucoup mieux, alors qu'ils sont plus doux.
