A PARIS, Chez PIERRE DAVID, ſur le Perron en entrant dans la grande Salle du Palais.	À PARIS, Chez PIERRE DAVID, sur le Perron en entrant dans la grande Salle du Palais.
G	G
Ld LECIEVT	Léd LECIEUT
Es Bergers & ces Bergeres que i’auois deſtinez au theatre ſeulement, ont eſté obligeZ de ſe produire à vn iour plus grand:	Es Bergers et ces Bergères que j'avais destinez au théâtre seulement, ont été obligez de se produire à un jour plus grand:
Ceux qui entendent la Scene, & qui cognoiſſent les vers, s’ils ne ſont point intereſſez, y trouueront quelque choſe qui les contentera, & ſans doute les autres me doiuent loüer de leur auoir deuelopé en deux mille vers deux hiſtoires intriquees dans cinqgros volumes:	Ceux qui entendent la Scène, et qui connaissent les vers, s'ils ne sont point intéressez, y trouveront quelque chose qui les contentera, et sans doute les autres me doivent louer de leur avoir développé en deux mille vers deux histoires intriquées dans cinqgros volumes:
toutesfois, Lecteur, tu es libre, & moy de meſme,	toutefois, Lecteur, tu es libre, et moi de même,
A MADEMOISELLE & DE RAGNY.	À MADEMOISELLE et DE RAGNY.
8 ADEMOIOELLE,	8 ADEMOIOLLE,
3 I58 Quelque vertu que l’on aye en ſoy, & quelques belles qualitez que nous ayons receu de la faueur du Ciel, c’eſt vne grande ſatisfaction que de tirer ſa naiſſance de parents illuſtres, & dont la memoire ſoit chere à tout le monde.	3 I58 Quelque vertu que l'on aie en soi, et quelques belles qualités que nous ayons reçu de la faveur du Ciel, c'est une grande satisfaction que de tirer sa naissance de parents illustres, et dont la mémoire soit chère à tout le monde.
Ie ſçay bien que la nature a mis en vous toutes les parties neceſſaires à la perfection d’vne vertueuſe beauté, & que voſtre eſprit & voſtre corps ont -71 receu d’elle tous les aduantages qu’elle a de couſtume de donner ſeparément à pluſieurs:	Je sais bien que la nature a mis en vous toutes les parties nécessaires à la perfection d'une vertueuse beauté, et que votre esprit et votre corps ont 71 reçu d'elle tous les avantages qu'elle a de coutume de donner séparément à plusieurs:
Neantmoins ſi vous ne tiriez voſtre naiſſance des illuſtres maiſons de Ragny, & de Rets, il ſemble qu’il vous defaudroit quelque choſe:	Néanmoins si vous ne tiriez votre naissance des illustres maisons de Ragni, et de Rets, il semble qu'il vous défaudrait quelque chose:
& ſans mentir, ce vous doit eſtre vn grand contentement d’oüyr quelque part où vous ſoyez les loüanges que l’on doit iuſtement à ces deux races, & ce ne vous eſt pas vne petite conſolation de la mort de Monſeigneur le Marquis de Ragny voſtre pere, que de ſçauoir qu’il eſt mort trauaillant à releuer la foy Catholique, & à reduire les villes que les rebelles auoient deſtournees du ſeruice de ſa Maieſté.	et sans mentir, ce vous doit être un grand contentement d'ouïr quelque part où vous soyez les louanges que l'on doit justement à ces deux races, et ce ne vous est pas un petite consolation de la mort de Monseigneur le Marquis de Ragny votre père, que de savoir qu'il est mort travaillant à relever la foi Catholique, et à réduire les villes que les rebelles avaient destourées du service de sa Majesté.
