GABINIE.	GABINIE.
TRAGEDIE CHRETIENNE.	TRAGÉDIE CHRÉTIENNE.
de pela a at Io.	de pela a at Io.
Jus.	Jus.
A MONSIEUR LE COMTE DAYEN, Gouverneur des Provinces de Rouſſillon & Berry, &c.	À MONSIEUR LE COMTE DAYEN, Gouverneur des Provinces de Roussillon et Berry, etc.
NSTEUR,	NSTEUR,
L’approbation que vous daignâtes donner à ma Tragedie le jour que j’eus l’honneur de vous en faire la lecture, me fit eſperer qu’elle ſeroit bien reçüe du Public.	L'approbation que vous daignâtes donner à ma Tragédie le jour que j'eus l'honneur de vous en faire la lecture, me fit espérer qu'elle serait bien reçue du Public.
Je n’ay pas eſté trompé dans mon eſperance:	Je n'ai pas été trompé dans mon espérance:
Sa repreſentation a eu tout le ſuccés que la juſteſſe de votre goût m’en avoit fait attendre.	Sa représentation a eu tout le succès que la justesse de votre goût m'en avait fait attendre.
Les applaudiſſemens qu’elle a eus à la Coun & à la Ville ont jaſtifié votre jugement;	Les applaudissements qu'elle a eus à la Coun et à la Ville ont jastifié votre jugement;
& c’eſt ce qui m’a perſuadé que vous ne deſaprouveriez pas la libertée que j’oſe prendre de vous la dédier.	et c'est ce qui m'a persuadé que vous ne désapprouveriez pas la libertée que j'ose prendre de vous la dédier.
Je ſçay bien, MONSIEUR, que c’eſt plûtoſt au fond du ſujet que j’ay traité, qu’à la forme que je luy ay donnée, que je dois l'accueil favorable dont vois avez honoré cette Piece:	Je sais bien, MONSIEUR, que c'est plutôt au fond du sujet que j'ai traité, qu'à la forme que je lui ai donnée, que je dois l'accueil favorable dont vois avez honoré cette Pièce:
le ſpectacle de la Religion Chrêtienne triomphant dans la perſecution, & d’un Empereur abandonnant l’Empire, & mis en fuîte par la foule & par la conſtance des Martyrs, ne pouvoit que plaire aux yeux de celuy en qui une pieté ſolide & hereditaire fait la baze de toutes les autres vertus heroïques dont il eſt orné, & de tout l'éclat que luy donne une illuſtre naiſſance, & une brillante fortune.	le spectacle de la Religion Chrétienne triomphant dans la persécution, et d'un Empereur abandonnant l'Empire, et mis en fuîte par la foule et par la constance des Martyrs, ne pouvait que plaire aux yeux de celui en qui une piété solide et héréditaire fait la base de toutes les autres vertus héroïques dont il est orné, et de tout l'éclat que lui donne une illustre naissance, et une brillante fortune.
