E 2 AVA DAMES	 2 AVA DAMES
VO Y que ie ne paroiſſe pas deuant vous, auec toute la pompe, & toute la magnificence, qu’ont accouſtumé d’auoir, les perſonnes de ma condition:	VO Y que Dieu ne paraisse pas devant vous, avec toute la pompe, et toute la magnificence, qu'ont accoutumé d'avoir, les personnes de ma condition:
j’eſpere que vous n’oublierez pas, que i’ay porté des Sceptres & des Couronnes;	j'espère que vous n'oublierez pas, que j'ai porté des Sceptres et des Couronnes;
que ie me ſuis veuë deux fois ſur le Thrône;	que ici me suis vue deux fois sur le Thrône;
& que les Princes dont ie ſuis ſortie, ont eſté les Maiſtres du monde.	et que les Princes dont toutes suis sortie, ont été les Maîtres du monde.
Mais aimables & illuſtres Dames, ie ne vous fay pas ſouuenir de ma gloire, pour vous obliger au reſpect:	Mais aimables et illustres Dames, je ne vous fais pas souvenir de ma gloire, pour vous obliger au respect:
il ſuffit que vous ayez quelque pitié de mes infortunes:	il suffit que vous ayez quelque pitié de mes infortunes:
& ie ne vous parle de l’eſtat glorieux où ie me ſuis veuë, que pour vous porter plus aiſement à cette pitié, quand vous verrez celuy où ie ſuis reduite.	et personne ne vous parle de l'état glorieux où Elle me suis vue, que pour vous porter plus aisément à cette pitié, quand vous verrez celui où tu suis réduite.
Ie crains qu’il ne ſe trouue des eſprits aſſez injuſtes, pour dire que i’ay merité mes diſgraces:	Je crains qu'il ne se trouve des esprits assez injustes, pour dire que j'ai mérité mes disgrâces:
& des Cenſeurs aſſez ſeueres, pour blaſmer vne affectiontoute pure & toute innocente.	et des Censeurs assez sévères, pour blâmer une affectiontoute pure et toute innocente.
Il eſt dés gens qui croyent qu’on ne peut iamais rien aimer ſans crime, parce qu’ils n’ont iamais rien aimé ſans cela:	Il est dès gens qui croient qu'on ne peut jamais rien aimer sans crime, parce qu'ils n'ont jamais rien aimé sans cela:
& qui condamnent toute la terre, parce qu’ils en ſont condamnez.	et qui condamnent toute la terre, parce qu'ils en sont condamnés.
C’eſt contre cette dangereuſe eſpece d’hommes, que i’mplore voſtre aſſiſtance:	C'est contre cette dangereuse espèce d'hommes, que j'mplore votre assistance:
& c’eſt par voſtre propre gloire que ie vous conjure, de vouloir deffendre la mienne.	et c'est par votre propre gloire que je vous conjure, de vouloir défendre la mienne.
Dittes leur donc, en parlant pour vous & pour moy, que l’Amour & l’Honneur ſont touſiours enſemble, quand la Vertu les a joincts:	Dites leur donc, en parlant pour vous et pour moi, que l'Amour et l'Honneur sont toujours ensemble, quand la Vertu les a joints:
qu’il eſt des flames ſi pures, qu’elles n’ont iamais de fumée:	qu'il est des flammes si pures, qu'elles n'ont jamais de fumée:
& vn feu ſi détaché de la matiere, qu’il ſubſiſte touſiours ſans elle, auſſi bien que l’Elementaire.	et un feu si détaché de la matière, qu'il subsiste toujours sans elle, aussi bien que l'Elementaire.
Dittes leur que s’il ſe trouue des corps en la nature, que le feu ne deſtruit iamais;	Dittes leur que s'il se trouve des corps en la nature, que le feu ne détruit jamais;
il eſt de meſme des eſprits dont l’innocenee ert a reipreuue, des plus ardentes affectiõs.	il est de même des esprits dont l'innocène ert a rejpreuve, des plus ardentes affections.
Dittes leur que ces eſprits amoureux & purs, ſont dans le feucomme l'or:	Dittes leur que ces esprits amoureux et purs, sont dans le feucomme l'or:
mais qu’ils y ſont comme luy ſans alteration, & ſans que leur prix diminuë.	mais qu'ils y sont comme lui sans altération, et sans que leur prix diminue.
En fin, illuſtres & belles Dames, dittes leur encor, que la flame que i’allumay dans Carthage, iuſtifie celle qu’Vrſace auoit allumée en mon cœur:	En fin, illustres et belles Dames, dites leur encor, que la flamme que j'allumai dans Carthage, justifie celle qu'Unsace avait allumée en mon cœur:
& qu’vne perſonne qui voulut mourir, pour conſeruer ſa pureté, n’auoit garde de viure pour la ternir.	et qu'une personne qui voulut mourir, pour conserver sa pureté, n'avait garde de vivret pour la ternir.
Que ſi leur courage inflexible ne ſe rendpoint, faites les ſouuenir qu’il eſt honteux, à des hommes de leur Nation, de m’eſtre plus inhumains, que ne me le furent, & les Goths, & les Vandales:	Que si leur courage inflexible ne se rendpoint, faites les souvenir qu'il est honteux, à des hommes de leur Nation, de m'être plus inhumains, que ne me le furent, et les Goths, et les Vandales:
& que ie ſerois bien malheureuſe, ſi ie trouuois des Mõſtres plus cruels en France, que ie n’en rencontray en Affrique:	et que ici serais bien malheureuse, si on trouvais des Monstres plus cruels en France, que ie n'en rencontrai en Affrique:
puis que l’vne en eſt appellée la mere, & que quelques vns ont eſcrit, qu’il n’y en a iamais en l’autre.	puis que l'une en est appelée la mère, et que quelques uns ont écrit, qu'il n'y en a jamais en l'autre.
Si i’obtiens cette faueur de vous, pour lareconnoiſtre en quelque façon;	Si j'obtiens cette faveur de vous, pour lareconnoistre en quelque façon;
ie publieray par tout l’Vniuers, que la ciuilité Françoiſe eſt incomparable;	aires publierai par tout l'Univers, que la civilité Française est incomparable;
que le merite des Dames y eſt ſans eſgal;	que le mérite des Dames y est sans égal;
& que les Beautez Greques cedent aux voſtres, encore qu’vne d’entr’elles, ait embraſé toute l’Aſie, & fait armer toute l’Europe.	et que les Beautés Greques cèdent aux vôtres, encore qu'une d'entr'elles, ait embrasé toute l'Asie, et fait armer toute l'Europe.
GhhtonRre, ltoy des Vandales.	GhtonRre, ltoi des Vandales.
THRASIMOND, ſon fils.	THRASIMOND, son fils.
VRSACE, Cheualier Romain en habit d’Eſclaue.	VRSACE, Chevalier Romain en habit d'Esclave.
