Euirail da Pltoltege da Acoy,.	Euirail da Pltoltote da Acoi,.
DAR Grace & Privilege du Roy, donné à Paris T le vingt-huitiéme Aouſt 1695.	DAR Grâce et Privilège du Roi, donné à Paris T le vingt-huitième Août 1695.
Signé, Par le Roy en ſon Conſeil, LB FEVRE.	Signé, Par le Roi en son Conseil, LB SEVRÉ.
Il eſt permis à THOMAS GUILLAIN, Marchand Libraire à Paris, de faire imprimer le Recueil des Comedies du Sieur Dancourt, pendant le temps de ſix années, à compter du jour qu’elles ſeront achevées d’imprimer pour la premiere ſois, en vertu des preſentes;	Il est permis à THOMAS GUILLAIN, Marchand Libraire à Paris, de faire imprimer le Recueil des Comédies du Sieur Dancourt, pendant le temps de six années, à compter du jour qu'elles seront achevées d'imprimer pour la première sois, en vertu des présentes;
pendant lequel temps tresexpreſſes inhibitions & défenſes ſont faites à toutes perſonnes de quelque qualité & condition qu’elles ſoient, de faire imprimer, vendre ny debiter deſdites Comedies d’autre Edition que celles de I’Expoſant, ou de ceux qui auront droit de lui, à peine de quinze cens livres d’amende, payable ſans déports par chacun des Contrevenans, de confiſeation des Exemplaires contrefaits, & de tous dépens, dommages & intereſts, & autres peines portées plus au long par leſdites Lettres de Privilege.	pendant lequel temps trèsexpresses inhibitions et défenses sont faites à toutes personnes de quelque qualité et condition qu'elles soient, de faire imprimer, vendre mieux débiter desdites Comédies d'autre Édition que celles de J'Exposant, ou de ceux qui auront droit de lui, à peine de quinze cens livres d'amende, payable sans déports par chacun des Contrevenants, de confiseation des Exemplaires contrefaits, et de tous dépens, dommages et intérêts, et autres peines portées plus au long par lesdites Lettres de Privilège.
Regiſtré ſur le Livre de la Communauté des Imprimeurs & Libraires de la ville de Paris, le premier Septembre 1695.	Registré sur le Livre de la Communauté des Imprimeurs et Libraires de la ville de Paris, le premier Septembre 1695.
Signé P.	Signé P.
AUBOUTN, Syndic.	AUBOUTN, Syndic.
Achevé d’imprimer pour la premiere fois le 26.	Achevé d'imprimer pour la première fois le 26.
Janvier 1696.	Janvier 1696.
Meſd.	Mesd.
MANON, MIMI COLLOTTE,	MANON, MIMI COLOTTTE,
ORBINE,	ORBINE,
Mr FARFADEL, Financier.	Mr FARFADEL, Financier.
COMEDIE.	COMÉDIE.
Le Theatre repreſente un des Carrefours de la Foire.	Le Théâtre représente un des Carrefours de la Foire.
Mademoiſelle MOUSSEI, LORANGE, MANON, MIMI, LOLOTTE dans leurs Boutiques.	Mademoiselle MOUSSEY, LORANGE, MANON, MIMI, LOLOTE dans leurs Boutiques.
F LA SAINT GERMAIN,	 FA SAINT GERMAIN,
Mad.	Mad.
MOUSSET.	MOUSET.
E belles robbes de chambres, Meſſieurs, des étoffes de la Chine, des bonnets à la Beneficiere, des deshabillez à bonne fortune.	E belles robes de chambres, Messieurs, des étoffes de la Chine, des bonnets à la Beneficiere, des déshabillez à bonne fortune.
Voyez icy Meſdames.	Voyez ici Mesdames.
MIMI.	MIMI.
Des' rubans d’or, des tabliers, des ilchus, de belles écharpes, Memeurs.	Des rubans d'or, des tabliers, des ilchus, de belles écharpes, Mémeurs.
LOLOTTE.	LOLOTTE.
Des tabatieres, des cannes, des cordons de chapeau, des nœuds d’épée, Meſdames.	Des tabatières, des cannes, des cordons de chapeau, des nœuds d'épée, Mesdames.
MANON en Turque.	MANON en Turque.
Marchandiſes du Levant, Meſſieurs, eaux de ſenteur de Conſtantinople, baume de Perſe, maſtic pour les trous de petite verole, ciment pour recrepir les viſages;	Marchandises du Levant, Messieurs, eaux de senteur de Constantinople, baume de Perse, mastic pour les trous de petite vérole, ciment pour recrépir les visages;
nous avons ce qu’il vous faut, Meſdames.	nous avons ce qu'il vous faut, Mesdames.
GARCON Limonadier.	GARÇON Limonadier.
cane, iſie, enocoſat, viir de Saint Laurent, Vin de Latiota, Vin de Canarie.	cane, isie, enocosat, viir de Saint Laurent, Vin de Latiota, Vin de Canarie.
SCENE II.	SCÈNE II.
LE CHEVALIER DE CASTAGNAC, URBINE.	LE CHEVALIER DE CASTAGNAC, URBINE.
URBINE.	URBINE.
V'Enir de tant de bonne heure à la FoiV re Saint Germain, vous n’y portez pas attention, Chevalier.	V'Enir de tant de bonne heure à la FoiV re Saint Germain, vous n'y portez pas attention, Chevalier.
LE CHEVALIER.	LE CHEVALIER.
A toutes les heures du jour, gens de chez nous, ma ſœur, penſent à leurs affaires, & font tres-bien.	À toutes les heures du jour, gens de chez nous, ma sœur, pensent à leurs affaires, et font très-bien.
Nous ſommẽs d’un e Nobleſſe tellement ancienne, que tous nos biens en ſont uſez, nous n’avons vous & moy d’autre patrimoine que le ſçavoir faire, mais qu’importe, les ſots doivent tribut aux gens d’eſprit;	Nous sommence d'un e Noblesse tellement ancienne, que tous nos biens en sont usés, nous n'avons vous et moi d'autre patrimoine que le savoir faire, mais qu'importe, les sots doivent tribut aux gens d'esprit;
& il y a dans cette Foire Dunit deriman quantite de bureaux où je me fais payer mes rentes.	et il y a dans cette Foire Dunit deriman quantité de bureaux où je me fais payer mes rentes.
URBINE.	URBINE.
Hé donc en venez-vous toucher quelqu’une aujourd’huy?	Hé donc en venez-vous toucher quelqu'une aujourd'hui?
LE CHEVALIER.	LE CHEVALIER.
Cadedis, ma chere ſœurette, je ſuis ſans ceſſe à l’affus de la fortune, je luy ay donné la chaſſe à la Cour, j’ay crû l’a tenir par le toupet, la coquine s’eſt trouvée chauve.	Cadedis, ma chère sœurette, je suis sans cesse à l'affus de la fortune, je sens ai donné la chasse à la Cour, j'ai cru l'a tenir par le toupet, la coquine s'est trouvée chauve.
A la guerre je l’ay pourſuivie, & je luy ay fait peur apparemment;	À la guerre je l'ai poursuivie, et je lui ai fait peur apparemment;
Elle s’eſt tenuë cloſe & couverte pour me faire piece, on ne l’a point veuë pendant la campagne;	Elle s'est tenue close et couverte pour me faire pièce, on ne l'a point vue pendant la campagne;
mais grace au Ciel je la retrouve en quartier d’hyver, & pour ne l’effaroucher pas en attendant que l’amout m’en faſſe abſolument raiſon, je la mine tout doucement icy, & je l’attrape par les menus.	mais grâce au Ciel je la retrouve en quartier d'hiver, et pour ne l'effaroucher pas en attendant que l'amout m'en fasse absolument raison, je la mine tout doucement ici, et je l'attrape par les menus.
URBINE.	URBINE.
Vous ſeriez amoureux mon frere?	Vous seriez amoureux mon frère?
LE CHEVALIER.	LE CHEVALIER.
Amoureux moy, de richeſſes oüy, de femmes non, je vous proteſte.	Amoureux -moi, de richesses oui, de femmes non, je vous proteste.
Hola hé Mademoiſelle Mouſſet ſerviteur;	Hola hé Mademoiselle Mousset serviteur;
un mot icy je vous en conjure.	un mot ici je vous en conjure.
SCENE III.	SCÈNE III.
Mad.	Mad.
MOUSSET, LE CHEVALIER, URBINE.	MOUSSET, LE CHEVALIER, URBINE.
Mad.	Mad.
MOUSSET.	MOUSET.
Eit deja vous, Monneur le ChevaClier, on ne ſera icy que dans une heure.	Éit déjà vous, Monneur le ChevaClier, on ne sera ici que dans une heure.
LE CHEVALIER.	LE CHEVALIER.
Mais y ſera-t’on?	Mais y sera-t-on?
Car je n’ay point de tempa a peldre, je ne teun pas qu'on m’amuſe.	Car je n'ai point de tempa a peldre, je ne teun pas qu'on m'amuse.
Mad.	Mad.
MOUSSET.	MOUSET.
On m’a bien promis de s’y rendre.	On m'a bien promis de s'y rendre.
LE CHEVALIER.	LE CHEVALIER.
As-tu touché la groſſe corde, & peut-on appujer rerme denus ſans la rompre.	As-tu touché la grosse corde, et peut-on appujer rerme denus sans la rompre.
Mad.	Mad.
MOUSSET.	MOUSET.
Toutes choſes ſont bien diſpoſées, & vous en aurez bonne iſſuë.	Toutes choses sont bien disposées, et vous en aurez bonne issue.
Ne voulez-vous pas entrer?	Ne voulez-vous pas entrer?
LE CHEVALIER.	LE CHEVALIER.
