A PARIS,	À PARIS,
M.	M.
DC.	DC.
LXVIII.	LXVIII.
A SON ALTESSE SERENISSIME MONSEIGNEVR, LE PRINCE.	À SON ALTESSE SERENISIME MONSEIGNEUR, LE PRINCE.
MONSEIGNEVR, N'en déplaiſe à nos beaux Eſprits, je ne vois rien de plus ennuyeux que les Epitres	MONSEIGNEUR, N'en déplaise à nos beaux Esprits, je ne vois rien de plus ennuyeux que les Épîtres
Dedicatoires;	Dédicatoires;
& VOSTRE ALTESSE SERENISSIME trouuera bon, s’il luy plait, que je ne ſitiue point icy le ſtyle de ces Meſſieurs là;	et VÔTRE ALTESSE SERENISIME trouvera bon, s'il était plaît, que je ne sitive point ici le style de ces Messieurs là;
& refuſe de me ſeruir de deux, ou trois miſerables penſées, qui ont eſté tournées, & retournées tant de fois, qu’elles ſont vſées de tous les côtez.	et refuse de me servir de deux, ou trois misérables pensées, qui ont été tournées, et retournées tant de fois, qu'elles sont usées de tous les côtés.
Le nom du grand CONDE' eſt vn nom trop glorieux, pour le traiter comme on fait tous les autres Noms.	Le nom du grand CONDE' est un nom trop glorieux, pour le traiter comme on fait tous les autres Noms.
Il ne faut l’appliquer ce Nom Illuſtre, qu’à des Employs qui ſoient dignes de luy;	Il ne faut l'appliquer ce Nom Illustre, qu'à des Emplois qui soient dignes de lui;
& pour dire de belles choſes, je voudrois parler de le mettre à la teſte d’vne Armée, plûtoſt qu’à la teſte d’vn Liure:	et pour dire de belles choses, je voudrais parler de le mettre à la tête d'une Armée, plutôt qu'à la tête d'un Livre:
Et je conçois bien mieux ce qu’il eſt capable de faire, en l’oppoſant aux forces des ennemis de cét Etat, qu'en l’oppoſant à la critiquedtd Ennemis d’vne Comedie.	Et je conçois bien mieux ce qu'il est capable de faire, en l'opposant aux forces des ennemis de cet État, qu'en l'opposant à la critiqued Ennemis d'une Comédie.
Ce n’eſt pas, MONSEIGNEVR, que la glorieuſe approbation de V.	Ce n'est pas, MONSEIGNEUR, que la glorieuse approbation de V.
A.	A.
S.	S.
ne fût vne puiſſante protection pour toutes ces ſortes d’Ouurages, & qu’on ne ſoit perſuadé des lumieres de voſtre Eſprit, autant que de l’intrepidité de voſtre Cœur, & de la grandeur de voſtre Ame.	ne fût une puissante protection pour toutes ces sortes d'Ouvrages, et qu'on ne soit persuadé des lumières de votre Esprit, autant que de l'intrépidité de votre Cœur, et de la grandeur de votre Âme.
On ſçait par toute la Terre, que l’éclat de voſtre merite n'eſt point renfermé dans les bornes de cette valeur indomptable, qui ſe fait des Adorateurs chez ceux-méme qu’elle ſurmonte, qu’il s’étend ce Merite, juſques aux connoiſſances les plus fines & les plus releuées;	On sais par toute la Terre, que l'éclat de votre mérite n'est point renfermé dans les bornes de cette valeur indomptable, qui se fait des Adorateurs chez ceux-même qu'elle surmonte, qu'il s'étend ce Mérite, jusqu' aux connaissances les plus fines et les plus relevées;
