MADAME,	MADAME,
Voſtre tres-humble, & tres obeïſſant ſeruiteur;	Votre très-humble, et très obéissant serviteur;
DE SCVDER	DE SCUDER
A IVTESSIEV NU DE L’ACADEMIE FRANCOISE.	À IVTESIEU NU DE L'ACADÉMIE FRANÇOISE.
ESSIEVRS,	ESSIEVRS,
Puis que vous eſtes les Iuges de nos belles Lettres;	Puis que vous êtes les Juges de nos belles Lettres;
Que par voſtre moyen la France n'a plus rien à enuier à la Grece & à l’Italie;	Que par votre moyen la France n'a plus rien à envier à la Grèce et à l'Italie;
Que vous rendeZ Paris außi fameux que Rome & Athenes;	Que vous rendez Paris aussi fameux que Rome et Athènes;
& que voſtre Compagnie donne à noſtre Siecle des Poëtes & des Orateurs außi parfaits que ces Anciens, dont la memoire ſera touſiours en veneration:	et que votre Compagnie donne à notre Siècle des Poètes et des Orateurs aussi parfaits que ces Anciens, dont la mémoire sera toujours en vénération:
Il y auroit eu de l’iniuſtice de ne vous pas dedier cette Critique, & de la preſomption de determiner de ſon prix, ſans vous en auoir conſulteZ auparauant.	Il y aurait eu de l'injustice de ne vous pas dédier cette Critique, et de la présomption de déterminer de son prix, sans vous en avoir consultez auparavant.
Nous ſommes en vn temps où tout le monde croit auoir droit de iuger de la Poëſie, de laquelle Ariſtote a fait ſon chef-d’œuure;	Nous sommes en un temps où tout le monde croit avoir droit de juger de la Poésie, de laquelle Aristote a fait son chef-d'œuvre;
Où les ruelles des femmes ſont les Tribunaux des plus beaux ouurages;	Où les ruelles des femmes sont les Tribunaux des plus beaux ouvrages;
Ou ce qui fut autrefois la vertu de peu de perſonnes, deuient la maladie du peuple, & le vice de la multitude.	Ou ce qui fut autrefois la vertu de peu de personnes, devient la maladie du peuple, et le vice de la multitude.
Mais parmy tant de corruption il y a encore des lieux qui ſeruent d’Aſyles aux bonnes Lettres.	Mais parmi tant de corruption il y a encore des lieux qui servent d'Asile aux bonnes Lettres.
Il y a des perſonnes de ſcience & d'integrité;	Il y a des personnes de science et d'integrité;
Et des Iuges auſquels on peut appeller de la mauuaiſe opinion du vulgaire, & de la perſecution des demi-ſçauans.	Et des Juges auxquels on peut appeler de la mauvaise opinion du vulgaire, et de la persécution des demi-sçauans.
Comme ie trauaille pour la ſeule gloire des lettres, & que ie ſouhaitterois que mes fautes deuinſſent publiques, afin qu'elles peuſſent profiter;	Comme grande travaille pour la seule gloire des lettres, et que tu souhaiterais que mes fautes devinssent publiques, afin qu'elles pussent profiter;
l'ay deu ſans doute chercher ces excellens hommes qui ont conſerué le bon ſens malgré la contagion, & leur enuoyer mes Remarques, afin qu’ils en prononçaſſent ſouuerainement l’Arreſt.	l'ai dev sans doute chercher ces excellents hommes qui ont conservé le bon sens malgré la contagion, et leur envoyer mes Remarques, afin qu'ils en prononçassent souverainement l'Arrest.
Et d’autant qu’il n’y a point d’Aſſemblée en l'Europe ou le nombre de ces grands Genies ſe rencontre plus aiſément que dans la voſtre, C’eſt auec raiſon que ie vous demande la cenſure, ou l’approbation de cette Critique que ie vous dedie.	Et d'autant qu'il n'y a point d'Assemblée en l'Europe ou le nombre de ces grands Génies se rencontre plus aisément que dans la vôtre, C'est avec raison que je vous demande la censure, ou l'approbation de cette Critique que sans vous dédie.
Ce n'eſt pas que ie mette en doute la perfection de l’ouurage de Ar de Scudery, ny que ie craigne que voſtre ſentiment ne ſoit celuy de toute la Cour:	Ce n'est pas que nous mette en doute la perfection de l'ouvrage de Ar de Scuderi, ni que tu craigne que votre sentiment ne soit celui de toute la Cour:
mais ie pourrois auoir mal trauaillé ſur vn beau ſujet;	mais ici pourrais avoir mal travaillé sur un beau sujet;
& c'eſt dequoy ie veux m'eſclaircir en vous la preſentant.	et c'est dequoy rien veux m'éclaircir en vous la présentant.
Receuezlà, s’il vous plaiſt, auec autant de candeur, que ie vous l'offre;	Recevezlà, s'il vous plaît, avec autant de candeur, que je vous l'offre;
