11 IARIO3 Chez IEAN RIBOV, au Palais, vis-à-visla Porte de l’Egliſe de la Sainte Chapelle, à l’Image S.	11 IRIO3 Chez JEAN RIBOU, au Palais, vis-à-visla Porte de l'Église de la Sainte Chapelle, à l'Image S.
Louis.	Louis.
M.	M.
DC.	DC.
LXIX.	LXIX.
AVEC PRIVILEGE DV ROM.	AVEC PRIVILÈGE DU ROM.
Extrait du Priuilege du Roy.	Extrait du Privilège du Roi.
Ar Grace & Priuilege du Roy, Donné à Paris T le dernier jour de Septembre 1668.	Ar Grâce et Privilège du Roi, Donné à Paris T le dernier jour de Septembre 1668.
Signé, Par le Roy en ſon Conſeil, GVITONNEAV.	Signé, Par le Roi en son Conseil, GUITONNEAU.
Il eſt permis au Sieur de Moliere, de faire imprimer, vendre & debiter vne Comedie par luy compoſée, intitulée, l’AVARE, pendant ſept années;	Il est permis au Sieur de Molière, de faire imprimer, vendre et débiter une Comédie parfois composée, intitulée, l'AVARE, pendant sept années;
& defenſes ſont faites à tous autres, de l’imprimer, ny vendre d’autre Impreſſion, que de celle de l’Expoſant, ou de ceux qui auront droict de luy, à peine de trois mille liures d’amende, confiſcation des Exemplaires contrefaits, & de tous deſpens, dommages & intereſts, comme il eſt porté plus amplement par leſdites Lettres.	et défenses sont faites à tous autres, de l'imprimer, ni vendre d'autre Impression, que de celle de l'Exposant, ou de ceux qui auront droit de grands, à peine de trois mille livres d'amende, confiscation des Exemplaires contrefaits, et de tous dépens, dommages et intérêts, comme il est porté plus amplement par lesdites Lettres.
Aceglitie lar le Blure de la Oonnlidhrauté, ſuiuant l’Arreſt de la Cour.	Aceglitie lar le Blure de la Oonnlidhrauté, suivant l'Arrest de la Cour.
Signé, A.	Signé, A.
SOVBRON, Syndic.	SOUBRON, Syndic.
Ledit Sieur de Moliere a cedé & tranſporté ſon droict de Priuilege à Iean Ribou, Marchand Libraire à Paris, pour en joüir ſuiuant Faccord fait entr’eux.	Ledit Sieur de Molière a cédé et transporté son droit de Privilège à Jean Ribou, Marchand Libraire à Paris, pour en jouir suivant Faccord fait entr'eux.
Acbeué d’imprimer pour la premiere fois, le 18.	Acbeué d'imprimer pour la première fois, le 18.
Fevrier 1669.	Février 1669.
ACTEVRS,	ACTEURS,
HARPAGON, Pere de Cleante & d’Eliſe, & Amoureux de Mariane.	HARPAGON, Père de Cléante et d'Élise, et Amoureux de Mariane.
ODDANTE, rais d'IIaipagon, Aſllant de AANN	ODANTE, rais d'IIIaipagon, Asllant de AAN
imon, Iine dIIarpagon, Illlarite de Valere.	imon, Jine dIIIpagon, Illlarite de Valère.
VALERE, Fils d’Anſelme, & Amant d’Eliſe.	VALÈRE, Fils d'Anselme, et Amant d'Élise.
MARIANE, Amante de Cleante, & aimée d’Harpagon.	MARIANE, Amante de Cléante, et aimée d'Harpagon.
ANSELME, Pere de Valere, & de Mariane.	ANSELME, Père de Valère, et de Mariane.
FROSINE, Femme d’Intrigue.	FROSINE, Femme d'Intrigue.
MATSTRE STMON, Courtier.	MATSTRE STMON, Courtier.
MAISTRE TACQVES, Cuiſmier & Cocher d Ilaipagon.	MAÎTRE TACQVES, Cuismier et Cocher d Ilaipagon.
LA FLEGHE, Valet de Cleante.	LA FLÉGHÉ, Valet de Cléante.
DAME CLAVDE, Seruante d’Harpagon.	DAME CLAUDE, Servante d'Harpagon.
BRINDAVOINE, LA MERLVCHE, (Laquais d’Harpagon.	BRINDAVOINE, LA MERLUCHÉ, (Laquais d'Harpagon.
LE COMMISSAIRE, & SON CLERC.	LE COMMISSAIRE, et SON CLERC.
La Scene eſt à Paris.	La Scène est à Paris.
2A LIA L OMTEDIE	2A LIA L OMTEDIE
ACTE PREMIER SCENE PREMIERE.	ACTE PREMIER SCÈNE PREMIÈRE.
JALERE, ELISE.	JALÈRE, ÉLISE.
204 L S VALERE.	204 L VALÈRE.
E' quoy, charmante Eliſe, vous deuenez mélancolique, apres les obligeantes aſſurances que ln& vous auez eu la bonté de me donner de voſtre foy?	E' quoi, charmante Élise, vous devenez mélancolique, après les obligeantes assurances que lnet vous avez eu la bonté de me donner de votre foi?
Ie vous voy ſoûpirer, helas, au milieu de ma joye!	Je vous vois soupirer, hélas, au milieu de ma joie!
Eſt-ce du regret, dites-moy, de m’auoir fait heureux?	Est-ce du regret, dites-moi, de m'avoir fait heureux?
& vous repentez-vous de cet engagement ou ines leux ont pa vous concraidre;	et vous repentez-vous de cet engagement ou ines leux ont pa vous concraidre;
22	22
ELISE.	ÉLISE.
Non, Valere, ie ne puis pas me repentir de tout ce que ie fais pour vous.	Non, Valère, Seigneur ne puis pas me repentir de tout ce que tu fais pour vous.
Ie m’y ſens entraiſner par vne trop douce puiſſance, & ie n’ay pas meſme la force de ſouhaiter que les choſes ne fuſſent pas.	Je m'y sens entraîner par une trop douce puissance, et tu n'ai pas même la force de souhaiter que les choses ne fussent pas.
Mais.	Mais.
à vous dire vray, le ſuccés me donne de l’inquietudé;	à vous dire vrai, le succès me donne de l'inquiétudé;
& le crailis fort de vous aimer vn peu plus que ie ne deurois.	et le crailis fort de vous aimer un peu plus que ieans devrais.
3	3
VALERE.	VALÈRE.
Hé que pouuez-vous craindre, Eliſe.	Hé que pouvez-vous craindre, Élise.
dans les bontez que vous auez pour moy?	dans les bontés que vous avez pour moi?
ELISE.	ÉLISE.
Helas!	Hélas!
cent choſes à la fois:	cent choses à la fois:
L’emportement d’vn Pere;	L'emportement d'un Père;
les reproches d’vne Famille;	les reproches d'une Famille;
les cenſures du monde;	les censures du monde;
mais plus que tout, Valere, le changement de voſtre cour;	mais plus que tout, Valère, le changement de votre cour;
vmrte:	vite:
sideur criminelle dont ceux de voſtre Sexe payent le plus ſouuent les témoignages trop ardens d’vne innocente amour.	sideur criminelle dont ceux de votre Sexe paient le plus souvent les témoignages trop ardents d'une innocente amour.
VALERE.	VALÈRE.
Ah!	Ah!
ne me faites pas ce tort, de juger de moy par les autres.	ne me faites pas ce tort, de juger de moi par les autres.
Soupçonnez-moy de tout, Eliſe, plutoſt que de manquer à ce que ie vous doy.	Soupçonnez-moi de tout, Élise, plutôt que de manquer à ce que ie vous dois.
Ie vous aime trop pou cela;	Je vous aime trop pou cela;
& mon amour pour vous, durera aulailt que ilu viea	et mon amour pour vous, durera aulailt que ilv viea
ELISE.	ÉLISE.
Ah!	Ah!
Valere, chacun tient les meſmes diſcours.	Valère, chacun tient les mêmes discours.
Tous les Hommes ſont ſemblables par les paroles;	Tous les Hommes sont semblables par les paroles;
& ce n’eſt qque les actions, qui les découurent differens.	et ce n'est qque les actions, qui les découvrent différents.
VALERE.	VALÈRE.
Puis que les ſeules actions font connoiſtre ce que nous ſommes;	Puis que les seules actions font connaître ce que nous sommes;
attendez donc au moins à juger de mon cœur par elles, & ne me cherchez point des crimes dans les injuſtes craintes d’vne fâcheuſe préuoyance.	attendez donc au moins à juger de mon cœur par elles, et ne me cherchez point des crimes dans les injustes craintes d'une fâcheuse prévoyance.
Ne m’aſſaſſinez point, ie vous prie, par les ſenſibles coups d’vn ſoupçon outrageux;	Ne m'assassinez point, je vous prie, par les sensibles coups d'un soupçon outrageux;
de domier-moy le temps de vous cofluaincre, par mille & mille preuues, de l’honneſteté de mes feux.	de domier-moi le temps de vous cofluaincre, par mille et mille preuves, de l'honnêteté de mes feux.
ELISE.	ÉLISE.
Helas!	Hélas!
qu’auec facilité on ſe laiſſe perſuader par les Perſonnes que l’on aime!	qu'avec facilité on se laisse persuader par les Personnes que l'on aime!
Oüy, Valere, ie tiens voſtre cœur incapable de m’abuſer.	Oui, Valère, ie tiens -même cœur incapable de m'abuser.
Ie croy que vous m’aimez d’vn veritable amour, & que vous me ſerez fidelle;	Je crois que vous m'aimez d'un véritable amour, et que vous me rez fidèle;
ie n’en veux point du tout douter.	Le n'en veux point du tout douter.
& ie retranche mon chagrin aux apprehenſions du blâme qu’on pourra me donner.	et petit retranche mon chagrin aux appréhensions du blâme qu'on pourra me donner.
VALERE.	VALÈRE.
Mais pourquoy cette nquietuue.	Mais pourquoi cette nquietuue.
ELISE.	ÉLISE.
Ie n’aurois rien à craindre, ſi tout le monde vous voyoit des yeux dont ie vous voy;	Je n'aurais rien à craindre, si tout le monde vous voyait des yeux dont tu vous vois;
& ie trouue en voſtre Perſonne dequoy auoir raiſon aux choſes que ie fais pour vous.	et été trouve en votre Personne dequoy avoir raison aux choses que je fais pour vous.
Mon cœur, pour ſa defenſe, a tout voſtre merite, appuyé du ſecours d’vne reconnoiſſance où le Ciel m’engage enuers vous.	Mon cœur, pour sa défense, a tout votre mérite, appuyé du secours d'une reconnaissance où le Ciel m'engage envers vous.
