A PARIS.	À PARIS.
Chez CLAVDE BARBIN, au Palais, ſur le Degré deuant la Sainte Chapelle, au Signe de la Croix.	Chez CLAUDE BARBIN, au Palais, sur le Degré devant la Sainte Chapelle, au Signe de la Croix.
M.	M.
DC.	DC.
LXIII.	LXIII.
AVEC PRIVILEGE	AVEC PRIVILÈGE
A MONSIEVR MONSIEVR HOVRLIER, ESCVYER SIEVR DE Mericourt, Conſeiller du Roy, Lieutenant General Ciuil & Criminel au Baillage du Palais à Paris.	À MONSIEUR MONSIEUR HOURLIER, ÉCUYER SIEUR DE Mericourt, Conseiller du Roi, Lieutenant Général Civil et Criminel au Baillage du Palais à Paris.
ſi elle n'avoit eſté le charme de Paris, & ſi elle n'auoit eſté le diverteſſement du plus grand Monarque de la Terre, ie ne prendrois pas la liberté de vous l’offrir.	si elle n'avait été le charme de Paris, et si elle n'avait été le divertessement du plus grand Monarque de la Terre, ie ne prendrais pas la liberté de vous l'offrir.
Il y a longtemps que i'avois reſolu de vous preſenter quelque choſe qui vous marquaſt mes reſpects;	Il y a longtemps que j'avais résolu de vous présenter quelque chose qui vous marquât mes respects;
Mais ne trouvant rien qui fut digne de vous eſtre offert, & qui fut proportionné à vos merites, i avois toûjours differé le iuſte & reſpectueux hommage que ie m'etois propoſé de vous rendre;	Mais ne trouvant rien qui fut digne de vous être offert, et qui fut proportionné à vos mérites, y à toujours différé le juste et respectueux hommage que sans m'étais proposé de vous rendre;
& i'euſſe peut-eſtre encore tardé long-temps à le faire, ſi le Depit Amoureux de l’Autheur le plus approuvé de ce ſiecle ne me fut tombé entre les mains.	et j'eusse peut-être encore tardé longtemps à le faire, si le Dépit Amoureux de l'Auteur le plus approuvé de ce siècle ne me fut tombé entre les mains.
I’ay crû, Monſieur, que ie ne devois pas laiſſer échapper cette occaſion de ſatisfaire aux loix que ie m'eſtois impoſées & que tous les gens d’eſprit demandans tous les iours cette piece, pour avoir le plaiſir de la lecture, comme ils ont eu celuy de la repreſentation, ils ſeroient bien aiſes de rencontrer vôtre nom à la teſte.	J'ai cru, Monsieur, que je ne devais pas laisser échapper cette occasion de satisfaire aux lois que je m'étais imposées et que tous les gens d'esprit demandants tous les jours cette pièce, pour avoir le plaisir de la lecture, comme ils ont eu celui de la représentation, ils seraient bien aises de rencontrer votre nom à la tête.
Pour moy, Monſieur, ma ioye ſera tout à fait grande de le voir paſſer, non ſeulement dans pluſieurs mains, mais encor dans la bouche des plus charmantes perſonnes du monde.	Pour moi, Monsieur, ma joie sera tout à fait grande de le voir passer, non seulement dans plusieurs mains, mais encor dans la bouche des plus charmantes personnes du monde.
l’eſt alors que chacun ſe ſouviendra de toutes les belles, & avantageuſes qualitez que vous poſſedez, que les vns loueront vôtre Prudence,, les autres vôtre eſprit les autres vôtre lujmte y les autre la douceur qui eſt inſeparable de tout ce que vous faites, & qui eſt ſi vivement depeinte ſur lvôtre viſage, qu’il n’eſt perſonne qui puiſſe douter que vos actions en ſoient remplies.	l'est alors que chacun se souviendra de toutes les belles, et avantageuses qualités que vous possédez, que les uns loueront votre Prudence, les autres votre esprit les autres votre lujmette y les autre la douceur qui est inséparable de tout ce que vous faites, et qui est si vivement dépeinte sur lvôtre ion, qu'il n'est personne qui puisse douter que vos actions en soient remplies.
Iugez, Monſieur, quelle ſatisfaction i'auray de ſçavoir que l’on rendra à vôtre merite ce qui luy eſt deu, que l’on vous donnera des loüanges que vous avez ſi legiiimement meritées, que l’on m'eſtimera d’avoir fait vn ſi iuſte choix, & ſi glorieux pour moy, & que l’on loüera le zele * le reſpect avec lequel ie ſuis	Jugez, Monsieur, quelle satisfaction j'aurai de savoir que l'on rendra à votre mérite ce qui lui est dev, que l'on vous donnera des louanges que vous avez si légiimement mérité, que l'on m'estimera d'avoir fait un si juste choix, et si glorieux pour moi, et que l'on loüera le zèle * le respect avec lequel ie suis
Voſtre tres-humblé, & tres-obeiſſant ſeruiteur G.	Votre très-humblé, et très-obéissant serviteur G.
QVINET.	QVINET.
