Extrait du Privilege du Roy.	Extrait du Privilège du Roi.
Ar Grace & Privilege du Roy, donné à T Paris le 31.	Ar Grâce et Privilège du Roi, donné à T Paris le 31.
Decembre 1670.	Décembre 1670.
Signé, Par le Roy en ſon Conſeil, GUITONNEAU.	Signé, Par le Roi en son Conseil, GUITONNEAU.
Il eſt permis à I.	Il est permis à I.
B.	B.
P.	P.
MOLIERE, de faire imprimer par tel Imprimeur ou Libraire qu’il voudra choiſir, une Piece de Theatre de ſa compoſition, intitulée Les Femmes Sça vantes;	MOLIÈRE, de faire imprimer par tel Imprimeur ou Libraire qu'il voudra choisir, une Pièce de Théâtre de sa composition, intitulée Les Femmes Sça vantes;
& ce pendant le temps & eſpace de dix ans, à compter du jour que ladite Piece ſera achevée d’imprimer pour la premiere fois:	et ce pendant le temps et espace de dix ans, à compter du jour que ladite Pièce sera achevée d'imprimer pour la première fois:
Et defenſes ſont faites à toutes Perſonnes de quelque qualité & condition, qu’ils ſoient, d’imprimer, ou faire imprimer ladite Piece, ſans le conſentement de l’Expoſant, ou de ceux qui auront droict de luy, à peine de ſix mil livres d’amende, ee de tous derpelis, donnnages & intereſts, ainſi que plus au long il eſt porté audit Privilege.	Et défenses sont faites à toutes Personnes de quelque qualité et condition, qu'ils soient, d'imprimer, ou faire imprimer ladite Piège, sans le consentement de l'Exposant, ou de ceux qui auront droit de Seigneur, à peine de six mille livres d'amende, ce de tous derpelis, donnages et intérêts, ainsi que plus au long il est porté audit Privilège.
Regiſtré ſur le Livre de la Communauté.	Registré sur le Livre de la Communauté.
le 13.	le 13.
Mars 1671.	Mars 1671.
Signé, L.	Signé, L.
SEVESTRE, Syndic Achevé d’imprimer le 1o.	SEVESTRE, Syndic Achevé d'imprimer le 1o.
De cembre 1672.	De célèbre 1672.
ACTEURS.	ACTEURS.
CHRISALE, Bon Bourgeois.	CHRISALE, Bon Bourgeois.
ARMANDE, Filles de chriſale &	ARMANDE, Filles de chrisale et
HENRIETTE, 5 de Philaminte.	HENRIETTE, 5 de Philaminte.
ARISTE, Frere de Chriſale.	ARISTE, Frère de Chrisale.
BELISE, Sœur de Chriſale.	BELIZE, Sœur de Chrisale.
CLITANDRE, Amant d’Henriette.	CLITANDRE, Amant d'Henriette.
ARISSOTIN, Bel Elprit.	ARISOTIN, Bel Elprit.
VADIUS, Sçavant.	VADIUS, Savant.
MARTINE, Servante de Cuiſine.	MARTINE, Servante de Cuisine.
L’EPINE, Laquais de Triſſotin.	L'ÉPINE, Laquais de Trissotin.
JULIEN, Valet de Vadius.	JULIEN, Valet de Vadius.
LE NOTAIRE.	LE NOTAIRE.
La Scene eſt à Paris.	La Scène est à Paris.
EEO AEIANELO SCAVANTES COMTEDIL.	ÉEO AEIANELO SCAVANTES COMTEDIL.
ACTE PREMIER.	ACTE PREMIER.
OCLNE IREMIERL.	OCLNE IREMIÈRL.
ARMANDE, HENRIETTE.	ARMANDE, HENRIETTE.
ARMANDE.	ARMANDE.
UOY, le beau nom de Fille eſt un titre.	OUI, le beau nom de Fille est un titre.
d2le Seul, Dont vous voulez quitter la charmante douceur?	d2le Seul, Dont vous voulez quitter la charmante douceur?
Et de vous marier vous oſez faire feſte?	Et de vous marier vous osez faire fête?
Ce vulgaire deſſein vous peut monter en teſte?	Ce vulgaire dessein vous peut monter en tête?
HENRIETTE.	HENRIETTE.
Oüy, ma Sœur.	Oui, ma Sœur.
ARMANDE.	ARMANDE.
Ah ce oüy ſe peut-il ſuporter?	Ah ce oui se peut-il supporter?
Et ians un mal de cœul ſçaurolt-on l’ecouter?	Et jants un mal de cœul saurolt-on l'écouter?
HENRIETTE.	HENRIETTE.
Qu’a-donc le Mariage en ſoy qui vous oblige, Ma Sœeur.	Qu'a-donc le Mariage en soi qui vous oblige, Ma Sœeur.
ARMANDE.	ARMANDE.
Ah mon Dieu, fy.	Ah mon Dieu, fi.
HENRIETIE.	HÉNRIETIE.
Comment?	Comment?
ARMANDE.	ARMANDE.
Ah fy, vous dy-je.	Ah fi, vous dis-je.
Ne concevez-vous point ce que, dés qu’on l’entend, Un tel mot à l’Eſprit offre de dégoûtant?	Ne concevez-vous point ce que, dès qu'on l'entend, Un tel mot à l'Esprit offre de dégoûtant?
De quelle étrange image on eſt par luy bleſſée?	De quelle étrange image on est para luy blessée?
our quelle lale veue ntraſmle la penlec?	our quelle la vue ntrâmle la penlec?
N’en friſsõnez-vous point?	N'en frissonnez-vous point?
& pouvez-vous, ma Sœur, Aux ſuites de ce mot réſoudre voſtre cœur?	et pouvez-vous, ma Sœur, Aux suites de ce mot résoudre votre cœur?
HENRIETTE.	HENRIETTE.
Les ſuites de ce mot, quand je les enviſage, Me font voir un Mary, des Enfans, un Ménage;	Les suites de ce mot, quand je les envisage, Me font voir un Mari, des Enfants, un Ménage;
Etje ne voy Henla, nj arpdls talioinler, Qui bleſſe la penſée, & faſſe friſſonner.	Etje ne vois Henla, nj arpds talioinler, Qui blesse la pensée, et fasse frissonner.
ARMANDE.	ARMANDE.
De tels attachemens, ô Ciel!	De tels attachements, ô Ciel!
ſont pour vous plaire?	sont pour vous plaire?
HENRIETTE.	HENRIETTE.
Et qu’eſt-ce qu’à mon âge on a de mieux à faire, ue dattuener a loy, par le taled Epods, Un Homme qui vous aime, & ſoit aimé de vous;	Et qu'est-ce qu'à mon âge on a de mieux à faire, ue datuener à loi, par le taled Epods, Un Homme qui vous aime, et soit aimé de vous;
Et de cette union de tendreſſe ſuivie, Se faire les douceurs d’une innocente vie?	Et de cette union de tendresse suivie, Se faire les douceurs d'une innocente vie?
Ce nœud bien aſſorty n’a-t-il pas des appas?	Ce nœud bien assorti n'a-t-il pas des appas?
ARMANDE.	ARMANDE.
Mon Dieu, que voſtre Eſprit eſt d’un étage bas.	Mon Dieu, que votre Esprit est d'un étage bas.
Que vous joüez au Monde un petit Perſonnage.	Que vous jouez au Monde un petit Personnage.
De vous claquemurer aux choſes du Ménage.	De vous claquemurer aux choses du Ménage.
Et de n’entrevoir point de plaiſirs plus touchans, Qu’un Idole d’Epous, & des marmots d’Enfans!	Et de n'entrevoir point de plaisirs plus touchants, Qu'un Idole d'Épous, et des marmots d'Enfants!
Laiſſez aux Gens groſſiers, aux Perſonnes vulgaires, Les bas amuſemens de ces ſortes d’affaires.	Laissez aux Gens grossiers, aux Personnes vulgaires, Les bas amusements de ces sortes d'affaires.
A de plus hauts objets élevez vos deſirs, Songez à prendre un gouſt des plus nobles plaiſirs, Et traittant de mépris les ſens & la matiere, A l’Eſprit comme nous donnez-vous toute entieres Vous avez noſtre Mere en exemple à vos yeux, Que du nom de Sçavante on honore en tous lieux, Tâchez ainſi que moy de vous montrer ſa Fille, Aſpirez aux clartez qui ſont dans la Famille, Et vous rendez ſenſible aux charmantes douceurs Que l’amour de l’Etude épanche dans les cœurs:	À de plus hauts objets élevés vos désirs, Songez à prendre un goût des plus nobles plaisirs, Et traitant de mépris les sens et la matière, A l'Esprit comme nous donnez-vous toute entières Vous avez nôtre Mère en exemple à vos yeux, Que du nom de Savante on honore en tous lieux, Tâchez ainsi que moi de vous montrer sa Fille, Aspirez aux clartés qui sont dans la Famille, Et vous rendez sensible aux charmantes douceurs Que l'amour de l'Eude épanche dans les cœurs:
Loin d’eſtre aux loix d’un Hõme en Eſclave aſſervie;	Loin d'être aux lois d'un Homme en Esclave asservie;
Mariez-vous, ma Sœur, à la Philoſophie, Qui nous monte au deſſus de tout le Genre Humain, Et donne à la Raiſon l’empire ſouverain, Soûmettant à ſes loix la partie animale Dont l’appétit groſſier aux Beſtes nous ravale.	Mariez-vous, ma Sœur, à la Philosophie, Qui nous monte au dessus de tout le Genre Humain, Et donne à la Raison l'empire souverain, Soumettant à ses lois la partie animale Dont l'appétit grossier aux Bêtes nous ravale.
Ce ſont là les beaux feux, les doux attachemens.	Ce sont là les beaux feux, les doux attachements.
Qui doivent de la vie occuper les momens;	Qui doivent de la vie occuper les moments;
Et les ſoins où je voy tant de Femmes ſenſibles, Me paroiſſent aux yeux des pauvretez horribles.	Et les soins où je vois tant de Femmes sensibles, Me paraissent aux yeux des pauvretés horribles.
HENRIETTE.	HENRIETTE.
Le Ciel, dont nous voyõs que l’ordre eſt tout puiſſant, Pour diférens emplois nous fabrique en naiſſant, Et tout Eſprit n’eſt pas compoſé d’une étoffe Qui ſe trouve taillée à faire un Philoſophe.	Le Ciel, dont nous voyõs que l'ordre est tout puissant, Pour diférens emplois nous fabrique en naissant, Et tout Esprit n'est pas composé d'une étoffe Qui se trouve taillée à faire un Philosophe.
Si le voſtre eſt né propre aux élevations Où montent des Sçavans les ſpéculations,	Si le vôtre est né propre aux élevations Où montent des Savants les spéculations,
A i Le mien eſt fait, ma Sœur, pour aller terre à terre, Et dans les petits ſoins ſon foible ſe reſſerre.	À y Le mien est fait, ma Sœur, pour aller terre à terre, Et dans les petits soins son faible se resserre.
Ne troublons point du Ciel les juſtes reglemens, Et de nos deux inſtincts ſuivons les mouvemens;	Ne troublons point du Ciel les justes règlements, Et de nos deux instincts suivons les mouvements;
Habitez par l’eſſor d’un grand & beau génie, Les hautes regions de la Philoſophie, Tandis que mon Eſprit ſe tenant icy-bas, Goûtera de l’Hymen les terreſtres appas.	Habitez par l'essor d'un grand et beau génie, Les hautes régions de la Philosophie, Tandis que mon Esprit se tenant ici-bas, Goûtera de l'Hymen les terrestres appas.
Ainſi dans nos deſſeins l’une à l’autre contraire, Nous ſçaurons toutes deux imiter noſtre Mere;	Ainsi dans nos desseins l'une à l'autre contraire, Nous saurons toutes deux imiter notre Mère;
