A PARIS, Chez PIERRE LE MONNIER, au Palais, vis-à-vis la Porte de l’Egliſe de la S.	À PARIS, Chez PIERRE LE MONNIER, au Palais, vis-à-vis la Porte de l'Église de la S.
Chapelle, à l’Image S.	Chapelle, à l'Image S.
Loüis, & au Feu Divin.	Louis, et au Feu Divin.
ACTEVRS.	ACTEURS.
ARGANTE, Pere d’Octave, & de Zerbinette.	ARGANTE, Père d'Octave, et de Zerbinette.
GERONIE, Icle de Leandre, & de Hiacinte.	GERONIE, Icle de Léandre, et de Hiacinte.
OCTAVE, Fils d’Argante, & Amant de Hiacinte.	OCTAVE, Fils d'Argante, et Amant de Hacinte.
LEANDRE, Fils de Geronte, & Amant de Zerbinette.	LÉANDRE, Fils de Geronte, et Amant de Zerbinette.
LERDINETTE, eiue Egypuemie, & reconuuë Fille d’Argante, & Amante de Ledlldlce	LERDINETTE, éjue Egypuemie, et reconue Fille d'Argante, et Amante de Lédlldlce
HIACINTE, Fille de Géfonte, & Amante d’Octave.	HIACINTE, Fille de Géfonte, et Amante d'Octave.
SCAPIN, Valet d’Octave, & Fourbe.	SACPIN, Valet d'Octave, et Fourbe.
SILVESTRE, Valet de Leandre.	SILVESTRE, Valet de Léandre.
NERINE, Nourrice de Hiacinte.	NERINE, Nourrice de Hiacinte.
CARLE, Fourbe.	CARLE, Fourbe.
DEVX PORTEVRS.	DEUX PORTEURS.
La Scene eſt à Naples.	La Scène est à Naples.
S LES AVRBERIES ( 1 DE AIIN COMIEDIL.	 SES AURBERIES ( 1 DE AIN COMIEDIL.
ACTE PREMIER.	ACTE PREMIER.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
OCTAVE, SILVESTRE.	OCTAVE, SILVESTRE.
Ouy.	Oui.
SILVESTRE.	SILVESTRE.
OCTAVE.	OCTAVE.
Qu’il arrive ce matin meſme?	Qu'il arrive ce matin même?
SILVESTRE.	SILVESTRE.
Ce matin meſme.	Ce matin même.
CTAVE.	CTAUE.
Et qu'il levient daiis la réſolution de me marier?	Et qu'il levient daiis la résolution de me marier?
Oüy.	Oui.
SILVESTRE.	SILVESTRE.
CTAVE.	CTAUE.
a uo uue nmtetu ouigdenn derdnte;	a ouve nuve naîtetu ouigédenn derdnte;
SILVESTRE.	SILVESTRE.
Du Seigneur Geronte.	Du Seigneur Géronte.
OCTAVE.	OCTAVE.
Et que cette Fille eſt mandée de Tarente icy pour cela?	Et que cette Fille est mandée de Tarente ici pour cela?
Oüy.	Oui.
7 BILVESTRE.	7 BILVESTRE.
deTAVL.	déTAUL.
Et tu tiens ces nouvelles de mon Oncle?	Et tu tiens ces nouvelles de mon Oncle?
ILVESTRE.	ILVÊTRE.
De voſtre Oncle.	De votre Oncle.
OCTAVE.	OCTAVE.
A qui mon Pere les a mandées par une Lettre?	À qui mon Père les a mandées par une Lettre?
SILVESTRE.	SILVESTRE.
Par une Leſtre.	Par une Lestre.
OCTAVE.	OCTAVE.
Et cet Oncle, dis-tu, ſçait toutos nos affaires.	Et cet Oncle, dis-tu, sais toutos nos affaires.
SILVESTRE.	SILVESTRE.
Toutes nos affaires.	Toutes nos affaires.
OCTAVE.	OCTAVE.
Ah parle, ſi tu veux, & ne te fais point de la ſorte, arracher les mots de la bouche.	Ah parle, si tu veux, et ne te fais point de la sorte, arracher les mots de la bouche.
SILVESTRE.	SILVESTRE.
Qu’ay-je à parler davantage!	Qu'ai-je à parler davantage!
Vous n’oubhlez aucune circonitance, & vous dites les choſes tout juſtement comme elles ſont.	Vous n'oubhlez aucune circonitance, et vous dites les choses tout justement comme elles sont.
CTAVE.	CTAUE.
Conſeille-moy, du moins, & me dy ce que je dois faire dans ces cruelles conjonctures.	Conseille-moi, du moins, et me dis ce que je dois faire dans ces cruelles conjonctures.
ILVESIRE.	ILVESIRE.
Ma foy, je m’y trouve autant embaraſſé que vous, & j’aurois bon beſoin que l’on me conſeillaſt moy-meſme.	Ma foi, je m'y trouve autant embarrassé que vous, et j'aurais bon besoin que l'on me conseillât moi-même.
OCTAVE.	OCTAVE.
Je ſuis aſſaſſiné par ce maudit retour.	Je suis assassiné par ce maudit retour.
