A PARIS, Chez IEAN RIBOV, au Palais, vis-a*vis la Porte de i’Egliſe de la Sainte Chapelle, à l’Image Saint Loüis.	À PARIS, Chez JÉAN RIBOU, au Palais, vis-a*vis la Porte de j'Église de la Sainte Chapelle, à l'Image Saint Lis.
M.	M.
DC.	DC.
LXIX.	LXIX.
Auec Priuilege du Roy.	Avec Privilège du Roi.
Extrait du Priuilege du Roy.	Extrait du Privilège du Roi.
Ar grace & priuilege du Roy, donné I à Paris le dernier iour de Seprembre 1668.	Ar grâce et privilège du Roi, donné I à Paris le dernier jour de Seprembre 1668.
ſigné par le Roy en ſon Conſeil GVILIERE de faire imprimer, vendre & debiter vne Comedie parluy composée intitulée George Dandin, ou le mary confondu, pendanſept années, & defenſes ſont faites à tous autres de l’imprimer, ny d’autre edition que celle de l’Expoſant, ou de ceux qui auront droit de luy, à peine de trois mille liures d’amende, confiſcation des exemplaires contrefaits, & de tous dépens, dommages, & intereſts, comme il eſt plus amplement porté par leſdites lettres.	signé par le Roi en son Conseil GUILIERE de faire imprimer, vendre et débiter une Comédie parlui composée intitulée George Dandin, ou le mari confondu, pendantssept années, et défenses sont faites à tous autres de l'imprimer, ni d'autre édition que celle de l'Exposant, ou de ceux qui auront droit de Saurait, à peine de trois mille livres d'amende, confiscation des exemplaires contrefaits, et de tous dépens, dommages, et intérêts, comme il est plus amplement porté par lesdites lettres.
Ledit Sieur de MOLIERE a cedé ſon droit de Priuilege à TeAN RiBOV Marchand Libraire à Paris, ſuiuant l’accord fait entre eux.	Ledit Sieur de MOLIÈRE a cédé son droit de Privilège à TeAN RiBOU Marchand Libraire à Paris, suivant l'accord fait entre eux.
Regiſtré ſur le liure de la Communauté.	Registré sur le livre de la Communauté.
Signé, A.	Signé, A.
SOVBRON, Syndic.	SOUBRON, Syndic.
ACTEVRS.	ACTEURS.
GEORGE DANDIN, riche Payſan Mary d’Angelique.	GEORGE DANDIN, riche Paysan Mari d'Angélique.
ANGELIQVE, Femme de George Dandin, & Fille de Mr de Sotenuille.	ANGELIQUE, Femme de George Dandin, et Fille de Mr de Sotenville.
MIDESOTENVALLE, Gentil-homme, Campagnard, Pere d’Angelique.	MIDESOTENVALLE, Gentilhomme, Campagnard, Père d'Angélique.
Me DE SOTENVILLE, ſa Femme.	Me DE SOTENVILLE, sa Femme.
CLITANDRE, Alomeux d’Angelique.	CLITANDRE, Alomeux d'Angélique.
CLAVDINE, Suiuante d’Angélique.	CLAUDINE, Suivante d'Angélique.
LVBIN, Payſan, ſeruant Clitandre.	LUBIN, Paysan, servant Clitandre.
COLIN, Valet de George Dandin.	COLIN, Valet de George Dandin.
La Scene eſt deuant la Maiſon de George Dandin.	La Scène est devant la Maison de George Dandin.
GEORGE DANDIN OV LE MGISONTONDV.	GEORGE DANDIN OU LE MGISONTONDV.
ACTE I SCENE PREMIERE.	ACTE I CÈNE PREMIÈRE.
lante à tous les Payſans qui veulent s’éleuer au deſſus de leur condition, & s’allier cõme i’ay fait à la mais õ d’vn Gentilhomme.	lante à tous les Paysans qui veulent s'élever au dessus de leur condition, et s'allier comme j'ai fait à la mais on d'un Gentilhomme.
La nobleſſe de ſoy eſt bõne:	La noblesse de soi est bonne:
c’eſt vne choſe conſiderable aſſurement, mais elle eſt acopagnée de tant de mauuaiſes circonſtances, qu’il eſt tresbon de ne s’y point froter.	c'est assez chose considérable assurément, mais elle est acopagnée de tant de mauvaises circonstances, qu'il est tresbon de ne s'y point frotter.
Ie ſuis deuenu là deſſus ſçauant à mes dépens, & connois le ſtyle des Nobles lors qu’ils nous font nous autres entrer dans leur famille.	Je suis devenu là dessus savant à mes dépens, et connais le style des Nobles lors qu'ils nous font nous autres entrer dans leur famille.
L’alliance qu’ils font eſt petite auec nos perſonnes.	L'alliance qu'ils font est petite avec nos personnes.
