Chez BARBIN, au Palais, vis à vis le grand Portail de lu Sainté Chapelle, au ſigne de la Croix.	Chez BARBIN, au Palais, vis -à -vis le grand Portail de lu Sainté Chapelle, au signe de la Croix.
Auec Prinilege du Roy.	Avec Prinilège du Roi.
Ie vous preſente vn Ouurae qui n'a peut-eſtre rien de conſiderable que l’honneur de vous auoir plu.	Je vous présente un Ouvrae qui n'a peut-être rien de considérable que l'honneur de vous avoir plu.
Mais veritablement cet honneur eſt quelque choſe de ſi grand pour moy, que quand ma Piece ne m'auroit produit que cet auantage, je pourois dire que ſon ſucceZ auroit paſſe mes eſperances.	Mais véritablement cet honneur est quelque chose de si grand pour moi, que quand ma Pièce ne m'aurait produit que cet avantage, je pourrais dire que son succès aurait passe mes espérances.
Et que pouuois-je eſperer de plus glorieux que l’approbation d'vne Perſonne qui ſçait donne aux choſes vn ſi juſte prix, & qui eſt luy-meſme l'admiration de tout le monde?	Et que pouvais-je espérer de plus glorieux que l'approbation d'une Personne qui sait donne aux choses un si juste prix, et qui est lui-même l'admiration de tout le monde?
Außi, MONSEIGNEVR, ſi la Thebayde à receu quelques applaudiſſemens, c’eſt ſans dou le qu’on n'a pas oſe dementir e jugement que vous aueZ lonné en ſa faueur, & il ſemile que vous luy ayeZ communique ce don de plaire qui acompagne toutes vos actions.	Aussi, MONSEIGNEUR, si la Thebayde à reçu quelques applaudissements, c'est sans dou le qu'on n'a pas ose démentir e jugement que vous avez lonné en sa faveur, et il semile que vous lui ayez communique ce don de plaire qui acompagne toutes vos actions.
I'eſpere qu'eſtant depoüillée des ornemens du Theatre, vous ne laiſſereZ pas de la regarder encore fauorablement.	J'espère qu'étant depoüillée des ornements du Théâtre, vous ne laissez pas de la regarder encore favorablement.
Si cela eſt, quelques ennemis qu'elle puiſſe auoir, je n'apprehende rien pour elle, puis qu'elle ſera aſſeurée d’vn Protecteur, que le nombre des ennemis n'a pas accouſtumé d’eſbranler.	Si cela est, quelques ennemis qu'elle puisse avoir, je n'appréhende rien pour elle, puis qu'elle sera assurée d'un Protecteur, que le nombre des ennemis n'a pas accoutumé d'ébranler.
On que ſi vous aueZ vne parfait connoiſſance des belles choſes vous n'entreprenez pas le grandes auec vn courage moin éleué, & que vous auez reun en vous ces deux excellentes qualiteZ qui ont fait ſeparement tant de-grands hommes.	On que si vous avez élevez parfait connaissance des belles choses vous n'entreprenez pas le grandes avec un courage moin élevé, et que vous avez reun en vous ces deux excellentes qualité qui ont fait séparément tant degrands hommes.
Mais je dois craindre que mes louanges ne vous ſoient außi importunes, que les voſtres m'ont eſté aduantageuſes:	Mais je dois craindre que mes louanges ne vous soient aussi importunes, que les vôtres m'ont été avantageuses:
Außi bien je ne vous dirois que des choſes qui ſont connuës de tout le monde, & que von, ſeul voulez ignorer.	Aussi bien je ne vous dirais que des choses qui sont connues de tout le monde, et que von, seul voulez ignorer.
Il ſuffit que vous me permettiez de vous ire auec vn profond reſpect, ue ie ſuis,	Il suffit que vous me permettiez de vous ire était un profond respect, ue ie suis,
MONSEIGNEVR,	MONSEIGNEUR,
Voſtre tres-humble, & tres.	Votre très-humble, et très.
obeyſſant Seruiteur, ACINE.	obéissant Serviteur, ACINE.
14 ( LA CBAYDE LES FRERES ENNEMIS.	14 ( LA CAYDE LES FRÈRES ENNEMIS.
ACTE I.	ACTE I.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
IOCASTE, OLYMPE.	JOCASTE, OLYMPE.
I OCASTE.	I OCASTE.
Ls ſont ſortis, Olympe?	Ls sont sortis, Olympe?
Ah mortelles douleurs!	Ah mortelles douleurs!
u’vn moment de repos me va couſter de pleurs!	Qu'un moment de repos me va coûter de pleurs!
Mes yeux depuis ſix mois eſtoient ouuerts aux larmes, Et le ſommeil les ferme en de telles allarmes?	Mes yeux depuis six mois étaient ouverts aux larmes, Et le sommeil les ferme en de telles alarmes?
Il deuoit bien plutoſt les fermer pour jamais, que de fauoriſer le plus noir des forfaits.	Il devait bien plutôt les fermer pour jamais, que de favoriser le plus noir des forfaits.
Riais en lont no lan Miams.	Riais en lont nô lan Miams.
OLYMPE.	OLYMPE.
Du haut de la mura Ie les ay veûs déja tous rangez en bataille, Et pour vous auertir, j’ay quitté les rempars.	Du haut de la mura Je les ai vus déjà tous rangés en bataille, Et pour vous avertir, j'ai quitté les rempars.
I’ay veu le fer en main Etéocle luy meſme;	J'ai vu le fer en main Etéocle te rendre;
Il hlarene des premneis, ce dvne aideur extréme.	Il hélarène des premneis, ce dune aideur extrême.
Il montre aux plus hardis à brauer le danger.	Il montre aux plus hardis à braver le danger.
TOCASIE.	TOCASIE.
N’en doutons plus, Olympe, ils ſe vont égorger,	N'en doutons plus, Olympe, ils se vont égorger,
à vn Page.	à un Page.
Que l’on aille au plus viſte auertir la Princeſſe, Ie l’attens.	Que l'on aille au plus vite auertir la Princesse, Je l'attends.
Iuſte Ciel!	Juste Ciel!
ſouſtenez ma foibleſſe, Il faut, il faut courir apres ces inhumains, Il les faut ſeparer, ou mourir par leurs mains.	soutenez ma faiblesse, Il faut, il faut courir après ces inhumains, Il les faut séparer, ou mourir par leurs mains.
Nous voicy donc, Olympe, à ce iour déteſtable Dont la ſeule frayeur me rendoit miſerable, Ny prieres, ny pleurs ne m’ont de rien ſeruy, Et le couroux du ſort vouloit eſtre aſſouuy.	Nous voici donc, Olympe, à ce jour détestable Dont la seule frayeur me rendait misérable, N prières, ni pleurs ne m'ont de rien servi, Et le courroux du sort voulait avoir assouuy.
O toy, qui que tu ſois qui rens le iour au monde, Que ne l’as tu laiſſé dans vne nuit profonde?	Ô toi, qui que tu sois qui rends le jour au monde, Que ne l'as tu laissé dans une nuit profonde?
