ONSEIGNEUR, je doute ſi je l'aurois obtenuë.	ONSEIGNEUR, je doute si je l'aurais obtenue.
Mais ce ſeroit eſtre en quelque ſorte ingrat, que de cacher plus long-temps au monde les bontez dont vous m’avez toûjours honoré.	Mais ce serait être en quelque sorte ingrat, que de cacher plus longtemps au monde les bontés dont vous m'avez toujours honoré.
Quelle apparence qu’un homme qui ne travaille que pour la gloire, ſe puiſſe taire d’une protection auſſi glorieuſe que la veſtre?	Quelle apparence qu'un homme qui ne travaille que pour la gloire, se puisse taire d'une protection aussi glorieuse que la vêtre?
Non, MONSEIGNEUR, il m’eſt trop avantageux que l’on ſçache que mes Amis meſme ne vous ſont pas indifferens, que vous prenez part à tous mes Ouvrages, & que vous m’avez procuré l’honneur de lire celuy-cy devant un Homme dont toutes les heures ſont pretieuſes.	Non, MONSEIGNEUR, il m'est trop avantageux que l'on sache que mes Amis même ne vous sont pas indifférents, que vous prenez part à tous mes Ouvrages, et que vous m'avez procuré l'honneur de lire celui-cy devant un Homme dont toutes les heures sont pretieuses.
Vous fuſtes témoin avec quelle penetration d’eſprit il jugea de l’œconomit de la Piece, & combien l’idée qu’il s’est formée d’une excellente Tragedie, eſt au de-là de tout ce que j’en ay pû concevoir.	Vous fûtes témoin avec quelle pénétration d'esprit il jugea de l'œconomit de la Pièce, et combien l'idée qu'il s'est formée d'une excellente Tragédie, est au de-là de tout ce que j'en ai pu concevoir.
Ne craignez pas, MonSEIGNEUR que je m’engage plus avant, & que n’oſant le loüer en face, je m’adreſſe à vous pour le loüer avec plus de liberté.	Ne craignez pas, MonSEIGNEUR que je m'engage plus avant, et que n'osant le louer en face, je m'adresse à vous pour le louer avec plus de liberté.
Je ſçuy qu’il ſeroit dangereux de le fatiguer de ſes lolianges.	Je suis qu'il serait dangereux de le fatiguer de ses lolianges.
Et j’oſe dire que cette meſme Modeſtie qui vous eſt commune avec luy n’eſt pas un des moindres liens qui vous attachent l’un à l’autre.	Et j'ose dire que cette même Modestie qui vous est commune avec tu n'est pas un des moindres liens qui vous attachent l'un à l'autre.
La Moderation n’eſt qu’une vertu ordinaire, quand elle ne ſe rencontre qu’avec des qualitez ordinaires.	La Modération n'est qu'une vertu ordinaire, quand elle ne se rencontre qu'avec des qualités ordinaires.
Mais qu’avec toutes les qualitez & du cœur & de l’eſprit, qu’avec un jugement qui ce ſemble ne devroit eſtre le fruit que de l’experience de pluſieurs années, qu’avec mille belles connoiſſances que vous ne ſçauriez cacher à vos amis particuliers, vous ayez encore cette ſage retenué que tout le monde admire en vous;	Mais qu'avec toutes les qualités et du cœur et de l'esprit, qu'avec un jugement qui ce semble ne devrait être le fruit que de l'expérience de plusieurs années, qu'avec mille belles connaissances que vous ne sauriez cacher à vos amis particuliers, vous ayez encore cette sage retenué que tout le monde admire en vous;
