Extrait du Privilege du Roy.	Extrait du Privilège du Roi.
AR Grace & Privilege du Roy, donné T à S.	AR Grâce et Privilège du Roi, donné T à S.
Germain en Laye le 15.	Germain en Laye le 15.
Fevrier 1672.	Février 1672.
Signé, Par le Roy en ſon Conſeil, D’ALENCE' Il eſt permis au Sieur RACINE de faire imprimer, vendre & debiter, par tel Imprimeur & Libraire qu’il voudra choiſir, unè Piece de Theatre de ſa compoſition, intitulée BAJAZET, durant le temps & eſpacé de dix ans, à compter du jour qu’elle ſera àchevée d’imprimer pour la premiere fois.	Signé, Par le Roi en son Conseil, D'ALENCE' Il est permis au Sieur RACINE de faire imprimer, vendre et débiter, par tel Imprimeur et Libraire qu'il voudra choisir, un Pièce de Théâtre de sa composition, intitulée BAJET, durant le temps et espacé de dix ans, à compter du jour qu'elle sera àchevée d'imprimer pour la première fois.
Pendant lequel temps, faiſons tres-expreſſes inhibitions & defenſes à toutes Perſonnes, de quelque condition & qualité qu’elles ſoient, d’en faire imprimer, vendre, ny debiter, d’autre Edition que de celle de l’Expoſant, ou de ceux qui auront droit de luy, à peine de trois mille livres d’amende payables ſans déport par chacun des contrevenans, de confiſcation des Exemplaires contrefaits, & de tous deſpens, dommages & intereſts.	Pendant lequel temps, faisons très-expresses inhibitions et défenses à toutes Personnes, de quelque condition et qualité qu'elles soient, d'en faire imprimer, vendre, ainsi débiter, d'autre Édition que de celle de l'Exposant, ou de ceux qui auront droit de lui, qui auront de trois mille livres d'amende payables sans déport par chacun des contrevenants, de confiscation des Exemplaires contrefaits, et de tous dépens, dommages et intérêts.
Outre les ſuſdites peines, tous Libraires, Imprimeurs, & Relieurs qui ſe trouveront ſaiſis d’aucuns Exemplaires contrefaits, ſeront privez & equeſtrez du Corps de la Librairie, ſans ouvoir à l’avenir s’en meſler en aucune maniere, ainſi qu’il eſt porté par leſdites Lettles.	Outre les susdites peines, tous Libraires, Imprimeurs, et Relieurs qui se trouveront saisis d'aucuns Exemplaires contrefaits, seront privez et equestrez du Corps de la Librairie, sans ouvoir à l'avenir s'en mêler en aucune manière, ainsi qu'il est porté par lesdites Letts.
Regiſtré ſur le Livre de la Communauté, ſuivant l’Arreſt de la Cour de Parlement.	Registré sur le Livre de la Communauté, suivant l'Arrêt de la Cour de Parlement.
Signé, THIERRY, Syndic.	Signé, THIERRY, Syndic.
Achevé d’imprimer pour la premiere fois le 20, jour de Fevrier 1672.	Achevé d'imprimer pour la première fois le 20, jour de Février 1672.
BAJALET, Frere du Sultan Amurat,	BAJALET, Frère du Sultan Amurat,
ROXANE, Sultane, Favorite du Sultan Amurat.	ROXANE, Sultane, Favorite du Sultan Amurat.
ATALIDE, Fille du Sang Ottoman.	ATALIDE, Fille du Sang Ottoman.
ACOMAT, Grand Viſir.	ÀCOMAT, Grand Visir.
OSMIN, Confident du Grand Viſir.	OSMIN, Confident du Grand Visir.
ZATIME, Eſclave de la Sultane.	ZATIME, Esclave de la Sultane.
ZAIRE, Eſclave d’Atalide.	ZAÏRE, Esclave d'Atalide.
La Scene eſt à Conſtantinople, autrement du Grand Seigneur.	La Scène est à Constantinople, autrement du Grand Seigneur.
AXEDY INAGEDIL.	AXEDY INAGEDIL.
ACTE PREMIER SCENE TREMIERE.	ACTE PREMIER SCÈNE TREMIERE.
ACOMAT, OSMIN.	ACOMAT, ÔSMIN.
ACOMAT.	ACOMAT.
2 Ilns lapeHioy.	2 Ils lapeHioi.
La Suitane en ce lieu M2 ſe doit rendre.	La Suitane en ce lieu M2 se doit rendre.
Je pourray cependant te parler, & t’entendre.	Je pourrai cependant te parler, et t'entendre.
OSMIN.	OSMIN.
Et depuis quand, Seigneur, entre-t-on en ces Lieux, Dont l’accés eſtoit meſme interdit à nos yeux?	Et depuis quand, Seigneur, entre-t-on en ces Lieux, Dont l'accès était même interdit à nos yeux?
Jadis une mort promte euſt ſuivy cette audace.	Jadis une mort promte eût suivi cette audace.
ACOMAT.	ACOMAT.
Quand tu ſeras inſtruit de tout ce qui ſe paſſe, Mon entrée en ces Lieux ne te ſurprendra plus.	Quand tu seras instruit de tout ce qui se passe, Mon entrée en ces Lieux ne te surprendra plus.
Mais laiſſons, cher Oſmin, les diſcours ſuperflus, Que ton retour tardoit à mon impatience!	Mais laissons, cher Osmin, les discours superflus, Que ton retour tardait à mon impatience!
Et que d’un œil content je te voy dans Byſance!	Et que d'un oeil content je te vois dans Bysance!
Inſtruis-moy des ſecrets, que peut t’avoir appris Un voyage ſi long pour moy ſeul entrepris.	Instruis-moi des secrets, que peut -avoir appris Un voyage si long pour moi seul entrepris.
De ce qu’ont veû tes yeux parle en témoin ſincere.	De ce qu'ont vu tes yeux parle en témoin sincère.
Songe que du recit, Oſmin, que tu vas faire, Dependenc les deitins del Emipire Ottoman, Qu’as-tu veû dans l’Armée, & que fait le Sultan?	Songe que du récit, Ôsmin, que tu vas faire, Dépendenc les deitins dél Emipire Ottoman, Qu'as-tu vu dans l'Armée, et que fait le Sultan?
OSMIN.	OSMIN.
Babylone, Seigneur, à ſon Prince fidelle, Voyoit ſans s’étonner noſtre Armée autour d’elle.	Babylone, Seigneur, à son Prince fidèle, Voyait sans s'étonner notre Armée autour d'elle.
Les Perſans raſſemblez marchoient à ſon ſecours, Et du Camp d’Amurat s’approchoient tous les jour Luy-meſme fatigué d’un long Siege inutile, Il parloit de laiſſer Babylone tranquile, Et ſans renouveller ſes aſſauts impuiſſans, Réſolu de combattre, attendoit les Perſans.	Les Persans rassemblés marchaient à son secours, Et du Camps d'Amurat s'approchaient tous les jour Lui-même fatigué d'un long Siège inutile, Il parlait de laisser Babylone tranquille, Et sans renouveler ses assauts impuissants, Résolu de combattre, attendait les Persans.
ividis conmie vous içavez, maigre ma diligence, Un long chemin ſépare & le Camp & Byſance.	jidis conmie vous içavez, maigre ma diligence, Un long chemin sépare et le Camp et Bysance.
Mille obſtacles divers m’ont meſme traverſé, Et je puis ignorer tout ce qui s’eſt paſſé.	Mille obstacles divers m'ont der traversé, Et je puis ignorer tout ce qui s'est passé.
ACOMAT.	ACOMAT.
Que faiſoient cependant nos braves Janiſſaires?	Que faisaient cependant nos braves Janissaires?
Rendent-ils au Sultan des hommages ſinceres?	Rendent-ils au Sultan des hommages sincères?
Dans le ſecret des cœurs, Oſmin, n’as-tu rien lû?	Dans le secret des cœurs, Osmin, n'as-tu rien lu?
Amurat joüit-il d’un pouvoir abſolu?	Amurat jouit-il d'un pouvoir absolu?
OSMIN.	OSMIN.
Amurat eſt content, ſi nous le voulons croire, Et ſembloit ſe promettre une heureuſe victoire.	Amurat est content, si nous le voulons croire, Et semblait se promettre une heureuse victoire.
Mais en vain par ce calme il croit nous ébloüir.	Mais en vain par ce calme il croit nous éblouir.
Il affecte un repos, dont il ne peut joüir.	Il affecte un repos, dont il ne peut jouir.
C’eſt en vain que forçant ſes ſoupçons ordinaires Il ſe rend acceſſible à tous les Janiſſaires.	C'est en vain que forçant ses soupçons ordinaires Il se rend accessible à tous les Janissaires.
Il ſe ſouvient toûjours que ſon inimitié Voulut de ce grand Corps retrancher la moitié;	Il se souvient toujours que son inimitié Voulut de ce grand Corps retrancher la moitié;
Lors que pour affermir ſa puiſſance nouvelle Il vouloit, diſoit il, ſortir de leur tutele.	Lors que pour affermir sa puissance nouvelle Il voulait, disait -il, sortir de leur tête.
Moy-meſme j’ay ſouvent entendu leurs diſcours.	Moi-même j'ai souvent entendu leurs discours.
Cõme il les craint ſans ceſſe, ils le craignent toûjours.	Comme il les craint sans cesse, ils le craignent toujours.
Ses careſſuuitone pomie enuee cette ffare.	Ses caressuvitone pomie envée cette sare.
vontre aolence eit pour eux un lujet de murmure.	vontre aolence eit pour eux un lujet de murmure.
Ils regrettent le temps à leur grand cœur ſi doux, Lors qu’aſſurez de vaincre ils combattoiẽt ſous vous.	Ils regrettent le temps à leur grand cœur si doux, Lors qu'assurez de vaincre ils combattaient sous vous.
ACOMAT.	ACOMAT.
Quoy, tu crois, cher Oſmin, que ma gloire paſſée Flatte encor leur valeur, & vit dans leur penſée?	Quoi, tu crois, cher Osmin, que ma gloire passée Flatte encor leur valeur, et vit dans leur pensée?
Crois-tu qu’ils me ſuivroient encore avec plaiſir, Et qu’ils reconnoiſtroient la voix de leur Viſir?	Crois-tu qu'ils me suivraient encore avec plaisir, Et qu'ils reconnaîtraient la voix de leur Vis?
OSMIN.	OSMIN.
