PREFACE.	PRÉFACE.
MM L n'y a gueres de nom plus connu que celuy de Mithridate.	MM L 'y a guères de nom plus connu que celui de Mithridate.
Sa vie & ſa mort font vne partie conſiderable de l’Hiſtoire Romaine.	Sa vie et sa mort font une partie considérable de l'Histoire Romaine.
Et ſans conter les victoires qu’il a remportées, on peut dire que ſes ſeules défaites ont fait preſque toute la gloire de trois desplus grands Capitaines de la Republique.	Et sans compter les victoires qu'il a remportées, on peut dire que ses seules défaites ont fait presque toute la gloire de trois déplus grands Capitaines de la République.
Ainſi ie ne penſe pas qu’il ſoit beſoin de citer icy mes Auteurs.	Ainsi ie ne pense pas qu'il soit besoin de citer ici mes Auteurs.
Car excepté quelque euenement que i'ay vn peu approché par le droit que donne la Poëſie, tout le monde reconnoiſtra aiſément que i’ay ſuiuy l’Hiſtoire auec beaucoup de fidelité.	Car excepté quelque événement que j'ai un peu approché par le droit que donne la Poésie, tout le monde reconnaîtra aisément que j'ai suivi l'Histoire avec beaucoup de fidélité.
La ſeule choſe qui pourroit n'eſtre pas auſsi connue que le reſte, c’eſt le deſſein que ie fay prendre à Mithridate de paſſer dans l’Italie.	La seule chose qui pourrait n'être pas aussi connue que le reste, c'est le dessein que sans fais prendre à Mithridate de passer dans l'Italie.
Comme ce deſſein m'a fourny vne des Scenes, qui 6niiit plus réuſsi dans ma Tragedie, ie croy que le plaiſir du Lecteur pourra redoubler, quand il verra que preſque tous les Hiſtoriens ont dit ce que ie fay dire icy à Mithridate.	Comme ce dessein m'a fourni une des Scène, qui 6niit plus réussi dans ma Tragédie, je crois que le plaisir du Lecteur pourra redoubler, quand il verra que presque tous les Historiens ont dit ce que sans fais dire ici à Mithridate.
Florus, Plutarque & Dion Caſsius nomment les Pays par oü il deuoit paſſer.	Florus, Plutarque et Dion Cassius nomment les Pays par ouïs il devait passer.
Appien d’Alexandrie entre plus dans le détail.	Apien d'Alexandrie entre plus dans le détail.
Et apres auoir marqué les facilitez & les ſecours que Mithridate eſperoit trouüer dans ſa marche;	Et après avoir marqué les facilités et les secours que Mithridate espérait trouüer dans sa marche;
