TREIACI	TREICI
Q 9 L n’y a rien de plus celebre dans les Poëtes que le Sacrifice d’Iphigenie.	Q 9 L 'y a rien de plus célèbre dans les Poètes que le Sacrifice d'Iphigénie.
Mais ils ne s’accordent pas tous enſemble ſur les plus importantes particularitez de ce Sacrifice.	Mais ils ne s'accordent pas tous ensemble sur les plus importantes particularités de ce Sacrifice.
Les uns, comme Eſchyle dans Agamemnon, Sophocle dans Electra, & apres eux Lucrece, Horace, & beaucoup d’autres, veulent qu’on ait en effet répandu le ſang d’Iphigenie fille d’Agamemmion, & qu’elle lolt morte en Aulide.	Les uns, comme Échyle dans Agamemnon, Sophocle dans Electra, et après eux Lucrece, Horace, et beaucoup d'autres, veulent qu'on ait en effet répandu le sang d'Iphigénie fille d'Agamemion, et qu'elle lolt morte en Aulide.
Il ne faut que lire Lucrece au commencement de ſon premier livre,	Il ne faut que lire Lucrece au commencement de son premier livre,
Aulide quo pacto Triviai Virginis aram Iphianaſſai turparunt ſanguine fœdè Ductores Danaûm &c.	Aulide quo pacto Triviai Virginis aram Iphianassai turparunt sanguine fœdèle Ductores Danaûm etc.
Et Clytemneſtre dit dans Eſchyle, qu’Agamemnon ſon mary qui vient d’expirer, rencontrera dans les Enfers Iphigenie ſa fitte qu’il a autrefois immolée.	Et Clytemnêtre dit dans Échyle, qu'Agamemnon son mari qui vient d'expirer, rencontrera dans les Enfers Iphigénie sa fitte qu'il a autrefois immolée.
D’autres ont feint que Diane ayant eu pitié de cette jeune Princeſſe, l’avoit enlevée & portée dans la Tauride, au moment qu’on l’alloit ſacrifier, & que la Déeſſe avoit fait trouver en ſa place ou une Biche, ou une autre Victime de cette nature.	D'autres ont feint que Diane ayant eu pitié de cette jeune Princesse, l'avait enlevée et portée dans la Tauride, au moment qu'on l'allait sacrifier, et que la Déesse avait fait trouver en sa place ou une Biche, ou une autre Victime de cette nature.
Euripide a ſuivi cette fable, & Ovide l’a miſe au nombre des Metamorphoſes.	Euripide a suivi cette fable, et Ovide l'a mise au nombre des Métamorphoses.
Il y a une troiſiéme opinion, qui n’eſt pas moins ancienne que les deux autres, ſur Iphigenie.	Il y a une troisième opinion, qui n'est pas moins ancienne que les deux autres, sur Iphigénie.
Pluſieurs Auteurs, & entre autres Steſichorus, l’un des plus fameux & des plus anciens Poëtes lyriques, ont éerit qu’il eſtoit bien vray qu’une Princeſſe de ce nom avoit eſté ſacrifiée, mais que cette Iphigenie eſtoit une fille qu’Helene avoit eu de Theſée.	Plusieurs Auteurs, et entre autres Stesichorus, l'un des plus fameux et des plus anciens Poètes lyriques, ont éerit qu'il était bien vrai qu'une Princesse de ce nom avait été sacrifiée, mais que cette Iphigénie était une fille qu'Helene avait eu de Thesée.
Helene, diſent ces Auteurs, ne l’avoit oſé avoüer pour ſa fille, parce qu’elle n’oſoit declarer à Menelas, qu’elle euſt eſté mariée en ſecret avec Theſée.	Hélène, disent ces Auteurs, ne l'avait osé avouer pour sa fille, parce qu'elle n'osait déclarer à Ménélas, qu'elle eût été mariée en secret avec Thesée.
Pauſanias * rapporte & le témoignage & les noms des Poëtes qui ont eſté de ce ſentiment.	Pausanias * rapporte et le témoignage et les noms des Poètes qui ont été de ce sentiment.
Et il ajoûte que c’eſtoit la créance commune de tout le Pays d’Argos.	Et il ajoute que c'était la créance commune de tout le Pays d'Argos.
Homere enfin le Pere des Poëtes a ſi peu prétendu qu’Iphigenie fille d’Agamemnon euſt eſté ou ſacrifiée en Aulide, ou tranſportée dans la Scythie, que dans le neuviéme livre de l’Iliade, c’eſt à dire prés de dix ans depuis l’arrivée des Grecs devant Troye, Agamemnon fait offrir en mariage à Achille, ſa fille Iphigenie, qu’il a, dit-il, laiſſée à Mycene dans ſa maiſon.	Homère enfin le Père des Poètes a si peu prétendu qu'Iphigénie fille d'Agamemnon eût été ou sacrifiée en Aulide, ou transportée dans la Scythie, que dans le neuvième livre de l'Iliade, c'est à dire prés de dix ans depuis l'arrivée des Grecs devant Troie, Agamemnon fait offrir en mariage à Achille, sa fille Iphigénie, qu'il a, dit-il, laissée à Mycène dans sa maison.
J’ay rapporté tous ces avis ſi differens, & ſur tout le paſſage de Pauſanias, parce que c’eſt à cet Auteur que je doy l’heureux Perſonnage d’Eriphile, ſans lequel je n’aurois jamais oſé entreprendre cette Tragedie.	J'ai rapporté tous ces avis si différents, et sur tout le passage de Pausanias, parce que c'est à cet Auteur que je n'heureux Personnage d'Eriphile, sans lequel je n'aurais jamais osé entreprendre cette Tragédie.
Quelle apparence que j’euſſe ſoüillé la Scene par le meurtre horrible d’une perſonne auſſi vertueuſe & auſſi aimable qu’il falloit repreſenter Iphige.	Quelle apparence que j'eusse soüillé la Scène par le montre horrible d'une personne aussi vertueuse et aussi aimable qu'il fallait représenter Iphige.
nie?	nie?
Et quelle apparence encore de dénoüer ma Tragédie par le ſecours d’une Déeſſe & d’une machine, & par une metamorphoſe qui pouvoit bien trouver quelque creance du temps d’Euripide, mais qui ſeroit trop abſurde & trop incroyable parmy nous?	Et quelle apparence encore de dénouer ma Tragédie par le secours d'une Déesse et d'une machine, et par une métamorphose qui pouvait bien trouver quelque créance du temps d'Euripide, mais qui serait trop absurde et trop incroyable parmi nous?
Je puis dire donc que j’ay eſté tres heureux de trouver dans les Anciens cette autre Iphigenie, que j’ay pû repreſenter telle qu’il m’a plû, & qui tombant dans le malheur où cette Amante jalouſe vouloit précipiter ſa Rivale, merite en quelque façon d’eſtre punie, ſans eſtre pourtant tout-à-fait indigne de compaſſion.	Je puis dire donc que j'ai été très heureux de trouver dans les Anciens cette autre Iphigénie, que j'ai pu représenter telle qu'il m'a plu, et qui tombant dans le malheur où cette Amante jalouse voulait précipiter sa Rivale, mérite en quelque façon d'être punie, sans être pourtant tout-à-fait indigne de compassion.
Ainſi le dénouëment de la Piece eſt tiré du fonds meſme de la Piece.	Ainsi le dénouement de la Pièce est tiré du fond même de la Pièce.
Et il ne faut que l’avoir veu repreſenter, pour comprendre quel plaiſir j’ay fait au Spectateur, & en ſauvant à la fin une Princeſſe vertueuſe pour qui il s’eſt ſi fort intereſſé dans tout le cours de la Tragédie, & en la ſauvant par une autre voye que par un miracle, qu’il n’auroit pû ſouffrir, parce qu’il ne le ſçauroit jamais croire.	Et il ne faut que l'avoir vu représenter, pour comprendre quel plaisir j'ai fait au Spectateur, et en sauvant à la fin une Princesse vertueuse pour qui il s'est si fort intéressé dans tout le cours de la Tragédie, et en la sauvant par une autre voie que par un miracle, qu'il n'aurait pu souffrir, parce qu'il ne le saurait jamais croire.
Le voyage d’Achille, à Leſbos dontce Heros ſe rend maiſtre, & d’où il enleve Eriphile avant que de venir en Aulide, n’eſt pas non plus ſans fondement.	Le voyage d'Achille, à Lesbos dontce Héros se rend maître, et d'où il enlève Ériphile avant que de venir en Aulide, n'est pas non plus sans fondement.
Euphorion de Chalcide, Poëte tres connu parmy les Anciens, & dont Virgile * & Quintilien font une mention honnorable, parloit de ce voyage de Leſbos.	Euphorion de Chalcide, Poète très connu parmi les Anciens, et dont Virgile * et Quintilien font une mention honorable, parlait de ce voyage de Lesbos.
