An an ai l l e Chez CLAUDE BARBIN, au Palais, ſur le Perron de la Sainte Chapelle.	An an ai l ' e Chez CLAUDE BARBIN, au Palais, sur le Perron de la Sainte Chapelle.
M.	M.
DC.	DC.
LXXVII.	LXXVII.
AVEC PRIVILEGE DV ROY	AVEC PRIVILÈGE DU ROY
A deml d e mi	À deml d e mi
OICY encore une Tragédie dont le ſujet eſt pris d’Euripide.	ÔICY encore une Tragédie dont le sujet est pris d'Euripide.
Quoy que ’aye ſuivi une route un peu differente de celle de cet Auteur pour la conduite de l’Action, je n’ay pas laiſſé d’enrichir ma Piece de tout ce qui m’a paru le plus éclatant dans la ſienne.	Quoi que aie suivi une route un peu différente de celle de cet Auteur pour la conduite de l'Action, je n'ai pas laissé d'enrichir ma Pièce de tout ce qui m'a paru le plus éclatant dans la sienne.
Quand je ne lui devrois que la ſeule idée du caractere de Phedre, je pourrois dire que je luy dois ce que j’ay peuteſtre mis de plus raiſonnable ſur le Theatre.	Quand je ne lui devrais que la seule idée du caractère de Phèdre, je pourrais dire que je veux dois ce que j'ai peutestre mis de plus raisonnable sur le Théâtre.
Je ne ſuis point étonné que ce Caractere ait eû un ſuccés ſi heureux du temps d’Euripide, & qu’il ait encore ſi-bien reüſſi dans noſtre ſiecle, puis qu’il a toutes les qualitez qu’Ariſtote demande dans le Heros de la Tragédie, & qui ſont propres a exciter la Compaſſion & la Terreur.	Je ne suis point étonné que ce Caractère ait eu un succès si heureux du temps d'Euripide, et qu'il ait encore si-bien réussi dans notre siècle, puis qu'il a toutes les qualités qu’Aristote demande dans le Héros de la Tragédie, et qui sont propres à exciter la Compassion et la Terreur.
En effet Phedre n’eſt ni tout-afait coupable, ni tout-a-fait innocente.	En effet Phedre n'est ni tout-fait coupable, ni tout-fait innocente.
Elle eſt engagée par ſa deſtinée, & par la colere des Dieux, dans une paſſion illegitime dont elle a horreur toute la premiere.	Elle est engagée par sa destinée, et par la colère des Dieux, dans une passion illégitime dont elle a horreur toute la première.
Elle fait tous ſes efforts pour la ſurmonter.	Elle fait tous ses efforts pour la surmonter.
Elle aime mieux ſe laiſſer mourir, que de la declarer à perſonne.	Elle aime mieux se laisser mourir, que de la déclarer à personne.
Et lors qu’elle eſt forcée de la découvrir, elle en parle avec une confuſion, qui fait bien voir que romerimie ent pranol uno panſtion des Dieux, qu’un mouvement de ſa volontê.	Et lors qu'elle est forcée de la découvrir, elle en parle avec une confusion, qui fait bien voir que romerimie ent anol un panstion des Dieux, qu'un mouvement de sa volontêmes.
I’ay meſme pris ſoin de la rendre un peu moins odieuſe qu’elle n’eſt dans les Tragedies des Anciens, où elle ſe reſout d’elle-meſme à accuſer Hippolyte.	J'ai même pris soin de la rendre un peu moins odieuse qu'elle n'est dans les Tragédies des Anciens, où elle se résout d'elle-même à accuser Hippolyte.
J’ay crû que la Calomnie avoit quelque choſe de trop bas & de trop noir pour la mettre dans la bouche d’une Princeſſe, qui a d’ailleurs des ſentimens ſi nobles & ſi vertueux.	J'ai cru que la Calomnie avait quelque chose de trop bas et de trop noir pour la mettre dans la bouche d'une Princesse, qui a d'ailleurs des sentiments si nobles et si vertueux.
Cette baſſeſſe m’a paru plus convenable à une Nourrice, qui pouvoit avoir des inclinations plus ſerviles, & qui neanmoins n’entreprend cette fauſſe accuſation que pour ſauver la vie & l’honneur de ſa Maiſtreſſe.	Cette bassesse m'a paru plus convenable à une Nourrice, qui pouvait avoir des inclinations plus serviles, et qui néanmoins n'entreprend cette fausse accusation que pour sauver la vie et l'honneur de sa Maîtresse.
Phedre n’y donne les mains que parce qu’elle eſt dans une agitation d’eſprit qui la met hors d’elle-même, & elle vient un moment aprés dans le deſſein de juſtifier l’innocence, & de declarer la verité.	Phedre n'y donne les mains que parce qu'elle est dans une agitation d'esprit qui la met hors d'elle-même, et elle vient un moment après dans le dessein de justifier l'innocence, et dé déclarer la vérité.
Hippolyte eſt accusé dans Euripide & dans Seneque d’avoir en effet violé ſa Belle-Mere.	Hippolyte est accusé dans Euripide et dans Sénèque d'avoir en effet violé sa Belle-Mère.
Vim corpus tulit.	Vim corpus tulit.
Mais il n’eſt icy accusé que d’en avoir eu le deſſein.	Mais il n'est ici accusé que d'en avoir eu le dessein.
J’ay voulu épargner à Theſée une confuſion qui l’auroit pû rendre moins agréable aux Spectateurs.	J'ai voulu épargner à Thesée une confusion qui l'aurait pu rendre moins agréable aux Spectateurs.
Pour ce qui eſt du perſonnage d’Hippolyte, j’avois remarqué dans les Anciens, qu’on reprochoit à Euripide de l’avoir repreſenté comme un Philoſophe exemt de toute imperfection.	Pour ce qui est du personnage d'Hippolyte, j'avais remarqué dans les Anciens, qu'on reprochait à Euripide de l'avoir représenté comme un Philosophe exemt de toute imperfection.
Ce qui faiſoit que la mort de ce jeune Prince cauſoit beaucoup plus d’indignation que de pitié.	Ce qui faisait que la mort de ce jeune Prince causait beaucoup plus d'indignation que de pitié.
J’ay cru luy devoir donner quelque foibleſſe qui le rendroit un peu coupable envers ſon Pere, ſans pourtant luy rien ôter de cette grandeur d’ame avec laquelle il épargne l’honneur de Phedre, & ſe laiſſe opprimer ſans Paceurent d et ponoroibiene ne pamon qu’il reſſent malgré luy pour Aricie, qui eſt la Fille & la Sœur des ennemis mortels de ſon Pere.	J'ai cru autre devoir donner quelque faiblesse qui le rendrait un peu coupable envers son Père, sans pourtant quelque rien ôter de cette grandeur d'âme avec laquelle il épargne l'honneur de Phèdre, et se laisse opprimer sans Pacurent d ' ponoroibiene ne pamon qu'il ressent malgré lui pour Aricie, qui est la Fille et la Sœur des ennemis mortels de son Père.
Cette Aricie n’eſt point un perſonnage de mon invention.	Cette Aricie n'est point un personnage de mon invention.
Virgile dit qu’Hippolyte l’eſpouſa & en eût un Fils apres qu’Eſculape l’eut reſuſcité.	Virgile dit qu'Hippolyte l'épousa et en eût un Fils après qu'Esculape l'eut ressuscité.
