TRETITOD	TRETITOD
Vhrn A célebre Maiſon de Saint Cyr ayant eſté principalement eſtablie pour élever dans la pieté um un fort grand nombre de jeunes Demoiſelles raſſemblées de tous les endroits du Royaume, on n’y a rien oublié de tout ce qui pouvoit contribuer à les rendre capables de ſervir Dieu dans les differens eſtats où il lui plaira de les appeller.	Vhrn A célèbre Maison de Saint Cyr ayant été principalement établie pour élever dans la piété um un fort grand nombre de jeunes Demoiselles rassemblées de tous les endroits du Royaume, on n'y a rien oublié de tout ce qui pouvait contribuer à les rendre capables de servir Dieu dans les différents états où il lui plaira de les appeler.
Mais en leur monſtrant les choſes eſſentielles & neceſſaires, on ne neglige pas de leur apprendre celles qui peuvent ſervir à leur polir l’eſprit, & à leur former le jugement.	Mais en leur montrant les choses essentielles et nécessaires, on né glige pas de leur apprendre celles qui peuvent servir à leur polir l'esprit, et à leur former le jugement.
On a imaginé pour cela pluſieurs moyens, qui ſans les détourner de leur travail & de leurs exercices ordinaires, les inſtruiſent en les divertiſſant.	On a imaginé pour cela plusieurs moyens, qui sans les détourner de leur travail et de leurs exercices ordinaires, les instruisent en les divertissant.
On leur met, pour ainſi dire, à profit leurs heures de récréation.	On leur met, pour ainsi dire, à profit leurs heures de récréation.
On leur fait faire entre elles ſur leurs principaux devoirs des Converſations ingenieuſes, qu’on leur a composées exprés, ou qu’elles meſmes compoſent ſur le champ.	On leur fait faire entre elles sur leurs principaux devoirs des Conversations ingénieuses, qu'on leur a composées exprès, ou qu'elles mêmes composent sur le champ.
On les fait parler ſur les hiſtoires qu’on leur a luës, ou ſur les importantes veritez qu’on leur a enſeignées.	On les fait parler sur les histoires qu'on leur a lues, ou sur les importantes vérités qu'on leur a enseignées.
On leur fait réciter par cœur & déclamer les plus beaux endroits des meilleurs Poëtes.	On leur fait réciter par cœur et déclamer les plus beaux endroits des meilleurs Poètes.
Et cela leur ſert ſur tout à les défaire de quantité de mauvaiſes prononciations, qu’elles pourroient avoir apportées de leurs Provinces.	Et cela leur sert sur tout à les défaire de quantité de mauvaises prononciations, qu'elles pourraient avoir apportées de leurs Provinces.
On a ſoin auſſi de faire apprendre à chanter à celles qui ont de la voix, & on ne leur laiſſe pas perdre un talent qui les peut amuſer inMoceſiſent, & qu'’enes peuvent employer un jour à chanter les loüanges de Dieu.	On a soin aussi de faire apprendre à chanter à celles qui ont de la voix, et on ne leur laisse pas perdre un talent qui les peut amuser inMocesisent, et qu'enes peuvent employer un jour à chanter les langes de Dieu.
Mais la pluſpart des plus excellens vers de noſtre langue ayant eſté compoſez ſur des matieres fort profanes, & nos plus beaux airs eſtant ſur des paroles extrémement molles & efféminées, capables de faire des impreſſions dangereuſes ſur de jeunes eſprits;	Mais la plupart des plus excellents vers de notre langue ayant été composés sur des matières fort profanes, et nos plus beaux airs étant sur des paroles extrêmement molles et efféminées, capables de faire des impressions dangereuses sur de jeunes esprits;
les Perſonnes illuſtres, qui ont bien voulu prendre la principale direction de cette Maiſon, ont ſouhaitté qu’il y euſt quelque Ouvrage, qui ſans avoir tous ces défauts, puſt produire une partie de ces bons effets.	les Personnes illustres, qui ont bien voulu prendre la principale direction de cette Maison, ont souhaité qu'il y eût quelque Ouvrage, qui sans avoir tous ces défauts, pût produire une partie de ces bons effets.
Elles me firent l’honneur de me communiquer leur deſſein, & meſme de me demander ſi je ne pourrois pas faire ſur quelque ſujet de pieté & de morale une eſpece de Poëme, où le chant fût meſlé avec le recit;	Elles me firent l'honneur de me communiquer leur dessein, et même de me demander si je ne pourrais pas faire sur quelque sujet de piété et de morale une espèce de Poème, où le chant sans mêlé avec le récit;
le tout lié par une action quirenent ia choſe plus vive & moins capable d’ennuyér.	le tout lié par une action quirènent ja chose plus vive et moins capable d'ennuyer.
Je leur propoſay le ſujet d’Eſther, qui les frappa d’abord, cette hiſtoire leur paroiſſant pleine de grandes leçons d’amour de Dieu, & de détachement du monde au milieu du monde meſme.	Je leur proposai le sujet d'Éther, qui les frappa d'abord, cette histoire leur paraissant pleine de grandes leçons d'amour de Dieu, et de détachement du monde au milieu du monde même.
Et je crus de mon coſté que je trouverois aſſez de facilité à traitter ce ſujet;	Et je crus de mon côté que je trouverais assez de facilité à traiter ce sujet;
d’autant plus qu’il me ſombla, que ſans alterer aucune des circonſtances tant ſoit peu conſiderables de l’Eſcriture ſainte, ce qui ſeroit à mon avis une eſpece de ſacrilege, je pourrois remplir toute mon Action avec les ſeules Scenes, que Dieu lui-meſme, pour ainſi dire, a préparées.	d'autant plus qu'il me sombla, que sans altérer aucune des circonstances tant soit peu considérables de l'Écriture sainte, ce qui serait à mon avis une espèce de sacrilège, je pourrais remplir toute mon Action avec les seules Scènes, que Dieu lui-même, pour ainsi dire, a préparées.
J’entrepris donc la choſe, & je m’apperceûs qu’en travaillant ſur le plan qu’on m’avoit donné, j’executois en quelque ſorte un deſſein qui m’avoit ſouvent paſſé dans l’eſprit, qui eſtoit de lier, comme dans les anciennes Tragédies Grecques, le Chœur & le Chant avec l’Action, & d’employer à chanter les loüanges du vray Dieu cette partie du Chœur que les Payens employoient à chanter les loüanBes de lours fauſſes Divinitez.	J'entrepris donc la chose, et je m'aperçus qu'en travaillant sur le plan qu'on m'avait donné, j'executois en quelque sorte un dessein qui m'avait souvent passé dans l'esprit, qui était de lier, comme dans les anciennes Tragédies Grecques, le Chœur et le Chant avec l'Action, et d'employer à chanter les louanges du vrai Dieu cette partie du Chœur que les Payens employoient à chanter les loüanBes de l' es Divinités.
A dire vray, je ne penſois guere que la choſe duſt eſtre auſſi publique qu’elle l’a eſté.	À dire vrai, je ne pensais guère que la chose dût été aussi publique qu'elle l'a été.
Mais les grandes veritez de l’Eſcriture, & la maniere ſublime dont elles y ſont énoncces, pour peu qu’on les préſente, meſme imparfaitement, aux yeux des hommes, ſont ſi propres à les frapper;	Mais les grandes vérités de l'Écriture, et la manière sublime dont elles y sont énoncces, pour peu qu'on les présente, même imparfaitement, aux yeux des hommes, sont si propres à les frapper;
& d’ailleurs ces jeunes Demoiſelles ont déclamé & chanté cet Ouvrage avec tant de grace, tant de modeſtie, & tant de pieté, qu’il n’a pas eſté poſſible qu’il demeuraſt renfermé dans le ſecret de leur Maiſon.	et d'ailleurs ces jeunes Demoiselles ont déclamé et chanté cet Ouvrage avec tant de grâce, tant de modestie, et tant de piété, qu'il n'a pas été possible qu'il demeurât renfermé dans le secret de leur Maison.
De ſorte qu’un divertiſſement d’Enfans eſt devenu le ſujet de l’empreſſement de toute la Cour;	De sorte qu'un divertissement d'Enfants est devenu le sujet de l'empressement de toute la Cour;
le Roilui-meſme, qui en avoit eſté touché, n’ayant pû refuſer à tout ce qu’il y a de plus grands Seigneurs de les y mener, & ayant eu la latisfaction de voir par le plaiſir qu’ils y ont pris, qu’on ſe peut auſſi bien divertir aux choſes de pieté qu’à tous les ſpectacles profanes.	le Roilui-même, qui en avait été touché, n'ayant pu refuser à tout ce qu'il y a de plus grands Seigneurs de les y mener, et ayant eu la tisfaction de voir par le plaisir qu'ils y ont pris, qu'on se peut aussi bien divertir aux choses de piété qu'à tous les spectacles profanes.
Au reſte, quoy que j’aye évité ſoigneuſement de meſler le profane avec le ſacré, j’ay cru neanmoins que je pouvois emprunter deux ou trois traits d’Herodote, pour mieux peindre Aſsüerus.	Au reste, quoi que j'aie évité soigneusement de mêler le profane avec le sacré, j'ai cru néanmoins que je pouvais emprunter deux ou trois traits d'Hérodote, pour mieux peindre Assuerus.
Car j'ai ſuivi le ſentiment de pluſieurs ſçavans Interpretes de l’Eſcriture, qui tiennent que ce Roi eſt le meſme que le fameux Darius fils d’Hyſtaſpe, dont parle cet Hiſtorien.	Car j'ai suivi le sentiment de plusieurs Savants Interprètes de l'Écriture, qui tiennent que ce Roi est le même que le fameux Darius fils d'Hystaspe, dont parle cet Historien.
En effet ils en rapportent quantité de preuves, dont quelques-unes me paroiſſent des demonſtrations.	En effet ils en rapportent quantité de preuves, dont quelques-unes me paraissent des démonstrations.
Mais je n’ay pas jugé à propos de croire ce meſme Herodote ſur ſa parole, lors qu’il dit que les Perſes n’élevoient ni temples, ni autels, ni ſtatuës à leurs Dieux, & qu’ils ne ſe ſervoient point de libations dans leurs ſacrifices.	Mais je n'ai pas jugé à propos de croire ce même Hérodote sur sa parole, lors qu'il dit que les Perses n'élevoient ni temples, ni autels, ni statues à leurs Dieux, et qu'ils ne se servaient point de libations dans leurs sacrifices.
Son teſmoignage eſt expreſſément deſtruit par l’Eſcriture, auſſi bien que par Xenophon beaucoup mieux inſtruit que lui des mœurs & des affaires de la Perſe, & enfin par Quinte Curſe.	Son témoignage est expressément détruit par l'Écriture, aussi bien que par Xenophon beaucoup mieux instruit que lui des mœurs et des affaires de la Perse, et enfin par Quinte Curse.
On peut dire que l’unité de Lieu eſt obſervée dans cette Piece, en ce que toute l’action ſe paſſe dans le Palais d’Aſsüerus.	On peut dire que l'unité de Lieu est observée dans cette Pièce, en ce que toute l'action se passe dans le Palais d'Assuerus.
Cependant comme on vouloit rendre ce divertiſſement plus agréable à des Enfans, en jettant quelque varieté dans les décorations, cela a eſté cauſe que je n’ay pas gardé cette unité, avec la meſme rigueur que j’ay fait autrefois dans mes Tragédies.	Cependant comme on voulait rendre ce divertissement plus agréable à des Enfants, en jetant quelque variété dans les décorations, cela a été cause que je n'ai pas gardé cette unité, avec la même rigueur que j'ai fait autrefois dans mes Tragédies.
