TNETIROL.	TNETIROL.
A Gloire dont l’éclat ne paroiſt point dedans les lieux champeſtres, & qui hors de la Cour des Rois eſt par tout comme en un pays étranger;	À Gloire dont l'éclat ne paraît point dedans les lieux champêtres, et qui hors de la Cour des Rois est par tout comme en un pays étranger;
cette Gloire qui eſt recherchée de tant de monde, & dont la pluſpart des hommes ne trouuent qu’une vaine image;	cette Gloire qui est recherchée de tant de monde, et dont la plupart des hommes ne trouvent qu'une vaine image;
l’ambition de pareſtre plus que les autres, & les douces flateries de rendre ſon nom immortel ne ſont point les charmes qui m’ont retenu dedans la ſolitude à la ſuitte des Muſes;	l'ambition de paraître plus que les autres, et les douces flatteries de rendre son nom mortel ne sont point les charmes qui m'ont retenu dedans la solitude à la suitte des Muses;
ces douceurs ne ſont point la cauſe de tant d’ouurages que j’ay compoſez;	ces douceurs ne sont point la cause de tant d'ouvrages que j'ai composés;
mon deſſein n’eſt autre que de rencontrer dedans la poëſie du repos, & un agreable diuertiſſemant;	mon dessein n'est autre que de rencontrer dedans la poësie du repos, et un agréable divertissemant;
chacun ſurt ſon inclination, & employe les heures de ſon loiſir à ce qui eſt le plus ap gré de ſes ſens;	chacun surt son inclination, et emploie les heures de son loisir à ce qui est le plus ap pré de ses sens;
l’un ſe plaiſt aux belles fleurs;	l'un se plaît aux belles fleurs;
l’autre s’addonne à la recherche des choſes antiques;	l'autre s'addonne à la recherche des choses antiques;
on en voit qui paſſionnez pour la chaſſe ne ſe donnent pas le temps de prendre un peu de relaſche pour y retourner, & qui perdans le ſouuenir des beautez, & des douceurs de leurs femmes ſortent d’auprès d’elles deuant qu’il ſoit jour, afin de courir après les beſtes ſauuages;	on en voit qui passionnez pour la chasse ne se donnent pas le temps de prendre un peu de relâche pour y retourner, et qui perdans le souvenir des beautés, et des douceurs de leurs femmes sortent d'auprès d'elles devant qu'il soit jour, afin de cour après les bêtes sauvages;
l’un n’aime que le jeu, & poſſedé d’une malheureuſe enuie paſſe les jours & les nuits à ce triſte entretien, qui au lieu de recreation ne produit le plus ſouuent que des querelles, de l’ennuy, & de funeſtes auentures;	l'un n'aime que le jeu, et possédé d'une malheureuse envie passe les jours et les nuits à ce triste entretien, qui au lieu de recréation ne produit le plus souvent que des querelles, de l'ennui, et de funestes aventures;
l’autre eſt curieux des peintures excellentes, & n’épargne rien pour deuenir poſſeſſeur des rares merueilles de cét art admirable;	l'autre est curieux des peintures excellentes, et n'épargne rien pour devenir possesseur des rares merveilles de cet art admirable;
la nature qui ſe rend belle par la diuerſité n’a pas voulu que tous les hommes euſſent les meſmes occupations, & les meſmes deſirs;	la nature qui se rend belle par la diversité n'a pas voulu que tous les hommes eussent les mêmes occupations, et les mêmes désirs;
dès les premieres années de ma jeuneſſe Apollon m’agita l’eſprit d’une ſecrette fureur;	dès les premières années de ma jeunesse Apollon m'agita l'esprit d'une secrète fureur;
ſon diuin exercice a toujours eu pour moy des appas;	son divin exercice a toujours eu pour moi des appas;
je l’ay ſuiuy pour me contenter, & non pas pour acquerir de la loüange;	je l'ai suivi pour me contenter, et non pas pour acquérir de la lange;
les muſettes & les chalumeaux ſont des choſes trop baſſes pour rechercher d’eſtre eſtimé par leur moyen;	les musettes et les chalumeaux sont des choses trop basses pour rechercher d'être estimé par leur moyen;
on ſ’en peut mieux ſeruir à conduire les troupeaux dedlans les paturages, qu’à charmer les oreiles des Princes, & l’innocence qui regne dans la campagne, & dans les bocages éloigne mon eſprit de l’orgueil & de la preſomption dont elle eſt ennemie.	on s'en peut mieux servir à conduire les troupeaux dedlants les pâturages, qu'à charmer les oreiles des Princes, et l'innocence qui règne dans la campagne, et dans les bocages éloigne mon esprit de l'orgueil et de la présomption dont elle est ennemie.
Iuſques icy toutes mes veilles ſe ſont paſſées à repreſenter comme dans un tableau les delices dont la demeure des champs nous fait joüir;	Jusqu' ici toutes mes veilles se sont passées à représenter comme dans un tableau les délices dont la demeure des champs nous fait jouir;
j’ay décri les beautez des payſages, & j’ay fait pareſtre de quelles douceurs le ſilence des bois eſt accompagné;	j'ai décri les beautés des paysages, et j'ai fait paraître de quelles douceurs le silence des bois est accompagné;
maintenant je me prépare à des entrepriſes plus releuées;	maintenant je me prépare à des entreprises plus relevées;
un ſujet plus diuin anime mon eſprit, & me donne des penſées plus ſeri euſes;	un sujet plus divin anime mon esprit, et me donne des pensées plus sery euses;
l’étenduë des Cieux eſt moindre que ce que j’entreprends d’écrire, & ſi Dieu à qui je veux deſormais adreſſer tous mes trauaux ſe rend propice à mes prieres, & permet que je chante dans mes vers la gloire de ſon nom, j’eſpere de donner du contentemant à toutes les ames vertueuſes:	l'étendue des Cieux est moindre que ce que j'entreprends d'écrire, et si Dieu à qui je veux désormais adresser tous mes travaux se rend propice à mes prières, et permet que je chante dans mes vers la gloire de son nom, j'espère de donner du contentemant à toutes les âmes vertueuses:
ce que la charité produit n’eſt jamais deſagreable;	ce que la charité produit n'est jamais désagréable;
les ouurages qui ont Dieu pour objet ſont toujours excellens;	les ouvrages qui ont Dieu pour objet sont toujours excellents;
une meditation ſi ſainte donne des mouuemans à l’eſprit qui I éleuent au deſſus de toutes les choſes du monde;	une méditation si sainte donne des mouuemans à l'esprit qui I levent au dessus de toutes les choses du monde;
je ſens déja que mon cœur eſt animé d’une plus viue ardeur qu’il n’étoit dans les ſujets profanes;	je sens déjà que mon cœur est animé d'une plus vive ardeur qu'il n'était dans les sujets profanes;
je me porte auecque allegreſſe à un ſi haut deſſein, & ſ'il eſt loiſible de ſouhaiter icy bas quelque reputation ce ſera lors qu’ayant traité une matiere plus ſolide u’auparauant je pourray auſſi meriter dauentage d’eſtre en l’eſtime du monde, & de viure en la memoire des hommes.	je me porte auecque allégresse à un si haut dessein, et s'il est loisible de souhaiter ici bas quelque réputation ce sera lors qu'ayant traité une matière plus solide uauparauant je pourrai aussi mériter daventage d'être en l'estime du monde, et de vivre en la mémoire des hommes.
AVA MVSES	AVA MUSES
Iuines filles de Memoire EDont rien ne ternit la beauté.	Juines filles de Mémoire EDont rien ne ternit la beauté.
Déeſſes de l’eternité, Cheres compagnes de la Gloire;	Déesses de l'éternité, Chères compagnes de la Gloire;
Muſes qui ſuiuant les troupeaux Permiſtes à mes chalumeaux D’animer les antres ſauuages, Receuez deſſus votre autel Ce qu'à l'ombre de vos bocages I'ay chanté d’un art immortel.	Muses qui suivant les troupeaux Permistes à mes chalumeaux D'animer les antres sauvages, Receuez dessus votre autel Ce qu'à l'ombre de vos bocages J'ai chanté d'un art immortel.
Iadis dans les champs de Sicile Tous vos tréſors furent ouuers, Et Theocrite y fit des vers D’une veine riche, & facile:	Jadis dans les champs de Sicile Tous vos très furent ouverts, Et Théocrite y fit des vers D'une veine riche, et facile:
Il tiroit les Dieux après luy;	Il tirait les Dieux après avoir;
Les Rois enchantoient leur ennuy Dans la douceur de ſes merueilles, Et les ſiecles n’ont pas oſté Le fruit de ſes penibles veilles A la longue poſterité.	Les Rois enchantoient leur ennui Dans la douceur de ses merveilles, Et les siècles n'ont pas ôté Le fruit de ses pénibles veilles À la longue postérité.
Le Tybre depuis ſur ſes riues Oüit les diuines chanſons Dont Virgile en mille façons Charmoit ſes ondes fugitiues:	Le Tibre depuis sur ses rives Ouivit les divines chansons Dont Virgile en mille façons Charmait ses ondes fugitives:
Tityre aux accens de ſa vois Fit reuenir dedans les bois Les plus beaux ébas de la terre, Et les maiſtres de l’uniuers Conſentirent que le lierre Ioigniſt leurs lauriers toujours verts.	Titire aux accents de sa vois Fit revenir dedans les bois Les plus beaux ébas de la terre, Et les maîtres de l'univers Consentirent que le lierre Ioignît leurs lauriers toujours verts.
Ie n'eus jamais l’ame ſi vaine Que de croire les égaler;	Je n'eus jamais l'âme si vaine Que de croire les égaler;
C’eſt ſur leurs pas qu’il faut aller Puiſer dedans votre fontaine:	C'est sur leurs pas qu'il faut aller Puiser dedans votre fontaine:
Toutefois ô ſçauantes Sœurs Ie n'ay point receu vos faueurs Ainſi qu’un tréſor inutile, Et le Parnaſſe où j’ay monté N'a point de ſentier difficile A ue mon courage n’ait tanté.	Toutefois ô savantes Sœurs Je n'ai point reçu vos faveurs Ainsi qu'un trésor inutile, Et le Parnasse où j'ai monté N'a point de sentier difficile A ue mon courage n'ait tanté.
Aux foreſts les plus ſolitaires Ayant Apollon dans le ſein I’ay toujours ſuiuy le deſſein D’estre inſtruit en vos ſaints myſteres:	Aux forêts les plus solitaires Ayant Apollon dans le sein J'ai toujours suivi le dessein D'être instruit en vos saints mystères:
Ie me ſuis du peuple ecarté Pour auoir plus de liberté D’aller où le deſir m’appelle;	Je me suis du peuple ecarté Pour avoir plus de liberté D'aller où le désir m'appelle;
