ICAL L.	ICAL L.
DE SAINIE RLINE.	DE SAINIE RLINE.
ACIE PREMIER.	ACIE PREMIER.
SOBSAREMIERE OLIBRE, CARAVSE, LVCILLE, PAGES, GARDES.	SOBSAREMIÈRE OLIBRE, CARAUSE, LUCILLE, PAGES, GARDES.
OLIBRE, NTRE tous les Heros je ſuis le magnanime, L L’effroi des étrangers, & des Gaules l’eſtime Le ſeul & ferme apui de l’Empire Romain, Qui peut donc reſiſter à ma puiſſante main?	ÔLIBRE, NTRE tous les Héros je suis le magnanime, L 'effroi des étrangers, et des Gaules l'estime Le seul et ferme appui de l'Empire Romain, Qui peut donc résister à ma puissante main?
Quel eſt le Souverain tant ſoit-il mémorable, Qui n’aïe ſenti l’effort de ce bras redoutable?	Quel est le Souverain tant soit-il mémorable, Qui n'aïe senti l'effort de ce bras redoutable?
Le Ciel, les Elemens, favoriſent ma voix, La Terre & les Enfers fléchiſſent ſous mes Loix!	Le Ciel, les Éléments, favorisent ma voix, La Terre et les Enfers fléchissent sous mes Lois!
e veux que les Démons même ſans reſiſtance, Me ſervent d’inſtrumens pour punir l’inſolence, Des Rois qui paſſeront les bornes du devoir:	e veux que les Démons même sans résistance, Me servent d'instruments pour punir l'insolence, Des Rois qui passeront les bornes du devoir:
Mal-heureux d’éprouver juſqu’où va mon pouvoir L’Aſtre qui mon bon-heur & ma gloire ſeconde, Parsourant tous les jours la sarriere du monds,	Malheureux d'éprouver jusqu'où va mon pouvoir L'Astre qui mon bonheur et ma gloire seconde, Parsourant tous les jours la sarrière du monds,
T E Ie al a d na N’éclairera jamais d’égal à ma valeur, C’eſt ce fer, c’eſt ce bras qui fait entrer la peur Iuſque dans les Palais des plus braves Monarques, Qui coupe quand il veut la tiſſure des Parques, Qui ſouvent fait couler des riviéres de ſang, Qui ne fit jamais rien indigne de ſon rang, Qui donne à qui lui plaît ou la mort ou la vieAuguſte & floriſſant en dépit de l’envie, Qui malgré les plus grands ennemis de ſon nom Fait par tout éclater ſa gloire & ſon renom, Qui donne quand il veut ou la paix ou la guerre.	TANT CE Qu' elle a d' a N'éclairera jamais d'égal à ma valeur, C'est ce fer, c'est ce bras qui fait entrer la peur Jusque dans les Palais des plus braves Monarques, Qui coupe quand il veut la tissure des Parques, Qui souvent fait couler des riviéres de sang, Qui ne fit jamais rien indigne de son rang, Qui donne à qui lui plaît ou la mort ou la vieAuguste et florissant en dépit de l'envie, Qui malgré les plus grands ennemis de son nom Fait par tout éclater sa gloire et son ren, Qui donne quand il veut ou la paix ou la guerre.
Qui peut faire trembler tout le Ciel & la Terre, Les Siécles avenir feront des monumens, Qui mettront les eſprits dans des étonnemens, Je veux faire graver tous mes faits heroïques, Mes Images ſeront dans les places puuiiques, Les plus hauts Potentats tiennent à grand honneur D’avoir rang dans ma Cour, & part à mon bonheur	Qui peut faire trembler tout le Ciel et la Terre, Les Siècles avenir feront des monuments, Qui mettront les esprits dans des étonnements, Je veux faire graver tous mes faits héroïques, Mes Images seront dans les places puviques, Les plus hauts Potentats tiennent à grand honneur D'avoir rang dans ma Cour, et part à mon bonheur
