ALANCuENERe	ALANCuENERée
εδἐhοις ουqυμlε cουPαnL dlo dolαεlα [u ακιν νω l9 αοατ Ιεκι εδε ηb μύεnu d ene leοvdao ductunre do guaroa lPliolhequo de Parõ cpus n¬̃ d C dœhonde M	εδἐhοις ουqυμlε cουPαnL dolαεlα ακιν αοατ Ιεκι μύεnu Où le ductunre do guaroa cIel de Parõ cpus Mlo d Ç dœhonde M
AVLECEEVN EVX qui veulẽt ma perte, en font courir de ſi grands beſoin de me monstrer publiquement, ſi ie veux qu’on ſçache que ie ſuis au monde.	AVLECEEVN EUX qui veulent ma perte, en font courir de si grands besoin de me montrer publiquement, si personne veux qu'on sçache que je suis au monde.
Ie ne produis point icy l’impreſſion d’vn trauail ſi petit & ſi deſa duantageux à ma memoire, afin qu’on le voye:	Je ne produis point ici l'impression d'un travail si petit et si desa duantageux à ma mémoire, afin qu'on le voie:
mais afin qu’il faſſe voir que Dieu veut que ie viue.	mais afin qu'il fasse voir que Dieu veut que je vive.
Et que le Roy ſouffre que AMLECIEVR.	Et que le Roi souffre que AMLECIEUR.
ie ſois à la Cour.	Ne sois à la Cour.
Il ſemble que ie faſſe vn' imprudence de me plaindre de mon malheur, dautant que cest le diuulguer:	Il semble que Seigneur fasse vn' imprudence de me plaindre de mon malheur, dautant que cette le divulguer:
l’ay aſſeZ d’adreſſe pour m'en taire, s’il y auoit encore qu'elqu'vn à leſçauoir:	l'ai assez d'adresse pour m'en taire, s'il y avait encore qu'ellequ'un à lesçauoir:
mais il ne ſe trouue plus perſonne à qui ie ne doiue ſatisfaction de ma vie, dont les mauuais & les faux bruits ont rendu les meilleures actions ſcandaleuſes à tout le monde.	mais il ne se trouve plus personne à qui ie ne doive satisfaction de ma vie, dont les mauvais et les faux bruits ont rendu les meilleures actions scandaleuses à tout le monde.
Ie crains que mon ſilence ne face mon Crime;	Je crains que mon silence ne face mon Crime;
car ſi ie ne repouſſe la Calomnie, il ſemble que ma coſciẽce ne l’oze deſaduouer.	car si ici ne repousse la Calomnie, il semble que ma coscice ne l'ose désavouer.
