MN I Chez JEAN RIBOU, au Palais, vis-à-vis la porte de l’Egliſe de la Sainte Chapelle, à l’Image S.	MN I Nez JEAN RIBOU, au Palais, vis-à-vis la porte de l'Église de la Sainte Chapelle, à l'Image S.
Loüis.	Louis.
rendre à vos ALTESSES SERENISSIMES, ce campagnar eſt tellement fier du bon-heur qu’il eu de paroiſtre aux yeux de noſtre Grand Monarque, qu’il ne peut s’i maginer qu’il ſoit tout-à-fait indirne de paroiſtre aux voſtres, quelque ſoin que je prenne à l’en détourner, j me vois contraint de l’abandonner t ſon opiniâtreté;	rendre à vos ALTESSES SERENISIMES, ce campagnar est tellement fier du bonheur qu'il eu de paraître aux yeux de notre Grand Monarque, qu'il ne peut s'y maginer qu'il soit tout-à-fait indirne de paraître aux vôtres, quelque soin que je prenne à l'en détourner, me vois contraint de l'abandonner son opiniâtre;
& quelque reflexion que je face ſur ſes défauts, je ne puïr me diſpenſer de donner quelque choſe a mon zele:	et quelque réflexion que je face sur ses défauts, je ne puir me dispenser de donner quelque chose a mon zèle:
Ie me ſuis en vain efforce de mettre devant ſes yeux tout ce qui le devoit intimider, de luy dire qu’il alloit s’expoſer aux yeux de trois Princes ſi éclairez, ſi galans & ſi accomplies, que l’ouvrage le plus parfait, meriteroit à peine l’honneur de luy eſtre offert, & que ſi l’indulgence qu’on a eüe pour luy à Paris, la fait trouver ſupportable;	Je me suis en vain efforce de mettre devant ses yeux tout ce qui le devait intimider, de lui dire qu'il allait s'exposer aux yeux de trois Princes si éclairez, si galants et si accomplies, que l'ouvrage le plus parfait, mériterait à peine l'honneur de lui endre offert, et que si l'indulgence qu'on a eue pour tant à Paris, la fait trouver supportable;
le juſte diſcernement que vos ALTESSES SERENIS-:	le juste discernement que vos ALTESSES SERENIS-:
SIMES ſçavent faire de toutes choſes, luy devoit faire perdre l’en vie de ſortir de ſon pays.	SIMES Savent faire de toutes choses, lui devait faire perdre l'en vie de sortir de son pays.
Ces conſiderations l’auroient peut-estre fait rentrer en luy-meſme, ſi les merveilles que la renommée publie icy de vous chaque jour, ne luy avoient donné autant de curioſité que d’étonnement:	Ces considérations l'auraient peut-être fait rentrer en était-même, si les merveilles que la renommée publie ici de vous chaque jour, ne voulaient donné autant de curiosité que d'étonnement:
Il a ſceu par ſa voix que l’Allemagne a produit en vos A.	Il a su par sa voix que l'Allemagne a produit en vos A.
S.	S.
trois Princes auſſi Illuſtres par leur merite que conſiderables par leur Rang, auſſi redoutables par leur Valeur, que Glorieux par leurs Victoires, auſſi admirables par leur Prudence, que étonnans par la vivacité de leur Esprit, & auſſi remarquables par leur Magnificence qu'extraordinaires par leur generoſité.	trois Princes aussi Illustres par leur mérite que considérables par leur Rang, aussi redoutables par leur Valeur, que Glorieux par leurs Victoires, aussi admirables par leur Prudence, que étonnants par la vivacité de leur Esprit, et aussi remarquables par leur Magnificence qu'extraordinaires par leur générosité.
Il a ſceu que la bonté vous est auſſi naturelle que la juſtice, & n'a pù s’imaginer que la facilité que vous aveZ à connoiſtre les défauts, d’étruiſe en vos A.	Il a su que la bonté vous est aussi naturelle que la justice, et n'a pù s'imaginer que la facilité que vous avez à connaître les défauts, d'étruise en vos A.
S, le penchant qu'elles ont à les excuſer.	S, le penchant qu'elles ont à les excuser.
Voilà le digne ſujet de ſon empreſſement, voilà ce qui peut juſtifier ſa hardieſſe;	Voilà le digne sujet de son empressement, voilà ce qui peut justifier sa hardiesse;
& j'oſe dire ſans la vouloir authoriſer, que la curioſité n’eſt pas tout à-fait blâmable quand elle eſt auſſi bien fondée.	et j'ose dire sans la vouloir autoriser, que la curiosité n'est pas tout à-fait blâmable quand elle est aussi bien fondée.
En effet, MESSEIGNEVRS, ce n’eſt qu’en vostre ſeule Couroù la nature prodigue de Heros, fait voir en trois Illustres Freres, trois Princes dont l’union & les Vertus éclatantes donne de l’admiration à tout le reste du Monde;	En effet, MESSEIGNEURS, ce n'est qu'en votre seule Couroù la nature prodigue de Héros, fait voir en trois Illustres Frères, trois Princes dont l'union et les Vertus éclatantes donne de l'admiration à tout le reste du Monde;
ce n’eſt qu’en vos A.	ce n'est qu'en vos A.
S.	S.
que le Ciel a doüé trois Freres de tout ce qui peut rendre trois Princes également parfaits, & ce n’eſt qu'à chacun de vous ſeuls en particulier, à qui le Ciel a donné deux Princes & deux Heros pour Freres.	que le Ciel a doué trois Frères de tout ce qui peut rendre trois Princes également parfaits, et ce n'est qu'à chacun de vous seuls en particulier, à qui le Ciel a donné deux Princes et deux Héros pour Frères.
Je ſçais bien que que je me pouvois empécher d’avoir part à la temerité du Provincial que je vous offre, que ie luy pouvois refuſer mon aveu, & que ſi ſon bonheur le conduiſoit en Allemagne, ie le pouvois laiſſer aller en vacabond, en une Cour où ſes défauts ne peuvent avoir que vos bontez pour azile:	Je sais bien que que je me pouvais empêcher d'avoir part à la témérité du Provincial que je vous offre, que ieclair pouvais refuser mon aveu, et que si son bonheur le conduisait en Allemagne, Seigneur le pouvais laisser aller en vacond, en une Cour où ses défauts ne peuvent avoir que vos bontés pour azile:
