Extraict du Priuilege du Roy.	Extrait du Privilège du Roi.
JAL Grace & Priuilege du Roy, en datte du 27.	JAL Grâce et Privilège du Roi, en datte du 27.
Siptembre 1649 ſignées, Par le Roy en ſonConſeil Eoy, Il eſt permis à ANTOINE DE SOMMAVILLE Ma chand Libraire à Paris, d’Imprimer ou faire Impriner, vendre & debiter COSROES TRAGEDIE de Monſieur de ROTROV, & ce pendant l’eſpace de cnq ans, à compter du iour qu’elle ſera acheuée d’Imprimer, & deffences ſont faites à tous autres de l’Imprimer, ſur peine d’amande & de conſiſcation des exemplaires;	Siptembre 1649 signées, Par le Roi en sonConseil Éoy, Il est permis à ANTOINE DE SOMAUILLE Ma chand Libraire à Paris, d'Imprimer ou faire Impriner, vendre et débiter COSROS TRAGÉDIE de Monsieur de ROTROU, et ce pendant l'espace de cnq ans, à compter du jour qu'elle sera achevée d'Imprimer, et défens sont es à tous autres de l'Imprimer, sur peine d'amande et de consiscation des exemplaires;
ainſi qu’il eſt plus amplement porté par leſdites mettres donhanege.	ainsi qu'il est plus amplement porté par lesdites mettrez donhane.
Acheué d'Imprimer le premier iour de Decembre mil ſix cens quarante-neuf.	Achevé d'Imprimer le premier jour de Décembre mille six cens quarante-neuf.
Les Exemplaires ont eſté fournis.	Les Exemplaires ont été fournis.
ACTEVRS.	ACTEURS.
COSROES Roy de Perſe.	COSROES Roi de Perse.
OIRA Reyne de retic.	ÔIRA Reine de retic.
SYROES fils du Roy de Perſe.	SYROES fils du Roi de Perse.
murfenmu ſemme de Syroes.	murfenmu semme de Syroes.
MARDESANE fils de Coſroës & de Syra	MARDESANE fils de Cosroés et de Scyra
SARDARIGVE pere de Narſée.	SARDARIGUE père de Narsée.
GARDES.	GARDES.
La Scene eſt au Palais du Roy de Perſe.	La Scène est au Palais du Roi de Perse.
XTNCEDTA	XTNCEDTA
ACIETREMIER.	ACIETREMIÈR.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
STRA, SIROES.	STRA, SIROS.
SYRA.	SYRA.
oy!	oy!
vous, contre mon fils!	vous, contre mon fils!
vous, ſon indigne frere.	vous, son indigne frère.
ous inſolent!	ous insolent!
YROES.	YROES.
Madame, vn peu moins de colere!	Madame, un peu moins de colère!
SYRA.	SYRA.
Et me comprendre, encor, dans voſtre differend!	Et me comprendre, encor, dans votre différend!
YROES.	YROES.
Ie vous honore en Reine, & l’eſtime en parent.	Je vous honore en Reine, et l'estime en parent.
Mais, s’il forge vn fantoſme, afin de le combattre.	Mais, s'il forge un fantôme, afin de le combattre.
Ie ſçauray bien, perfide;	Je saurai bien, perfide;
ER*I.	ER*I.
IROLS.	JROLS.
Ha!	Ha!
cruelle maraſtre!	cruelle marâtre!
A.	A.
A qui luy deſplaira, faire perdre le jour, Et contre qui le hayt, luy monſtrer mon amour.	À qui lui déplaira, faire perdre le jour, Et contre qui le hait, notre montrer mon amour.
YROES.	YROES.
