Extraict du Priuilege du Roy.	Extrait du Privilège du Roi.
M Ar grace & Priuilege du Roy donné à Paris, le 7.	M Ar grâce et Privilège du Roi donné à Paris, le 7.
Feurier, 1637.	Février, 1637.
Signé, Par le Roy en ſon Conſeil.	Signé, Par le Roi en son Conseil.
DE MONSSEAVX, Il eſt permis à ANTHOINE DE SOMMAVILLE, Marchand Libraire à Paris, d’imprimer ou faire imprimer, vendre & diſtribuer vne piece de Theatre, intitulee, La Pelerine Amoureuſe Tragi-comedie, durant le temps & eſpace de neuf ans, à compter du iour qu’elle ſera acheuee d’imprimer.	DE MONSEAUX, Il est permis à ANTHOINE DE SOMMAVILE, Marchand Libraire à Paris, d'imprimer ou faire imprimer, vendre et distribuer une pièce de Théâtre, intitulée, La Pélerine Amoureuse Tragi-comédie, durant le temps et espace de neuf ans, à compter du jour qu'elle sera achevue d'imprimer.
Et deffences ſont faictes à tous Imprimeurs, Libraires, & autres, de contrefaire ladite piece, ny en vendre ou expoſer en vente de contrefaicte, à peine de trois mil liures d’amende, de tous ſes deſpens, dommages & intereſts;	Et défenses sont faites à tous Imprimeurs, Libraires, et autres, de contrefaire ladite pièce, notre en vendre ou exposer en vente de contrefaite, à peine de trois mille livres d'amende, de tous ses dépens, dommages et intérêts;
ainſi qu’il eſt plus amplement porté par leſdites Lettres qui ſont en vertu du preſent Extraict tenuës pour bien & deuëment ſignifiees, à ce qu’aucun n’en pretende cauſe d’ignorance.	ainsi qu'il est plus amplement porté par lesdites Lettres qui sont en vertu du présent Extrait tenues pour bien et duement signifie, à ce qu'aucun n'en prétende cause d'ignorance.
Acheué d’imprimer pour la premiere fois, le 20.	Achevé d'imprimer pour la première fois, le 20.
Feurier, mil ſix cens trente ſept.	Février, mil six cens trente sept.
ACTEVRS.	ACTEURS.
LVCIDOR.	LUCIDOR.
ſeruiteur de Celie, CELIANTE.	serviteur de Celie, CÉLIANTE.
ſeruiteur de Celie, & frere de ILIDAN.	serviteur de Célie, et frère de ILIDAN.
ERASME.	ERASME.
ELIE.	ÉLIE.
Lucidor, valet de Lucidor, Pere de Celie.	Lucidor, valet de Lucidor, Père de Celie.
LA NOVRRICE.	LA NOURRICE.
de Celie.	de Célie.
LVCIDOR, ſousle amy de Celie.	LUCIDOR, soûle ami de Celie.
nom de Leandre.	nom de Léandre.
CLIDAMANT.	CLIDAMANT.
grand Preſtre.	grand Prêtre.
ANGEENQVE.	ANGENQUE.
CLORIMAND.	CLORIMAND.
FILENE.	SILÈNE.
Pellerine, & maiſtreſſe de Lucidor.	Pellerine, et maîtresse de Lucidor.
gentil homme d’Angelique.	gentil homme d'Angélique.
valet d’Eraſme.	valet d'Erâme.
LES ARCHERS.	LES ARCHERS.
TET LA NIIVE AMOVREVSE.	TET LA NIVE AMOUREUSE.
TRAGI-COMEDIE.	TRAGI-COMÉDIE.
AICTE L SCLNE IREMIENE LVCIDOR, CELIANTE, FILIDAN, valet de Lucidor.	ÀICTE SCLNE JREMIENE LUCIDOR, CELIANTE, FILIDAN, valet de Lucidor.
CELIANTE.	CELIANTE.
Ayme ſans deſeſpoir, & ſans melancholiez Le Ciel ordonnera des faueurs de Celie, A Jl doit ſeul diſpoſer du deſtin des humains, Tout hymen qui proſpere eſt vn nœud de ſes mains.	Aime sans désespoir, et sans melancholiez Le Ciel ordonnera des faveurs de Célie, A l doit seul disposer du destin des humains, Tout hymen qui prospère est un nœud de ses mains.
Jl veille deſſus nous;	Il veille dessus nous;
& l’extréme prudence Gist à n’attendre rien que de ſa prouidence.	et l'extrême prudence Gît à n'attendre rien que de sa providence.
CIDOR.	CIDOR.
Ainſi la deffiance excuſe nos deffauts Lors que nous aſpirons à des obiets trop hauts, Le Ciel te chang ra cette belle farouche!	Ainsi la défiance excuse nos défauts Lors que nous aspirons à des objets trop hauts, Le Ciel te chang ra cette belle farouche!
Et les Dieux de leur main la mettront dans ta couche, Ils t’ont fort en obiet, & ton contentement A leurs proſperités importe infiniment.	Et les Dieux de leur main la mettront dans ta couche, Ils t'ont fort en objet, et ton contentement À leurs prospérités importe infiniment.
Quel abus Celiante égale ta folie, Et quel ſoing ont les Dieux de toy, ny de Celie?	Quel abus Céliante égale ta folie, Et quel soing ont les Dieux de toi, Seigneur de Celie?
Jls donnent aux mortels auecques la clarté Un pouuoir abſolu deſſus leur volonté:	Ils donnent aux mortels auecques la clarté Un pouvoir absolu dessus leur volonté:
Tout ce qu’ils ont cree ſur la terre ou nous ſommes Tout ce qu’ils ont ſouſmis à l’appetit des hommes, N'eſt plus conſideré de leurs diuinités C’eſt a nous de pouruoir à nos neceßités:	Tout ce qu'ils ont cree sur la terre ou nous sommes Tout ce qu'ils ont sousmis à l'appétit des hommes, N'est plus considéré de leurs divinités C'est a nous de pourvoir à nos nécessités:
Voir les biens, & les maux, ſe ſeruir du tonnerre, Faire mouuoir les Cieux & ſouſtenir la terre, Entretenir la guerre entre les Elments, Et diſpoſer des prix comme des chaſtiments, C'eſt ie noble exercice où leur pouuoir s’applique Et non pas de regir les vœux d'vn frenetique, D’offrir à Geliante, ou Celie, ou Cloris, Qui veulent de leur main ſe choiſir des maris.	Voir les biens, et les maux, se servir du tonnerre, Faire mouvoir les Cieux et soutenir la terre, Entretenir la guerre entre les Éléments, Et disposer des prix comme des châtiments, C'est autre noble exercice où leur pouvoir s'applique Et non pas de régir les vœux d'un frénétique, D'offrir à Géliante, ou Célie, ou Cloris, Qui veulent de leur main se choisir des maris.
ELIANTE.	ÉLIANTE.
Crains les Dieux Lucidor & croy l’experience Si claire, & ſi contraire à ta vaine ſcience, Vn malheur ſi certain ſuit vn hymen forcé Que deſia ton deſſein n’eſt que trop auancé:	Crains les Dieux Lucidor et crois l'expérience Si claire, et si contraire à ta vaine science, Un malheur si certain suit un hymen forcé Que déjà ton dessein n'est que trop avancé:
Que ton cœur deuſt au Ciel ſoûmettre ſon enuie, Et Celie à ſon gré diſpoſer de ſa vie:	Que ton cœur dût au Ciel soumettre son envie, Et Celie à son gré disposer de sa vie:
Son aueugle parent au iour qui t'est preſcrit Te peut donner ſon corps, mais non pas ſon eſprit, Voyant à tes coſtés ceſte belle ennemie, Les yeux moüillés de pleurs, froide, palle, endormie, Meſpriſer tes ſouſpirs & ta fidelité, Et ne rien accorder qu’à l’importunité;	Son aveugle parent au jour qui t'est prescrit Te peut donner son corps, mais non pas son esprit, Voyant à tes côtés cette belle ennemie, Les yeux mouillés de pleurs, froide, pale, endormie, Mespriser tes soupirs et ta fidélité, Et ne rien accorder qu'à l'importunité;
Seras tu ſatisfaict de viure de la ſorte, Si tu ſçais les douceurs, qu’vn autre hymen apporte?	Seras tu satisfait de vivre de la sorte, Si tu sais les douceurs, qu'un autre hymen apporte?
Ha!	Ha!
que tu parleras d’vn eſprit plus raſſis!	que tu parleras d'un esprit plus rassis!
Et qu’vne ſeule fleur te vaudra de ſoucis!	Et qu'une seule fleur te vaudra de soucis!
IDOR.	JDOR.
Le plus fidelle aduis est ſuſpect en la bouche De qui nous entretient ſur vn faict qui le touche, Ma ruine feroit pour ton aduancement, A ij Et tu me parles moins en amy, qu’en amant;	Le plus fidèle avis est suspect en la bouche De qui nous entretient sur un fait qui le touche, Ma ruine ferait pour ton avancement, A j Et tu me parles moins en ami, qu'en amant;
