M.	M.
DC.	DC.
XXXVII.	XXXVII.
Auec Priuilege du Roy.	Avec Privilège du Roi.
Extraict du Priuilege du Roy.	Extrait du Privilège du Roi.
Ar grace & Priuilege du Roy donné à Paris, le 7.	Ar grâce et Privilège du Roi donné à Paris, le 7.
Feurier, 1637.	Février, 1637.
Signe, Par le Roy en ſon Conſeil.	Signe, Par le Roi en son Conseil.
DE MONSSEAVX, Il eſt permis à ANTHOINE DE SOMMAVILLE, Marchand Libraire à Paris, d’imprimer ou faire imprimer, vendre & diſtribuer vne piece de Theatre, intitulee, L’Heureux Naufrage Tragi-comedie, durant le temps & eſpace de neuf ans, à compter du iour qu’elle ſera acheuee d’imprimer.	DE MONSEAUX, Il est permis à ANTHOINE DE SOMMAVILE, Marchand Libraire à Paris, d'imprimer ou faire imprimer, vendre et distribuer une pièce de Théâtre, intitulée, L'Heureux Naufrage Tragi-comédie, durant le temps et espace de neuf ans, à compter du jour qu'elle sera achevue d'imprimer.
Et deffences ſont faictes à tous Imprimeurs, Libraires, & autres, de contrefaire ladite piece, ny en vendre ou expoſer en vente de contréfaicte, à peine de trois mil liures d’amende, de tous ſes deſpens, dommages & intereſts;	Et défenses sont faites à tous Imprimeurs, Libraires, et autres, de contrefaire ladite pièce, notre en vendre ou exposer en vente de contréfaicte, à peine de trois mille livres d'amende, de tous ses dépens, dommages et intérêts;
ainſi qu’il eſt plus amplement porté par leſdites Lettres qui ſont en vertu du preſent Extraict tenuës pour bien & deuëment ſignifiees, à ce qu’aucun n’en pretende cauſe d’ignorance.	ainsi qu'il est plus amplement porté par lesdites Lettres qui sont en vertu du présent Extrait tenues pour bien et duement signifie, à ce qu'aucun n'en prétende cause d'ignorance.
ACTEVRS.	ACTEURS.
CLEANDRE.	CLÉANDRE.
Prince d’Epire.	Prince d'Epire.
FLORONDE.	FLORONDE.
Princeſſe d’Epire.	Princesse d'Epire.
SALMACIS.	SALMACIS.
Reyne de Dalmatie.	Reine de Dalmatie.
CEPHALIE.	CÉPHALIE.
Sœur dela Reyne de Dalmatie DORISMOND.	Sœur déla Reine de Dalmatie DORISMOND.
Seruiteur de Cephalie.	Serviteur de Céphalie.
