Extraict du Priuilege du Roy.	Extrait du Privilège du Roi.
Ar grace & Priuilege du Roy donné à Paris, le 7.	Ar grâce et Privilège du Roi donné à Paris, le 7.
Feurier, 1637.	Février, 1637.
Signe, Par le Roy en ſon Conſeil.	Signe, Par le Roi en son Conseil.
DE MONSSEAVX.	DE MONSEAUX.
Il eſt permis à ANTHOINE DE SOMMAVFLLE, Marchand Libraire à Paris, d’imprimer ou faire imprimer, vendre & diſtribuer vne piece de Theatre, intitulee, L’Innocente Infidelité Tragi-comedie, durant le temps & eſpace de neuf ans, à compter du iour qu’elle ſera acheuee d’imprimer.	Il est permis à ANTHOINE DE SOMMAVFLLE, Marchand Libraire à Paris, d'imprimer ou faire imprimer, vendre et distribuer une pièce de Théâtre, intitulée, L'Innocente Infidélité Tragi-comédie, durant le temps et espace de neuf ans, à compter du jour qu'elle sera achevée d'imprimer.
Et deffenſes ſont faictes à tous Imprimeurs, Libraires, & autres, de contrefaire ladite piece,ny en vendre ou expoſer en vente de contrefaicte, à peine de trois mil liures d’amende, de tous ſes deſpens, dommages & intereſts;	Et défenses sont faites à tous Imprimeurs, Libraires, et autres, de contrefaire ladite pièce,ny en vendre ou exposer en vente de contrefaite, à peine de trois mille livres d'amende, de tous ses dépens, dommages et intérêts;
ainſi qu’il eſt plus amplement porté par leſdites Lettres qui ſont en vertu du preſent Extraict tenuës pour bien & deuëment ſignifices, à ce qu’aucun n’en pretende cauſe d’ignorance.	ainsi qu'il est plus amplement porté par lesdites Lettres qui sont en vertu du présent Extrait tenues pour bien et duement signifiées, à ce qu'aucun n'en prétende cause d'ignorance.
Acheué d'imprimer pour la premiere fois, le 4.	Achevé d'imprimer pour la première fois, le 4.
Mars, mil ſix cens trente ſept.	Mars, mil six cens trente sept.
ACTEVRS.	ACTEURS.
HERMANTE, FELISMOND, PARTHENIE, LE DVC, EVAN DRE, maiſtreſſe de Feliſmond?	HERMANTE, FELISMOND, PARTHENIE, LE DUC, EVAN DRE, maîtresse de Félismond?
Roy d’Epire.	Roi d'Epire.
Reyne d’Fpire.	Reine d'Fire.
Oncle de Parthenie.	Oncle de Parthénie.
LES THERSANDRE, Confident de Clarimond.	LES THÉRSANDRE, Confident de Clarimond.
CLARIMOND.	CLARIMOND.
Amant de Parrhenie.	Amant de Parrhénie.
LE PERE, de Parthenie.	LE PERE, de Parthénie.
CLARIANE, Vieille, LEONIE, ſuiuante de Parthenie.	CLARIANE, Vieille, LÉONIE, suivante de Parthénie.
