A MONSIEVR, RVTSTCOIEVT DE BELIN.	À MONSIEUR, RUTSTCOIEUT DE BELIN.
ONSIEVR,	ONSIEUR,
Vn moment de patience & de * lecture vous va faire voir que ce Poëme a des circonſtances hors de ſoy de bienſeance & de gratitude, qui veulent abſolument que ie vous choiſiſſe pluſtoſt qu'vn autre pour eſtre le ſujet de ſon Epiſtre.	Un moment de patience et de * lecture vous va faire voir que ce Poème a des circonstances hors de soi de bienséance et de gratitude, qui veulent absolument que je vous choisisse plutôt qu'un autre pour être le sujet de son Épître.
Mais ſi la volonté fait vne bonne partie du merite de l’action, il eſt aſſeuré que la mienne en cecy ne vous doit pas beaucoup obliger, puiſque c’eſt à regret & par la neceßité de toutes les neceßitez la plus dure que ie m'y ſuis determiné:	Mais si la volonté fait une bonne partie du mérite de l'action, il est assuré que la mienne en ceci ne vous doit pas beaucoup obliger, puisque c'est à regret et par la nécessité de toutes les necessitez la plus dure que sans m'y suis déterminé:
En ſuitte de cette declaration, auec cette franchiſe ori ginaire que les Princes du monde les plus imperieux ont touſiours laißée par priuilege à ceux de ma Nation.	En suite de cette déclaration, avec cette franchise ori ginaire que les Princes du monde les plus impérieux ont toujours laisse par privilège à ceux de ma Nation.
Ie ne craindray pas de vous dire que l’eſtime tres-particuliere que ie fay de voſtre Vertu n'euſt pas obligé ma plume à vous en rendre vne preuue publique en cet Ouurage, ſi celuy pour qui ie le fis eſtoit en eſtat de le receuoir;	Ie ne craindray pas de vous dire que estime très-particulière que ie fay de vôtre Vertu n'eût pas obligé ma plume vous en rendre prévue Je ne cetOuurage, pas de vous qui re que l' estime très de le receuoir;
Ainſi, MONSIEVR, c’eſt à ſon defaut, & malgré moy, que ie vous l’adreſſe.	Ainsi, MONSIEUR, c'est à son défaut, et malgré moi, que ie vous l'adresse.
Ie ne doute point que d’abord la liberté de ce diſcours ne vous ſemble eſtrange & de mauuaiſe grace, ie vous tiens cependant ſi raiſonnable & ſi genereux, que vous ne ferez pas difficulté de remplir la place de la perſonne dont ie parle, quand vous ſçaurez qu'elle a poſſedé tous les aduantages d’ame & de corps qui peuuent rendre conſiderable durant la vie, & regretable apres lamort, vn homme d’illuſtre naiſſance.	Je ne doute point que d'abord la liberté de ce discours ne vous semble étrange et de mauvaise grâce, ie vous tiens cependant si raisonnable et si généreux, que vous ne ferez pas difficulté de remplir la place de la personne dont Un parle, quand vous saurez qu'elle a possédé tous les avantages d'âme et de corps qui peuvent rendre considérable durant la vie, et regretable après lamort, un homme d'illustre naissance.
A la ſeule inſpection de ſon viſage on pouuoit connoiſire aisément & ſans ſe tromper la naturelle diſpoſition de ſon cœur aux choſes bonnes & releuées;	À la seule inspection de son visage on pouvait connaisire aisément et sans se tromper la naturelle disposition de son cœur aux choses bonnes et relevées;
Il eſtoit riche & magnifique ſans faſt, habile & delicat ſans ſuffiſance, bien fait & bien faiſant ſans vanité, charmant & facile en ſa conuerſation, diſcret & gracieux en ſes railleries, égal & preſque inimitable en ſes manieres, ardant & loyal en ſes amitiés, fidelle & punctuel en ſes promeſſes.	Il était riche et magnifique sans fât, habile et délicat sans suffisance, bien fait et bien faisant sans vanité, charmant et facile en sa conversation, discret et gracieux en ses railleries, égal et presque inimitable en ses manières, ardant et loyal en ses amitiés, fidèle et puntuel en ses promesses.
Enfin, outre qu’il auoit toutes les excellentes parties qui doiuent entrer en la compoſition d’vn veritable Gentil homme il eſtoit encore Eſtimateur amoureux –– de la vertu ſoubs quelque habit qu’elle luy paruſt.	Enfin, outre qu'il avait toutes les excellentes parties qui doivent entrer en la composition d'un véritable Gentil homme il était encore Estimateur amoureux de la vertu sous quelque habit qu'elle avait parût.
