Beliſſaire a eſté trop cruellement trauerſé pendant ſa vie, pour eſperer de ne l’eſtre point apres ſamort, & quoy qu’il ait eſté l’admiration de tout le monde, il n’a pas laiſſé d’eſtre la haine de quelques vns, parce qu’il en a eſté l’enuie:	Bélissaire a été trop cruellement traversé pendant sa vie, pour espérer de ne l'être point après samort, et quoi qu'il ait été l'admiration de tout le monde, il n'a pas laissé d'être la haine de quelques uns, parce qu'il en a été l'envie:
Son hiſtoire ne doit pas eſtre plus priuilegiée que ſa vie, ny ſa repreſentation, que luy-meſme;	Son histoire ne doit pas être plus priuilegiée que sa vie, ni sa représentation, que quelque-même;
& ſi ceux meſmes qui l’aymerent le plus, furent ceux qui le calomnierent dauantage, & qui luy firent le plus de mal;	et si ceux mêmes qui l'aimèrent le plus, furent ceux qui le calomnièrent davantage, et qui lui firent le plus de mal;
il eſt viſible, que ſon ſort eſt d’eſtre perſecuté, quoy qu’il ſoit admiré, & d’eſtre condamné par des paſſionnez & par des jaloux.	il est visible, que son sort est d'être persécuté, quoi qu'il soit admiré, et d'être condamné par des passionnez et par des jaloux.
Mais ces trauerſes luy ſont peu ſenſibles, MONSEIGNEVR, apres auoir appris que vous luy faites l’honneur d’eſtre vn de ſes approbateurs;	Mais ces traverses fois sont peu sensibles, MONSEIGNEUR, après avoir appris que vous avez faites l'honneur d'être Un de ses approbateurs;
vne perſonne de voſtre naiſſance & de voſtre merite, peut bien donner plus deſtime, qu’vne infinité d’autres n’eſt capable d’en oſter;	une personne de votre naissance et de votre mérite, peut bien donner plus destime, qu'une infinité d'autres n'est capable d'en ôter;
& ſi voſtre Alteſſe a treuué Beliſſaire digne de ſon approbation, ſa gloire eſt acheuée, & ſa vertu dignement recompenſée.	et si votre Altesse a trouvé Bélissaire digne de son approbation, sa gloire est achevée, et sa vertu dignement récompensée.
Il y a long-temps que ie vous cherchois dans mes veilles, quelque reconnoiſſance de l’honneur que vous m’auez fait autrefois, MONSEIGNEVR, de ſouffrir, & les repreſentations de mes ouurages, & les proteſtations de mes tres-humbles ſeruices:	Il y a longtemps que après vous cherchais dans mes veilles, quelque reconnaissance de l'honneur que vous m'avez fait autrefois, MONSEIGNEUR, de souffrir, et les représentations de mes ouvrages, et les protestations de mes très-humbles services:
Mais comme l’eſtabliſſement de mes affaires ne m’a pas permis depuis long-temps vn grand commerſe auec les Muſes, ie me ſuis acquitté bien tard de cette debte, que ie prie tres-humblement voſtre Alteſſe, de receuoir par les mains de bemmane, qui tiendra l’honneur de voſtre amitié pour la plus digne de ſes conqueſtes, & qui ne peut treuuer contre ſes enuieux, ny de plus noble, ny de plus heureuſe, protection que celle d’vn ſi grand Prince.	Mais comme l'établissement de mes affaires ne m'a pas permis depuis longtemps un grand commerse avec les Muses, je me suis acquitté bien tard de cette débte, que sans prie très-humblement votre Altesse, de recevoir par les mains de bemmane, qui tiendra l'honneur de votre amitié pour la plus digne de ses conquêtes, et qui ne peut trouver contre ses envieux, ni de plus noble, ni de plus heureuse, protection que celle d'un si grand Prince.
Accordez-luy, s’il vous plaiſt, cette faueur, MONEIGNEVR, & à ſon Autheur, la permiſſion de le dine.	Accordez-lui, s'il vous plaît, cette faveur, MONEIGNEUR, et à son Auteur, la permission de le dine.
