A PARIS, Chez AVGVSTIN, SOvnDL, dans la Galerie du Palais, à la Palme.	À PARIS, Chez AUGUSTIN, SODL, dans la Galerie du Palais, à la Palme.
M.	M.
DC.	DC.
XLVI.	XLVI.
AVEC PRIVILEGE DV ROY.	AVEC PRIVILÈGE DU ROY.
EXTRAICT DV PRIVILEGE du Roy.	EXTRAICT DU PRIVILÈGE du Roi.
DAR grace & Priuilege du Roy en datte du I dix-neufiéme Feburier 1646.	DAR grâce et Privilège du Roi en datte du I dix-neuvième Féburier 1646.
ſigné par le Roy en ſon Conſeil le BRVN:	signé par le Roi en son Conseil le BRUN:
Il eſt permis à Touſſainct Quinet, Marchand Libraire à Paris, d’Imprimer ou faire Imprimer vne piece de Theatre dela Compoſition de Monſieur de Rotrou, intitulée CELIE, ou le Vice-Roy de Naples, Et ce durant le temps de cinq ans;	Il est permis à Toussaint Quinet, Marchand Libraire à Paris, d'Imprimer ou faire Imprimer une pièce de Théâtre déla Composition de Monsieur de Rotrou, intitulée CELIE, ou le Vice-Roi de Naples, Et ce durant le temps de cinq ans;
auec deffences à tous autres de contrefaire ladite piece, ny en vendre de contrefaictes, ſur peine de tous deſpens, dommageo de interelts, ce uirrende arbitraire, ailiſiqu’il eſt contenu plus au long eſdites lettres dudit Priuilege.	auec défenses à tous autres de contrefaire ladite pièce, ni en vendre de contrefaites, sur peine de tous dépens, dommageo de interelts, ce irrende arbitraire, ailisiqu'il est contenu plus au long édites lettres dudit Privilège.
Et ledit Quinet a aſſocié au ſuſdit Priuilege Antoine de Sommauille, & Auguſtin Courbé, auſſi Marchands Libraires à Paris, ſuiuant l’accord fait entr’eux.	Et ledit Quinet a associé au susdit Privilège Antoine de Sommaville, et Augustin Courbé, aussi Marchands Libraires à Paris, suivant l'accord fait entr'eux.
Tomkaren eme aeupianes	Tomaren eme auspianes
EVPHRASTE Gentil-homme Napolitain.	EUPHRASTE Gentilhomme Napolitain.
ARGANTE Valet de Chambre de D.	ARGANTE Valet de Chambre de D.
Aluare.	Alvare.
EGYSTE Valet de Chambre de D.	ÉGYSTE Valet de Chambre de D.
Flaminie.	Flaminie.
LVCINDE Fille de Chambre.	LUCINDE Fille de Chambre.
D.	D.
RODRIGVE Vice-Roy de Salerne.	RODRIGUE Vice-Roi de Salerne.
ERGASTE Valet d’Euphraſte.	ÉRGASTE Valet d'Euphraste.
GARDES du Vice-Roy.	GARDES du Vice-Rois.
CELIE	CELIE
ATE TNACICOMEDIE	ATE TNACICOMEDIE
ACIE I SCERE IREMIERE.	ACIE I CERE IREMIERE.
D.	D.
ALVARE ARGANTE,	ALVARE ARGANTE,
D.	D.
ALVARE.	ALVARE.
Dieu!	Dieu!
Quelle longueur!	Quelle longueur!
eſt-il poßible, Argante, Que ton affection ſoit ſi froide, & ſi lente, Que t’ayant tant prié de preſſer ton retour, I'aye apres ta reſponſe, attendu tout le iour?	est-il passible, Argante, Que ton affection soit si froide, et si lente, Que t'ayant tant prié de presser ton retour, J'aie après ta réponse, attendu tout le jour?
ARGANTE.	ARGANTE.
Il faut bien que le temps aux ſeruices reſponde;	Il faut bien que le temps aux services réponde;
Vous;	Vous;
D.	D.
ALVARE.	ALVARE.
Puuruis fuiet depuis, tc iour ut ioui le monde,	Puvris fuiet depuis, tc jour ut joui le monde,
ARGANTE.	ARGANTE.
Ouy bien, auec l’Eſprit, mais ie marchois du corps, Qu'on ne faict pas mouvoir, par de ſi prompts reſſorts;	Oui bien, avec l'Esprit, mais ainsi marchais du corps, Qu'on ne fait pas mouvoir, par de si prompts ressorts;
D.	D.
ALVARE.	ALVARE.
Enm'alleguant encor ceſte deffenſe vaine, Tu ioins à la premiere, vne ſeconde peine;	Enm'alléguant encor cette défense vaine, Tu joins à la première, une seconde peine;
ARGANTE.	ARGANTE.
I'ay veu, voſtre tailleur;	J'ai vu, votre tailleur;
D.	D.
AEVARE.	AEUARE.
Et c’eſt de touts mes ſoings, Celuy que tu ſçays bien, Qui m’importe le moins;	Et c'est de touts mes soins, Celui que tu sçays bien, Qui m'importe le moins;
ARGANTE.	ARGANTE.
Ie commenceray donc, par vn, qui vous doibt plaire, Apres voſtre tailleur, i’ay cherché voſtre frere, Pour ſçauoir ſi le Comte approuue voſtre amour, Et s’il tombe d’accord & du dot, & du iour.	Je commencerai donc, par un, qui vous doibt plaire, Après votre tailleur, j'ai cherché votre frère, Pour savoir si le Comte approuve votre amour, Et s'il tombe d'accord et du dot, et du jour.
D.	D.
ALVARE.	ALVARE.
A quoy peus-tu iuger, que ce deſſein me touche!	À quoi pussy-tu juger, que ce dessein me touche!
ARGANTE.	ARGANTE.
A la confeßion de voſtre propre bouche, Qui ſans ceſſe, d'Eliſe exalte les appas, Quels ſoings, & quels deuoirs, ne luy rendés-vous pas:	À la confession de votre propre bouche, Qui sans cesse, d'Élise exalte les appas, Quels soings, et quels devoirs, ne lui rendez-vous pas:
N'eut-elle pas le prix de la derniere feſte, Quanu vono mespes uu more teite eſpru juble beſte e N'en fus-ie pas porteur, le pouués vous nier?	N'eût-elle pas le prix de la dernière fête, Quanu vono mespes u more te épru juble bête N'en fus-je pas porteur, le pouvez vous nier?
D.	D.
AEVARE.	AEUARE.
Ce poinct m’importe moins encor que le premier.	Ce point m'importe moins encor que le premier.
ARGANTE.	ARGANTE.
Dieux!	Dieux!
I’ay cherché Luſcinde;	J'ai cherché Luscinde;
D.	D.
ALVARE.	ALVARE.
Et bien!	Et bien!
ARGANTE.	ARGANTE.
Ie ne l’ay veuë, Aux halles, à la place, à l’eau, ny dans la ruë;	Je ne l'ai vue, Aux halle, à la place, à l'eau, ni dans la rue;
Où, ne la treuuant point, i’ay, veritablement, Pour preſſer mon retour, paſſé legerement;	Où, ne la trouvant point, j'ai, véritablement, Pour presser mon retour, passé légèrement;
D.	D.
ALVARE.	ALVARE.
Et voila, malheureux, le ſeul poinct qui m’importe;	Et voilà, malheureux, le seul point qui m'importe;
que n’as tu tout laiſſé, pour l’attendre à la porte?	que n'as tu tout laissé, pour l'attendre à la porte?
ARGANTE.	ARGANTE.
O ciel!	Ô ciel!
puis-ie iuger quel eſt voſtre deſſein?	puis-je juger quel est votre dessein?
Si vous m’auiés appris à lire en voſtre ſein, Ie vous obeirois auec vn ſoing extréme, Et i’executerois auant voſtre ordre meſme, Mais n’eſtant pas ſçauant en l’art de deuiner, Si c’eſt à moy d’agir, c’eſt à vous d’ordonner;	Si vous m'avez appris à lire en votre sein, Je vous obéirais avec un soing extrême, Et j'exécuterais avant votre ordre même, Mais n'étant pas savant en l'art de deviner, Si c'est à moi d'agir, c'est à vous d'ordonner;
Vous me fiés voſtre or, vos ioyaux, voſtre bource, mu repovdes monteis le jouliien & ta jouirce, Et vous me denies vn penſer, vn ſecret, Ie paſſe pour fidelle & non pas pour diſcret.	Vous me fiez votre or, vos joyaux, votre bourse, mu repoves monteis le joulien et ta jouirce, Et vous me denies un penser, un secret, Je passe pour fidèle et non pas pour discret.
D.	D.
ALVARE.	ALVARE.
