EXTRAICT DV PRIVILEGE EVla d Te.	EXTRAICT DU PRIVILÈGE EUla d Te.
AR grace & Priuelege du Roy en datte du 19.	AR grâce et Privilège du Roi en datte du 19.
Fevrier T 1646.	Février T 1646.
ſigné, par le Roy en ſon Conſeil, LE BRVN:	signé, par le Roi en son Conseil, LE BRUN:
Il eſt permis à Touſſainct Quinet, Marchand Libraire à Paris, d’imprimer ou faire imprimer vne Piece de Theatre, de la Compoſition de Monſieur de Rotrou, intitulée LA SOEVR, Comedie;	Il est permis à Toussaint Quinet, Marchand Libraire à Paris, d'imprimer ou faire imprimer votre Pièce de Théâtre, de la Composition de Monsieur de Rotrou, intitulée LA SOEUR, Comédie;
& ce durant le temps de cinq ans;	et ce durant le temps de cinq ans;
fruteuerenres a tous autres de contrefaire ladite Piece, ny en vendre de contrefaites, ſur peine de tous delpens, dommages & intereſts, & amende arbitraire, ainſi qu’il eſt contenu plus cuioug iunn ettres dudit Priuilege.	fruteuterenres à tous autres de contrefaire ladite Pièce, ni en vendre de contrefaites, sur peine de tous délpens, dommages et intérêts, et amende arbitraire, ainsi qu'il est contenu plus cuivre junn ettres dudit Privilège.
Et ledit Quinet a aſſocié au ſuſdit Priuilege, Antoine de Sommauille, & Auguſtin Courbé, auſſi Marchands Libraires à Paris, ſuiuant l’accord fait entt’eux.	Et ledit Quinet a associé au susdit Privilège, Antoine de Sommaville, et Augustin Courbé, aussi Marchands Libraires à Paris, suivant l'accord fait entt-eux.
LELIE.	LELIE.
Fatale nouuelle, & qui me deſespere!	Fatale nouvelle, et qui me désespère!
Mon oncle te l’a dit?	Mon oncle te l'a dit?
& le tient de mon pere!	et le tient de mon père!
LELIE.	LELIE.
Que pour Eroxene, il destine ma foy!	Que pour Eroxène, il destine ma foi!
Qu'il doit abſolument, m’impoſer cette loy!	Qu'il doit absolument, m'imposer cette loi!
Qu'il promet Aurelie, aux vœux de Polydore!	Qu'il promet Aurie, aux vœux de Polydore!
GASTE.	GÂTE.
Ie vous l'ay deſia dit, & vous le dis encore.	Je vous l'ai déjà dit, et vous le dis encore.
LELIE.	LELIE.
Et qu'exigeant de nous te funeste deuoir, Il nous veut obliger, d’espouſer des ce ſoir:	Et qu'exigeant de nous te funeste devoir, Il nous veut obliger, d'épouser des ce soir:
Des ce ſoir;	Des ce soir;
ERGAST	ÉRGAST
LELIE.	LELIE.
Et tu crois qu'il te parloit ſans feinte?	Et tu crois qu'il te parlait sans feinte?
Sans feinte.	Sans feinte.
ERGASTE.	ÉRGASTE.
LELIE.	LELIE.
Ha!	Ha!
