DOM PEDRE, Roy d’Aragon.	DOM PÉDRE, Roi d'Aragon.
L’INFANTE, ſa ſœur, Maiſtreſſe de DomBernard.	L'INFANTE, sa sœur, Maîtresse de DomBernard.
IGNES,	IGNÉS,
DOM	DOM
N TDERIVIIRE E TIDNENE TRAGI-COMEDIE.	 NDERIVIIRE E TIDNENE TRAGI-COMÉDIE.
1 E I L SCENE IREMIERE.	1 Y I L CÈNE IREMIERE.
D.	D.
LOPE DE LVNE.	LOPE DE LUNE.
LAZARILLE Valet de chambre.	LAZARILLE Valet de chambre.
D.	D.
LOPE.	LOPE.
NFIN, cher Lazarille, vn plut heureux Genie MNN Nous va, de nos deſtins, forcer la tirannie, Et ce bras l’aura miſe au rang des ennemis, Qu'au ioug de cét Eſtat ſes exploits ont ſouſmis.	NFIN, cher Lazarille, un plut heureux Génie MN Nous va, de nos destins, forcer la tyrannie, Et ce bras l'aura mise au rang des ennemis, Qu'au joug de cet État ses exploits ont sousmis.
A D.	À D.
Bernard rend au Prince vn digne témoignage Des fruits qu’à l’Arragon a produits mõcourage, Qui fera ſucceder l’eſpoir que ie baſtis, Sur la deſtruction des Sardes déconfis;	Bernard rend au Prince un digne témoignage Des fruits qu'à l'Aragon a produits moncourage, Qui fera succéder l'espoir que sans bâtis, Sur la destruction des Sardes déconfis;
Oüy, i’oze ſur l’eſpoirque Dom Bernard me donne, Pretendre à des degrés proches de la Couronne;	Oui, j'ose sur l'espoirque Dom Bernard me donne, Prétendre à des degrès proches de la Couronne;
Et ſi l’ame eſt prophete en ſes preſſentiments, De grands effets ſuiuront ces nobles mouuements, Qui ne me flattent pas d’vne faueur commune, Et me font deffier l’orgueil de la fortune.	Et si l'âme est prophète en ses pressentiments, De grands effets suivront ces nobles mouvements, Qui ne me flattent pas d'une faveur commune, Et me font défier l'orgueil de la fortune.
LAZARILLE.	LAZARILLE.
Le fatal aſcendant qui gouuerne vos iours, Sera donc bien changé, de ce qu’il fut touſiours;	Le fatal ascendant qui gouverne vos jours, Sera donc bien changé, de ce qu'il fut toujours;
Car depuis qu'à vos pas mon mauuais ſort m'attache, Le malheur qui vous ſuit, n’a guiere eu de relaſche.	Car depuis qu'à vos pas mon mauvais sort m'attache, Le malheur qui vous suit, n'a guière eu de relâche.
D.	D.
LOPE.	LOPE.
Il eſt vray que iamais les deſtins rigoureux N’ont rendu ſous le ciel, de iours plus malheureux;	Il est vrai que jamais les destins rigoureux N'ont rendu sous le ciel, de jours plus malheureux;
Et que touts les reuers du ſort & de l’enuie, Semblent pour ſeul objet auoir choiſi ma vie.	Et que touts les revers du sort et de l'envie, Semblent pour seul objet avoir choisi ma vie.
Mes plus heureux ſuccés n’ont iamais veu ce bras, Sans me couſter du ſang, acheuer de combats;	Mes plus heureux succès n'ont jamais vu ce bras, Sans me coûter du sang, achever de combats;
Mes plus iuſtes deſſeins n’ont iamais eu d’iſfuë Qui rempliſt mon attente, où qui ne l’ayt deceuë.	Mes plus justes desseins n'ont jamais eu d'issue Qui remplît mon attente, où qui ne l'ait déçue.
Ie ſuis encor à voir le ſeul, & premier fruict Que iamais, ou l’amour, ou le ieu m’ait produit.	Je suis encor à voir le seul, et premier fruit Que jamais, ou l'amour, ou le jeu m'ait produit.
I'eſperois à la Cour, vaincre par ma conſtance, De cet aſtre inclement la maligne influence, Quand auec Dom Bernard, Catalan comme moy.	J'espérais à la Cour, vaincre par ma constance, De cet astre inclément la maligne influence, Quand avec Dom Bernard, Catalan comme moi.
Ie veins auec mes vœux, offrir monbras au Roy, Et comme à la valeur, qui m’eſt hereditaire, Chercher à ſucceder aux emplois de mon pere;	Je veins avec mes vœux, offrir monbras au Roi, Et comme à la valeur, qui m'est héréditaire, Chercher à succéder aux emplois de mon père;
Mais touſiours quelque obſtacle arreſtant mes deſſeins, Pour moy fermoit au Prince, & l’oreille, & les mains:	Mais toujours quelque obstacle arrêtant mes desseins, Pour moi fermait au Prince, et l'oreille, et les mains:
Au lieu qu’vne fortune à mille autres ſeconde;	Au lieu qu'une fortune à mille autres seconde;
Mais à qui Dom Bernard, n’a rien qui ne répõde) D’abord l’inſinuant, en l’eſtime du Roy Ouuroit touſiours pour luy, ce qu’il fermoit pour moy, Miſt bien- toſt ce grand homme, au plus haut de ſa roué;	Mais à qui Dom Bernard, n'a rien qui ne répondait toujours D'abord l'insinuant, en l'estime du Roy Ouvrait toujours pour lui, ce qu'il fermait pour moi, Mît bien- tôt ce grand homme, au plus haut de sa roué;
Et l’eſleuant ſi haut, me laiſſa dans la bouë.	Et l'élevant si haut, me laissa dans la boue.
Enfin, ayant acquis, par nos communs tributs, Luy de telles faueurs, moy de ſi longs rebuts;	Enfin, ayant acquis, par nos communs tributs, Lui de telles faveurs, moi de si longs rebuts;
Les Sardes reuoltez nous ont ouuert la lice, Où ie pouuois du ſort affronter l’iniuſtice;	Les Sardes révoltés nous ont ouvert la lice, Où tu pouuois du sort affronter l'injustice;
Et me le ſoümettant, arracher de ce bras, Les janenrs qu'il me don, & ne me donne pas.	Et me le soumettant, arracher de ce bras, Les janrs qu'il me don, et ne me donne pas.
LAZARILLE.	LAZARILLE.
A voir de quels dedains la fortune me traite, Nous deuons eſtre nés deſſous meſme planete;	À voir de quels dédains la fortune me traite, Nous devons être nés dessous même planète;
Iamais occaſion d’intereſt, ou d’honneur, Par ſon euenement n’a marqué mon bon-heur;	Jamais occasion d'intérêt, ou d'honneur, Par son événement n'a marqué mon bonheur;
Mais ſur tout, qu’en mon choix le ſort me fut contraire, Quand me donnant à vous, Vrfinſuiuit Cabreret Son maiſtre aupres du Roy, poſſede vn rang ſi haut Que tout rit à ſes vœux, que rien ne luy deffaut:	Mais sur tout, qu'en mon choix le sort me fut contraire, Quand me donnant à vous, Vrfinsuivit Cabreret Son maître auprès du Roi, possède un rang si haut Que tout rit à ses vœux, que rien ne lui défaut:
Et dans le triſte cours du malheur qui vous preſſe, Cette lame enroüillée eſt toute ma richeſſe.	Et dans le triste cours du malheur qui vous presse, Cette lame enroüillée est toute ma richesse.
D.	D.
L'OPE.	L'OPE.
Le ſeruice important qu’a rendu ma valeur, Fera bien-toſt ceſſer, ta plainte, & mon malheur, Les fruits de l’amitié, dont Cabrere m’honore, Ne peuuent plus tarder & ſont tout preſts d’éclore:	Le service important qu'a rendu ma valeur, Fera bientôt cesser, ta plainte, et mon malheur, Les fruits de l'amitié, dont Cabre m'honore, Ne peuvent plus tarder et sont tout prêts d'éclore:
T'attends de ſon pacquet, que ie viens rendre au L’infaillible faueur d’vn honorable employ:	T'attends de son pacquet, que deux viens rendre au L'infaillible faveur d'un honorable emploi:
aie en Et puis.	aie en Et puis.
mais quelle peine eſt celle où ie me treuue?	mais quelle peine est celle où ici me trouve?
O de mon mauuais ſort la plus fatale épreuue!	Ô de mon mauvais sort la plus fatale épreuve!
Et qui de mes malheurs, me rend le plus confus?	Et qui de mes malheurs, me rend le plus confus?
Ce paquet.	Ce paquet.
LAZARILLE.	LAZARILLE.
Eſt perdu.	Est perdu.
D.	D.
LOPE.	LOPE.
Ie ne le treuue plus;	Je ne le trouve plus;
O Negligence inſigne!	Ô Negligence insigne!
& ſurpriſe importune!	et surprise importune!
Puſaeini ppeusut joing, à ſipeu de jortunes Et ſi mal conſerué le gage glorieux, Qui deuoit rendre au Roy, mon nom ſi precieux?	Pusaeini ppeusut join, à sipeu de jortunes Et si mal conservé le gage glorieux, Qui devait rendre au Roi, mon nom si précieux?
LAZARILLE.	LAZARILLE.
Le ſort nous en veut trop, il faut qu’il nous acheüe, Et ſahaine eſt pour nous, sas quartier, & sas trefue;	Le sort nous en veut trop, il faut qu'il nous achue, Et sahaine est pour nous, sas quartier, et sas trêve;
Mais voyez, biẽ, peut-eſtre aurez vous mal cherché;	Mais voyez, bien, peut-être aurez vous mal cherché;
Vous l’auiez ce matin, où nous auons couché, L’auriez-vous oublié?	Vous l'aviez ce matin, où nous avons couché, L'auriez-vous oublié?
cherchez mieux ie vous prie.	cherchez mieux ie vous prie.
D.	D.
LOPE.	LOPE.
Ie l’auray pû laiſſerdedans l'Hoſtellerie, Mais retourner ſi loing, feroit vn vain ſoucy, Puis qu'enfin, auiourd’huy, Cabrere arriue icy;	Je l'aurai pu laisserdedans l'Hôtellerie, Mais retourner si loin, ferait un vain souci, Puis qu'enfin, aujourd'hui, Cabre arrive ici;
Et que ſur le chemin, ma bleſſeure r’ouuerte, De trois, ou quatre iours m'ayant couſté la perte, Afait d’autant de temps, auancer ſon retour;	Et que sur le chemin, ma blessure rouverte, De trois, ou quatre jours m'ayant coûté la perte, Afait d'autant de temps, avancer son retour;
Si bien qu’auiourd’huy meſme, on l’attẽd à la Cour, Où la voix ſuppleant la perte de ſa lettre, M’obtiendra les effets, que i'oſois m’en promettre:	Si bien qu'aujourd'hui même, on l'attend à la Cour, Où la voix suppléant la perte de sa lettre, M'obtiendra les effets, que j'osais m'en promettre:
S’il ſe peut, tout esfois, faiſons ſçauoir au Roy, Quels exploits en Sardaigne, ont eſtablyſa loy;	S'il se peut, tout éfois, faisons sçauoir au Roi, Quels exploits en Sardagne, ont establysa loi;
muu tet grands ſuccés luy faiſant des peintures, Sans nous manifeſter, contons nos aduantures;	mu tet grands succès était faisant des peintures, Sans nous manifester, contons nos aventures;
Pour donner audience, il ſe doit rendre icy.	Pour donner audience, il se doit rendre ici.
LAZARILLE.	LAZARILLE.
Qelqu'vn fort de ſachambre.	Quelqu'un fort de sachambre.
de dolE.	de dolE.
Auançons, le voicy.	Avançons, le voici.
SCLINEIE LE ROY, LE COMTE, CAPITAINE des Gardes, Suitte d’Archers.	SCLINEIE LE ROI, LE COMTE, CAPITAINE des Gardes, Suite d'Archers.
D.	D.
LOPE, LAZARILLE.	LOPE, LAZARILLE.
LE COMTE.	LE COMTE.
JOs ſoins du grand Trajan vous font le vif V exemple, Siles Roysſont des Dieux, leur Palais eſt vntem.	JOs soins du grand Trajan vous font le vif V exemple, Siles Rois des Dieux, leur Palais est untem.
Onpountouts il eſt iuſte, & lienueprier, Et dont iamais l’accés ne ſe doit denier.	Onpountouts il est juste, et lienprier, Et dont jamais l'accès ne se doit denier.
E OY.	E OY.
