De Voſtre Majeſté,	De Votre Majesté,
Le tres-humble, tres-obeïſſant, & tres-obligé ſeruiteur & ſubiect , ROTROV.	Le très-humble, très-obeïssant, et très-obligé serviteur et sujet , ROTROU.
MADAME,	MADAME,
AmulseSu Roy.	AmulseSu Roi.
OVYS PAR LA GRACE DE DIEV ROY DE FRANCE ET DE NAVARRE:	OUÏS PAR LA GRACE DE DIEU ROY DE FRANCE ET DE NAUARRRE:
A nos amez & feaux Conſeillers, les Gens tenans nos Cours de ParIement, Maiſtres des Requeſtes ordinaires de noſtre Hoeſtel, Baillifs, Seneſchaux, Pre'uoſts, leurs Lieutenans, & autres nos Iuſticiers & Officiers qu’il appartiendra, Salut.	À nos âmez et féaux Conseillers, les Gens tenants nos Cours de ParIement, Maîtres des Requêtes ordinaires de notre Hoêtel, Baillifs, Sénéchaux, Preuôts, leurs Lieutenants, et autres nos Justiciers et Officiers qu'il appartiendra, Salut.
Noſtre bien amé TOVSSAINCT QVINET Marchand Libraire, Nous a fait remonſtrer qu’il deſireroit faire imprimer vn Liure intitulé, L’Heureuſe Conſtance, Tragi-Comedie, Compoſee par le Sieur de Rotrou:	Notre bien amand TOUSSAINCT QUINET Marchand Libraire, Nous a fait remontrer qu'il désirerait faire imprimer un Livre intitulé, L'Heureuse Constance, Tragi-Comédie, Compose par le Sieur de Rotrou:
Ce qu’il ne peut faire ſans auoir ſur ce nos Lettres, humblement requerant icelles.	Ce qu'il ne peut faire sans avoir sur ce nos Lettres, humblement requérant icelles.
A ces cauſes, deſirant fauorablement traicter ledit expoſant, Nous luy auons permis & permettons par ces preſentes, de faire imprimer, vendre & debiter ledit Liure en tous les lieux & terres de noſtre obeïſſance, par tels Imprimeurs & Libraires, en telles marges & caracteres, & autant de fois qu’il voudra, durant le temps & eſpace de ſept ans entiers, à compter du iour qu’il ſera acheué d’imprimer, faiſant deffenſes à tous Imprimeurs, Libraires, & autres de quelque condition qu’ils ſoient, tant eſtrangers que de noſtre Royaume, d’imprimer, vendre ny diſtribuer en aucun endroit ledit Liure, ſoit entier ou en partie, ſans le conſentement de l’expoſant ou de ceux qui auront droict de luy en vertu des preſentes, ny meſmes d’en prendre le tiltre, ou le contrefaire, en telleſorte & maniere que ce ſoit, ſouz couleur de fauſſes marges ou autre déguiſement;	À ces causes, des favorablement traiter ledit exposant, Nous avait auons permis et permettons par ces présentes, de faire imprimer, vendre et débiter ledit Livre en tous les lieux et terres de notre obéissance, par tels Imprimeurs et Libraires, en telles marges et caractères, et autant de fois qu'il voudra, durant le temps et espace de sept ans entiers, à compter du jour qu'il sera achevé d'imprimer, faisant défenses à tous Imprimeurs, Libraires, et autres de quelque condition qu'ils soient, tant étrangers que de nôtre a, imprimer, vendre ni distribuer en aucun endroit ledit Liure, soit entier ou en partie, sans le consentement de exposant ou de ceux qui auront droict de lui en vertu de presentes, ni mêmes en prendre le tiltre, ou le contrefaire, en tellesorte et maniere que ce soit, souz couleur de fausses marges ou autre déguisement;
Sur peine aux contreuenans de trois mil liures d’amende, applicable, vn tiers à Nous, vn tiers à l’Hoſtel Dieu de Paris, & l’autre tiers à l’expoſant, de confiſcation des exemplaires contrefaits, & de tous deſpens, dommages & intereſts:	Sur peine aux contrevenants de trois mil livres d'amende, applicable, un tiers à Nous, un tiers à l'Hôtel Dieu de Paris, et l'autre tiers à l'exposant, de confiscation des exemplaires contrefaits, et de tous dépens, dommages et intérêts:
Meſmes ſi aucuns Libraires ou Imprimeurs de noſtre Royaume, ou Eſtrangers traffiquans en iceluy eſtoient trouuez ſaiſis des exemplaires contrefaits, Nous voulons qu’ils ſoient condamnez en pareilles amandes, deſpens, dommages & intereſts, que s’ils les auoient imprimez ou faits imprimer:	Mêmes si aucuns Libraires ou Imprimeurs de notre Royaume, ou Étrangers traffiquants en icelui étaient trouvés saisis des exemplaires contrefaits, Nous voulons qu'ils soient condamnés en pareilles amandes, dépens, dommages et intérêts, que s'ils les avaient imprimés ou faits imprimer:
A condition qu’il ſera mis deux exemplaires dudit Liure dans noſtre Bibliotheque publique, & vn autre en celle de noſtre tres-cher & feal le Sieur Seguier, Cheualier, Garde des Sceaux de France, auant que pouuoir expoſer ledict Liure en vente, à peine de nullité des preſentes:	À condition qu'il sera mis deux exemplaires dudit Livre dans notre Bibliothèque publique, et un autre en celle de notre très-cher et féal le Sieur Séguier, Chevalier, Garde des Sceaux de France, avant que pouvoir exposer ledict Livre en vente, à peine de nullité des présentes:
Du contenu deſquelles nous voulons & vous mandons que vous faciez ioüir & vſer plainement & paiſiblement ledit expoſant, ou ceux qui auront charge de luy, faiſant ceſſer tous troubles & empeſchemens, ſi aucun leur eſtoit donné.	Du contenu desquelles nous voulons et vous mandons que vous fassiez jouir et user plainement et paisiblement ledit exposant, ou ceux qui auront charge de grands, faisant cesser tous troubles et empêchements, si aucun leur était donné.
VOVLONS auſſi qu’en mettant au commencement ou à la fin dudit Liure vn extraict des preſentes, elles ſoient tenuës pour deuëment ſignifiees, & que foy ſoit adiouſtee comme à l’orig mai.	VOULONS aussi qu'en mettant au commencement ou à la fin dudit Livre un extraict des présentes, elles soient tenues pour deuëment signifiées, et que foi soit ajoute comme à l'origan mai.
Mlailuonsei outre au premier noſtre Huiſſier ou Sergent ſur ce requis, de faire pour l’execution des preſentes tous exploits neceſſaires, ſans demander autre permiſſion.	Mlailuonsei outre au premier notre Huissier ou Sergent sur ce requis, de faire pour l'exécution des présentes tous exploits nécessaires, sans demander autre permission.
CAR tel eſt noſtre plaiſir, nonobſtant clameur de Haro, chartre Normande, priſe à partie & lettres à ce contraires.	CAR tel est notre plaisir, nonobstant clameur de Haro, chartre Normande, prise à partie et lettres à ce contraires.
Donné à Paris le 27.	Donné à Paris le 27.
iour de Nouembre l’an de grace1635.	jour de Novembre l'an de grâce1635.
Et de noſtre regne le vingtieſme.	Et de notre règne le vingtième.
Signé, Par le Roy en ſon Conſeil, DEMONCEAVA.	Signé, Par le Roi en son Conseil, DEMONCEAUA.
Acheué d’imprimer le 6.	Achevé d'imprimer le 6.
Decembre 1635.	Décembre 1635.
Et ledit Quinet a aſſocié audit Priuilege Anthoine de Sommauille auſſi Marchand Libraire, pour en ioüir le temps porté par iceluy.	Et ledit Quinet a associé audit Privilège Antoine de Sommauille aussi Marchand Libraire, pour en jouir le temps porté par icelui.
Les Acteurs.	Les Acteurs.
CONSEILLER	CONSEILLER
Vallet plaiſant.	Vallet plaisant.
FLORINEE LISIMANT Suiuante.	FLORINE LISIMANT Suivante.
Gentil-homme.	Gentilhomme.
PAGE MESSAGEE	PAGE MESSAGEE
SERVITEVRS	SERVITEURS
L’HEV	L'HEU
LIIEYNEVOL ONSTANCE.	LIIEYNEUOL ONSTANCE.
TRAGI-COMEDIE.	TRAGI-COMÉDIE.
ACTE PREMIER.	ACTE PREMIER.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
LE RoY de Hongrie, & deux Gentils-hommes TIMANDRE, LYSANOR.	LE RoY de Hongrie, et deux Gentilshommes TIMANDRE, LYSANOR.
LE ROY.	LE ROY.
Omment pourra l’amour finir heureuſement Ce que nous commentons par vn deguiſement?	Omment pourra l'amour finir heureusement Ce que nous commentons par un déguisement?
Vn mal-heureux amant, apres mille trauerſes, Mille vœux, mille cris, mille plaintes diuerſes, A Reſtant ſans patience, & non ſans paßion, Treuue en fin du recours en cette inuention, Voit ſouz de faux habits l’obiect de ſa penſee, Et cherche du remede à ſon ame bleſſee:	Un malheureux amant, après mille traverses, Mille vœux, mille cris, mille plaintes diverses, A Restant sans patience, et non sans passion, Treuve en fin du recours en cette invention, Voit souz de faux habits l'objet de sa pensée, Et cherche du remède à son âme blessée:
Moy qui ne reſſens point de pareilles douleurs, Qui n'ay iamais appris à reſpandre des pleurs, Qui treuue toute choſe à mon deſſein propice, Mimte on mai-heureux, &uoſc uartiſice, Comment pourra l’amour finir heureuſement Ce que nous commençons par vn déguiſement.	Moi qui ne ressens point de pareilles douleurs, Qui n'ai jamais appris à répandre des pleurs, Qui trouve toute chose à mon dessein propice, Mimte on maiheureux, et uartisice, Comment pourra l'amour finir heureusement Ce que nous commençons par un déguisement.
TIMANDRE.	TIMANDRE.
Pour gouſter vn bon-heur que le Ciel nous enuoye, Il faut qu'vn peu de mal en modere la ioye;	Pour goûter un bonheur que le Ciel nous envoie, Il faut qu'un peu de mal en molère la joie;
La peine fait le prix, on cherit vn plaiſir, Quand on a pour l’auoir exercé ſon deſir;	La peine fait le prix, on chérit un plaisir, Quand on a pour l'avoir exercé son désir;
Vn cerf ne plairoit pas, qu'on auroit pris ſans peine, Il faut en le courant auoir perdu l’haleine, Ae eot utieſt u umonn s equeteſues enarmes qu'il ait, Rien n'eſt ſelon nos vœux quand tout vient à ſouhait, Vos pas auront leur prix, les charmes de la Reine Vous plairont dauantage apres vn peu de peine, Et ce puiſſant demon qui preſide à l’amour Aura des traits plus forts en ce lieu qu'à la Cour.	Un cerf ne plaimait pas, qu'on aurait pris sans peine, Il faut en le courant avoir perdu l'haleine, Ae eot utiest u umonn ès equetesues enarmes qu'il ait, Rien n'est selon nos vœux quand tout vient à souhait, Vos pas auront leur prix, les charmes de la Reine Vous plairont davantage après un peu de peine, Et ce puissant demon qui préside à l'amour Aura des traits plus forts en ce lieu qu'à la Cour.
LE I DY.	LE I DY.
C’eſt auec cét eſpoir que i’attends l’arriuee De celle dont mon a me eſt ſi long temps priuce, Qui vient charmer la Cour de ſes appas exquis, Et poſſeder chez nous ce qu'elle s’est acquis, Auant que de paroiſtre, & receuoir à Bude Cét agreable obiect de mon inquietude, Puis qu'elle diſne icy, ie puis facilement Satisfaire à mes yeux, en ce faux vestement, Voyant cette beauté qui n'a point de pareilles, Et dont l’Ambaſſadeur m'eſcrit tant de merueilles, Beaucoup ſe treuueront, en ce village, exprés Pour y voir des premiers ſes aimables attraits:	C'est avec cet espoir que j'attends l'arrive De celle dont mon a re est si long temps privée, Qui vient charmer la Cour de ses appas exquis, Et posséder chez nous ce qu'elle s'est acquis, Avant que de paraître, et recevoir à Bude Cét agréable objet de mon inquiétude, Puis qu'elle dîne ici, ie puis facilement Satisfaire à mes yeux, en ce faux vêtement, Voyant cette beauté qui n'a point de pareilles, Et dont l'Ambassadeur m'écrit tant de merveilles, Beaucoup se trouveront, en ce village, se Trouver voir des premiers exprès y attraits:
Timandre, ay-ie aſſez bien déguisé mon viſage?	Timandre, ai-je assez bien déguisé mon visage?
Me peut-on reconnoiſtre en ce vil equipage?	Me peut-on reconnaître en ce vil équipage?
TIMANDRE.	TIMANDRE.
Sire, facilement, pour vous déguiſer mieux Außi bien que d’habits, il falloit changer d’yeux, Cét habit ne rend pas voſtre gloire inconnuë, Pour cacher vn Soleil, il faudroit vne nuë;	Sire, facilement, pour vous déguiser mieux Aussi bien que d'habits, il fallait changer d'yeux, Cet habit ne rend pas votre gloire inconnue, Pour cacher un Soleil, il faudrait une nue;
Et quand vous aurez veu ce que vous deſirez, Sire, il faut eſtre icy le moins que vous pourrez.	Et quand vous aurez vu ce que vous désirez, Sire, il faut être ici le moins que vous pourrez.
4 i	4 y
SCENE II.	SCÈNE II.
ROSELIE en Villageoiſe, FLORIS ſa Nourrice, LE ROY, & ſes Caualiers.	ROSELIE en Villageoise, FLORIS sa Nourrice, LE ROY, et ses Cavaliers.
ROSELIE paſſant derriere eux.	ROSELIE passant derrière eux.
IEVX!	JEUX!
que tu m'as fait prendre vn deſſein frenetique, Ie n’oſe ouurir les yeux en cét habit rustique, La Reyne ne vient point;	que tu m'as fait prendre un dessein frénétique, Je n'ose ouvrir les yeux en cet habit rustique, La Reine ne vient point;
l’eſtat où ie me Me fait imaginer que chacun rit de moy.	l'état où belle me Me fait imaginer que chacun rit de moi.
LORIS.	LORIS.
Courez où bon vous ſemble;	Courez où bon vous semble;
à la fin ie ſuis laſſe, Vous n'arreſtez iamais en vne meſme place;	à la fin ie suis lasse, Vous n'arrêtez jamais en une même place;
Nous allons, nous tournons, nous voila, nous voicy, Craignez, vous que nos pieds prennent racine icy?	Nous allons, nous tournons, nous voilà, nous voici, Craignez, vous que nos pieds prennent racine ici?
ROSELIE.	ROSELIE.
Suy-moy ſix pas encor, ie ſeray ſatisfaite, Ces Villageois riront de me voir ainſi faite.	Sui-moi six pas encor, je serai satisfaite, Ces Villageois riront de me voir ainsi faite.
Adorable beauté!	Adorable beauté!
LE ROY.	LE ROY.
SELIE.	SELIE.
V'oy comme us vont gauſſer.	V'ois comme us vont gausser.
Elles s’enfuyent.	Elles s'enfuient.
LE I DY.	LE I DY.
Mais Dieux!	Mais Dieux!
c’eſt vneſclair qui n’a fait que paſſer, La farouche qu'elle eſt ſe dérobe à ma veuë:	c'est unesclair qui n'a fait que passer, La farouche qu'elle est se dérobe à ma vue:
As tu veu de quels traits cette belle eſt pourueuë;	As tu vu de quels traits cette belle est pourvue;
Combien de doux appas de ſes yeux ſont partis, As-tu le cœur de chair;	Combien de doux appas de ses yeux sont partis, As-tu le cœur de chair;
les as-tu reſſentis?	les as-tu ressentis?
Ou pluſtoſt par les miens, ſouz la forme de flame N'as-tu point veu ſortir ny mon cœur ny mon ame?	Ou plutôt par les miens, souz la forme de flamme N'as-tu point vu sortir ni mon cœur était mon âme?
Que de petits amours vollent dans ſes cheueux, Et qu'en ce peu de temps ils m'ontoſté de vœux!	Que de petits amours vollent dans ses cheveux, Et qu'en ce peu de temps ils m'ontosté de vœux!
